"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Damien Harris","NE","RB28","12.3","53.1","0.4","1.1","7.1","0.0","0.1","8.5"
"Phillip Lindsay","DEN","RB29","11.7","51.6","0.3","1.7","11.6","0.0","0.0","8.4"
"Darius Slayton","NYG","WR33","0.2","0.7","0.0","4.0","61.1","0.4","0.0","8.4"
"Hunter Henry","LAC","TE4","0.0","0.0","0.0","4.6","56.6","0.5","0.0","8.4"
"Julian Edelman","NE","WR34","0.4","3.1","0.0","4.8","58.4","0.4","0.0","8.2"
"Mike Williams","LAC","WR35","0.1","0.5","0.0","3.6","58.7","0.4","0.0","8.1"
"John Brown","BUF","WR36","0.1","0.3","0.0","3.9","54.0","0.4","0.0","8.1"
"Christian Kirk","ARI","WR37","0.3","2.2","0.0","4.5","53.6","0.4","0.0","7.8"
"Tim Patrick","DEN","WR38","0.1","0.4","0.0","4.1","56.4","0.3","0.0","7.7"
"Diontae Johnson","PIT","WR39","0.2","1.6","0.0","4.2","50.4","0.4","0.1","7.3"
"Laviska Shenault Jr.","JAC","WR40","1.1","6.1","0.0","4.4","53.8","0.2","0.0","7.2"
"Jarvis Landry","CLE","WR41","0.1","0.5","0.0","4.6","59.4","0.2","0.0","7.2"
"Joshua Kelley","LAC","RB30","11.3","45.9","0.3","1.4","10.0","0.0","0.1","7.1"
"Robert Tonyan","GB","TE5","0.0","0.0","0.0","3.5","41.5","0.5","0.0","7.1"
"Latavius Murray","NO","RB31","9.8","41.0","0.3","1.5","10.7","0.0","0.0","6.9"
"James White","NE","RB32","4.0","15.8","0.1","4.8","37.9","0.2","0.0","6.8"
"Evan Engram","NYG","TE6","0.0","0.0","0.0","4.4","47.2","0.3","0.0","6.8"
"Jerry Jeudy","DEN","WR42","0.1","0.6","0.0","4.2","56.7","0.2","0.0","6.7"
"JuJu Smith-Schuster","PIT","WR43","0.0","0.1","0.0","4.4","51.3","0.3","0.0","6.7"
"Austin Hooper","CLE","TE7","0.0","0.0","0.0","4.1","44.1","0.4","0.0","6.7"
"Michael Gallup","DAL","WR44","0.0","0.0","0.0","3.3","54.0","0.2","0.0","6.5"
"Marvin Jones Jr.","DET","WR45","0.0","0.1","0.0","3.5","48.3","0.3","0.0","6.5"
"T.J. Hockenson","DET","TE8","0.0","0.0","0.0","3.8","43.3","0.4","0.0","6.5"
"A.J. Green","CIN","WR46","0.0","0.0","0.0","3.9","52.2","0.2","0.0","6.5"
"Marquez Valdes-Scantling","GB","WR47","0.1","0.7","0.0","3.7","52.9","0.2","0.0","6.4"
"Henry Ruggs III","LV","WR48","0.3","1.2","0.0","3.7","51.4","0.2","0.0","6.4"
"Cole Beasley","BUF","WR49","0.0","0.0","0.0","4.3","50.9","0.2","0.0","6.4"
"Emmanuel Sanders","NO","WR50","0.1","0.4","0.0","4.0","48.0","0.2","0.0","6.3"
"Frank Gore","NYJ","RB33","11.2","44.9","0.1","1.3","8.6","0.0","0.0","6.1"
"Rob Gronkowski","TB","TE9","0.0","0.0","0.0","3.6","47.9","0.2","0.0","6.1"
"Keelan Cole","JAC","WR51","0.1","0.5","0.0","3.7","49.3","0.2","0.0","6.1"
"Jared Cook","NO","TE10","0.0","0.0","0.0","3.5","45.0","0.2","0.0","6.0"
"Brandon Aiyuk","SF","WR52","0.6","3.6","0.0","3.1","45.3","0.2","0.0","6.0"
"Chase Edmonds","ARI","RB34","5.0","21.6","0.2","3.0","23.1","0.1","0.0","6.0"
"J.D. McKissic","WAS","RB35","4.4","21.1","0.1","3.5","28.2","0.1","0.1","5.9"
"Hunter Renfrow","LV","WR53","0.0","0.0","0.0","3.8","47.7","0.2","0.0","5.8"
"Le'Veon Bell","KC","RB36","8.4","30.1","0.1","2.4","17.4","0.1","0.1","5.8"
"Corey Davis","TEN","WR54","0.1","0.5","0.0","3.4","47.0","0.2","0.0","5.7"
"Breshad Perriman","NYJ","WR55","0.2","0.8","0.0","3.1","46.5","0.2","0.0","5.7"
"Eric Ebron","PIT","TE11","0.0","0.0","0.0","4.0","44.1","0.2","0.0","5.6"
"Jamaal Williams","GB","RB37","7.1","27.3","0.1","2.5","19.0","0.1","0.0","5.6"
"DeSean Jackson","PHI","WR56","0.2","1.1","0.0","3.0","44.4","0.2","0.0","5.5"
"Randall Cobb","HOU","WR57","0.1","0.3","0.0","3.5","43.6","0.2","0.0","5.4"
