"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Greg Ward","PHI","3.9","37.1","0.2","0.2","0.6","0.0","0.0","4.8"
"Darnell Mooney","CHI","3.2","40.4","0.1","0.2","1.0","0.0","0.0","4.7"
"Scotty Miller","TB","2.6","37.5","0.1","0.3","1.4","0.0","0.0","4.7"
"Demarcus Robinson","KC","2.8","35.2","0.2","0.0","0.0","0.0","0.0","4.4"
"Tre'Quan Smith","NO","2.3","31.3","0.2","0.0","0.1","0.0","0.0","4.4"
"Anthony Miller","CHI","2.9","33.4","0.1","0.2","0.9","0.0","0.0","4.3"
"Larry Fitzgerald","ARI","3.4","35.2","0.1","0.0","0.0","0.0","0.0","4.3"
"Jeff Smith","NYJ","2.9","35.1","0.1","0.1","0.4","0.0","0.0","4.2"
"Dontrelle Inman","WAS","2.7","32.5","0.2","0.0","0.0","0.0","0.0","4.2"
"Cordarrelle Patterson","CHI","1.5","14.1","0.0","4.0","18.7","0.1","0.0","4.1"
"Kendrick Bourne","SF","2.4","32.3","0.1","0.0","0.0","0.0","0.0","4.0"
"David Moore","SEA","1.8","28.3","0.2","0.1","0.8","0.0","0.0","3.9"
"Sterling Shepard","NYG","2.6","29.3","0.1","0.2","1.8","0.0","0.0","3.9"
"Josh Reynolds","LAR","2.1","30.9","0.1","0.1","0.6","0.0","0.0","3.8"
"Jalen Guyton","LAC","2.0","27.9","0.1","0.2","0.9","0.0","0.0","3.8"
"Isaiah Wright","WAS","2.5","27.4","0.1","0.5","2.5","0.0","0.0","3.7"
"Jalen Reagor","PHI","2.1","29.8","0.1","0.1","0.6","0.0","0.1","3.5"
"KJ Hamler","DEN","1.9","26.7","0.1","0.5","2.2","0.0","0.0","3.5"
"Andy Isabella","ARI","1.8","26.5","0.1","0.2","0.5","0.0","0.0","3.5"
"Nelson Agholor","LV","2.0","25.7","0.1","0.1","0.5","0.0","0.0","3.3"
"Gabriel Davis","BUF","1.9","24.7","0.1","0.1","0.5","0.0","0.0","3.2"
"Cam Sims","WAS","2.1","25.3","0.1","0.0","0.2","0.0","0.0","3.2"
"Kenny Stills","HOU","1.6","23.3","0.1","0.0","0.0","0.0","0.0","3.1"
"Cedrick Wilson","DAL","1.8","23.0","0.1","0.1","0.2","0.0","0.0","3.1"
"Tyron Johnson","LAC","1.3","22.7","0.1","0.2","1.2","0.0","0.1","3.1"
"Braxton Berrios","NYJ","1.8","22.4","0.1","0.1","1.1","0.0","0.0","3.1"
"Bryan Edwards","LV","1.7","23.6","0.1","0.1","0.3","0.0","0.0","3.0"
"John Hightower","PHI","1.9","24.5","0.1","0.1","0.3","0.0","0.0","2.9"
"Kalif Raymond","TEN","1.6","25.1","0.1","0.2","0.3","0.0","0.0","2.9"
"Chris Conley","JAC","1.8","24.4","0.1","0.0","0.0","0.0","0.0","2.9"
"Olamide Zaccheaus","ATL","1.8","22.0","0.1","0.0","0.3","0.0","0.0","2.8"
"Denzel Mims","NYJ","1.9","24.0","0.1","0.0","0.2","0.0","0.0","2.8"
"Phillip Dorsett II","SEA","1.1","14.0","0.2","0.1","1.1","0.0","0.0","2.7"
"Alshon Jeffery","PHI","1.8","25.0","0.0","0.0","0.0","0.0","0.0","2.6"
"Rashard Higgins","CLE","1.3","18.1","0.1","0.0","0.0","0.0","0.0","2.5"
"Equanimeous St. Brown","GB","1.4","19.3","0.1","0.0","0.2","0.0","0.0","2.5"
"Tyler Johnson","TB","1.6","20.1","0.1","0.0","0.2","0.0","0.0","2.5"
"Van Jefferson","LAR","1.4","19.3","0.1","0.1","0.4","0.0","0.0","2.3"
"DaeSean Hamilton","DEN","1.8","18.6","0.1","0.0","0.0","0.0","0.0","2.2"
"Antonio Gandy-Golden","WAS","1.3","16.2","0.1","0.1","0.4","0.0","0.0","2.1"
"Freddie Swain","SEA","1.3","15.8","0.1","0.0","0.1","0.0","0.0","2.1"
"Collin Johnson","JAC","1.3","17.7","0.0","0.1","0.2","0.0","0.0","2.1"
"JJ Arcega-Whiteside","PHI","1.3","17.9","0.0","0.1","0.3","0.0","0.0","2.0"
"Keith Kirkwood","CAR","1.3","16.6","0.1","0.0","0.1","0.0","0.0","2.0"
"Isaiah McKenzie","BUF","1.3","12.4","0.0","0.5","2.4","0.0","0.0","1.9"
"Mike Thomas","CIN","1.5","16.4","0.1","0.2","0.7","0.0","0.1","1.9"
"Austin Mack","NYG","1.2","14.9","0.1","0.1","0.4","0.0","0.0","1.9"
"Auden Tate","CIN","1.0","13.2","0.1","0.0","0.0","0.0","0.0","1.8"
"Malik Taylor","GB","1.1","13.6","0.1","0.1","0.3","0.0","0.0","1.8"
"C.J. Board","NYG","1.5","17.8","0.0","0.1","0.5","0.0","0.0","1.8"
"Zay Jones","LV","1.2","12.7","0.1","0.0","0.0","0.0","0.0","1.8"
"Marvin Hall","DET","0.7","12.4","0.1","0.1","0.8","0.0","0.0","1.7"
"Darrius Shepherd","GB","1.2","14.6","0.0","0.1","0.2","0.0","0.0","1.7"
"Christian Blake","ATL","1.2","13.2","0.0","0.1","0.2","0.0","0.0","1.6"
"Byron Pringle","KC","1.0","12.4","0.0","0.0","0.2","0.0","0.0","1.5"
"Deonte Harris","NO","0.6","7.1","0.0","0.8","3.7","0.0","0.0","1.5"
"Noah Brown","DAL","1.1","11.8","0.0","0.0","0.0","0.0","0.0","1.5"
"Trent Taylor","SF","1.4","13.1","0.0","0.0","0.0","0.0","0.0","1.5"
"Ted Ginn Jr.","CHI","0.8","11.3","0.0","0.0","0.1","0.0","0.0","1.4"
"Seth Roberts","CAR","1.0","11.4","0.0","0.0","0.0","0.0","0.0","1.4"
"Donovan Peoples-Jones","CLE","0.8","9.3","0.1","0.0","0.7","0.0","0.0","1.4"
"Vyncint Smith","NYJ","0.7","9.4","0.1","0.0","0.4","0.0","0.0","1.3"
"Jamal Agnew","DET","0.6","7.4","0.1","0.4","1.5","0.0","0.0","1.3"
"Ray-Ray McCloud","PIT","0.8","9.1","0.0","0.2","1.2","0.0","0.0","1.2"
"Bennie Fowler III","NO","0.8","10.4","0.0","0.0","0.0","0.0","0.0","1.2"
"Jakobi Meyers","NE","0.8","11.3","0.0","0.0","0.0","0.0","0.0","1.2"
"Marquez Callaway","NO","0.8","9.4","0.0","0.0","0.2","0.0","0.0","1.1"
"KeeSean Johnson","ARI","0.8","8.1","0.1","0.0","0.0","0.0","0.0","1.1"
"K.J. Hill","LAC","0.7","8.8","0.0","0.0","0.1","0.0","0.0","1.1"
"Justin Watson","TB","0.6","9.6","0.0","0.0","0.1","0.0","0.0","1.1"
"Brandon Powell","ATL","0.6","7.7","0.0","0.0","0.5","0.0","0.0","1.1"
"Quintez Cephus","DET","0.4","7.9","0.0","0.0","0.2","0.0","0.0","1.0"
"Cam Batson","TEN","0.9","10.2","0.0","0.0","0.3","0.0","0.0","1.0"
"Alex Erickson","CIN","0.6","7.4","0.0","0.0","0.2","0.0","0.0","1.0"
"Taywan Taylor","CLE","0.4","7.1","0.0","0.0","0.1","0.0","0.0","1.0"
"Andre Roberts","BUF","0.5","6.4","0.0","0.0","0.3","0.0","0.0","0.9"
"Javon Wims","CHI","0.6","6.8","0.0","0.0","0.0","0.0","0.0","0.8"
"Quez Watkins","PHI","0.4","5.9","0.0","0.0","0.3","0.0","0.0","0.8"
"Gunner Olszewski","NE","0.3","5.1","0.0","0.0","0.1","0.0","0.0","0.7"
"Diontae Spencer","DEN","0.2","4.1","0.0","0.0","1.1","0.0","0.0","0.6"
"DeAndre Carter","HOU","0.2","4.6","0.0","0.0","0.6","0.0","0.0","0.6"
"Brandon Zylstra","CAR","0.3","4.2","0.0","0.0","0.1","0.0","0.0","0.6"
"Nsimba Webster","LAR","0.1","3.8","0.0","0.0","0.4","0.0","0.0","0.5"
"Matthew Slater","NE","0.1","3.8","0.0","0.0","0.3","0.0","0.0","0.5"
"Trent Sherfield","ARI","0.1","3.7","0.0","0.0","0.1","0.0","0.0","0.4"
"Jaydon Mickens","TB","0.1","3.2","0.0","0.0","0.4","0.0","0.0","0.4"
"Jason Moore","LAC","0.1","3.2","0.0","0.0","0.0","0.0","0.0","0.4"
"Pharoh Cooper","CAR","0.0","1.8","0.0","0.0","0.5","0.0","0.0","0.3"
""
""
