Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (15612608),Christian McCaffrey,15612608,RB/FLEX,8500,CHI@CAR 10/18/2020 01:00PM ET,CAR,26.65
WR,DeAndre Hopkins (15612874),DeAndre Hopkins,15612874,WR/FLEX,8200,ARI@DAL 10/19/2020 08:15PM ET,ARI,23.76
RB,Ezekiel Elliott (15612610),Ezekiel Elliott,15612610,RB/FLEX,8100,ARI@DAL 10/19/2020 08:15PM ET,DAL,22.74
RB,Dalvin Cook (15612612),Dalvin Cook,15612612,RB/FLEX,8000,ATL@MIN 10/18/2020 01:00PM ET,MIN,24.06
WR,Davante Adams (15612876),Davante Adams,15612876,WR/FLEX,8000,GB@TB 10/18/2020 04:25PM ET,GB,25.6
QB,Josh Allen (15612535),Josh Allen,15612535,QB,7900,KC@BUF 10/19/2020 05:00PM ET,BUF,30.13
QB,Patrick Mahomes (15612536),Patrick Mahomes,15612536,QB,7800,KC@BUF 10/19/2020 05:00PM ET,KC,29.57
WR,Calvin Ridley (15612878),Calvin Ridley,15612878,WR/FLEX,7800,ATL@MIN 10/18/2020 01:00PM ET,ATL,22.82
QB,Lamar Jackson (15612537),Lamar Jackson,15612537,QB,7700,BAL@PHI 10/18/2020 01:00PM ET,BAL,20.15
RB,Aaron Jones (15612614),Aaron Jones,15612614,RB/FLEX,7600,GB@TB 10/18/2020 04:25PM ET,GB,26.22
QB,Aaron Rodgers (15612538),Aaron Rodgers,15612538,QB,7500,GB@TB 10/18/2020 04:25PM ET,GB,27.52
WR,Adam Thielen (15612880),Adam Thielen,15612880,WR/FLEX,7300,ATL@MIN 10/18/2020 01:00PM ET,MIN,22.18
RB,Derrick Henry (15612616),Derrick Henry,15612616,RB/FLEX,7300,HOU@TEN 10/18/2020 01:00PM ET,TEN,19.2
QB,Kyler Murray (15612539),Kyler Murray,15612539,QB,7300,ARI@DAL 10/19/2020 08:15PM ET,ARI,27.91
TE,Travis Kelce (15613258),Travis Kelce,15613258,TE/FLEX,7200,KC@BUF 10/19/2020 05:00PM ET,KC,18.7
RB,Alexander Mattison (15612618),Alexander Mattison,15612618,RB/FLEX,7200,ATL@MIN 10/18/2020 01:00PM ET,MIN,8.92
WR,Tyreek Hill (15612882),Tyreek Hill,15612882,WR/FLEX,7100,KC@BUF 10/19/2020 05:00PM ET,KC,18.66
RB,James Conner (15612620),James Conner,15612620,RB/FLEX,7100,CLE@PIT 10/18/2020 01:00PM ET,PIT,17.5
RB,Mike Davis (15612622),Mike Davis,15612622,RB/FLEX,7000,CHI@CAR 10/18/2020 01:00PM ET,CAR,18.12
WR,Allen Robinson II (15612884),Allen Robinson II,15612884,WR/FLEX,7000,CHI@CAR 10/18/2020 01:00PM ET,CHI,19
QB,Deshaun Watson (15612540),Deshaun Watson,15612540,QB,7000,HOU@TEN 10/18/2020 01:00PM ET,HOU,21.87
RB,Kareem Hunt (15612624),Kareem Hunt,15612624,RB/FLEX,6900,CLE@PIT 10/18/2020 01:00PM ET,CLE,17.6
WR,Mike Evans (15612886),Mike Evans,15612886,WR/FLEX,6900,GB@TB 10/18/2020 04:25PM ET,TB,18.22
RB,James Robinson (15612626),James Robinson,15612626,RB/FLEX,6800,DET@JAX 10/18/2020 01:00PM ET,JAX,18.12
WR,Will Fuller V (15612888),Will Fuller V,15612888,WR/FLEX,6800,HOU@TEN 10/18/2020 01:00PM ET,HOU,15.84
TE,George Kittle (15613260),George Kittle,15613260,TE/FLEX,6800,LAR@SF 10/18/2020 08:20PM ET,SF,20.27
WR,Amari Cooper (15612890),Amari Cooper,15612890,WR/FLEX,6800,ARI@DAL 10/19/2020 08:15PM ET,DAL,19.04
RB,Clyde Edwards-Helaire (15612628),Clyde Edwards-Helaire,15612628,RB/FLEX,6700,KC@BUF 10/19/2020 05:00PM ET,KC,15.46
WR,Julio Jones (15612892),Julio Jones,15612892,WR/FLEX,6700,ATL@MIN 10/18/2020 01:00PM ET,ATL,13.1
QB,Ben Roethlisberger (15612541),Ben Roethlisberger,15612541,QB,6700,CLE@PIT 10/18/2020 01:00PM ET,PIT,21.21
RB,Miles Sanders (15612630),Miles Sanders,15612630,RB/FLEX,6600,BAL@PHI 10/18/2020 01:00PM ET,PHI,17.32
WR,Stefon Diggs (15612896),Stefon Diggs,15612896,WR/FLEX,6600,KC@BUF 10/19/2020 05:00PM ET,BUF,21.58
QB,Matt Ryan (15612542),Matt Ryan,15612542,QB,6600,ATL@MIN 10/18/2020 01:00PM ET,ATL,17.84
WR,JuJu Smith-Schuster (15612894),JuJu Smith-Schuster,15612894,WR/FLEX,6600,CLE@PIT 10/18/2020 01:00PM ET,PIT,14.95
QB,Jared Goff (15612543),Jared Goff,15612543,QB,6600,LAR@SF 10/18/2020 08:20PM ET,LAR,21.36
WR,Marquise Brown (15612898),Marquise Brown,15612898,WR/FLEX,6500,BAL@PHI 10/18/2020 01:00PM ET,BAL,12.6
TE,Mark Andrews (15613262),Mark Andrews,15613262,TE/FLEX,6500,BAL@PHI 10/18/2020 01:00PM ET,BAL,14.04
QB,Tom Brady (15612545),Tom Brady,15612545,QB,6500,GB@TB 10/18/2020 04:25PM ET,TB,21.52
WR,Cooper Kupp (15612900),Cooper Kupp,15612900,WR/FLEX,6500,LAR@SF 10/18/2020 08:20PM ET,LAR,16
QB,Cam Newton (15612544),Cam Newton,15612544,QB,6500,DEN@NE 10/18/2020 01:00PM ET,NE,25.49
RB,Jonathan Taylor (15612632),Jonathan Taylor,15612632,RB/FLEX,6400,CIN@IND 10/18/2020 01:00PM ET,IND,14.88
QB,Gardner Minshew II (15612546),Gardner Minshew II,15612546,QB,6400,DET@JAX 10/18/2020 01:00PM ET,JAX,21.85
WR,Odell Beckham Jr. (15612904),Odell Beckham Jr.,15612904,WR/FLEX,6400,CLE@PIT 10/18/2020 01:00PM ET,CLE,16.46
WR,Chris Godwin (15612902),Chris Godwin,15612902,WR/FLEX,6400,GB@TB 10/18/2020 04:25PM ET,TB,15.65
WR,DeVante Parker (15612910),DeVante Parker,15612910,WR/FLEX,6300,NYJ@MIA 10/18/2020 04:05PM ET,MIA,14.78
QB,Matthew Stafford (15612547),Matthew Stafford,15612547,QB,6300,DET@JAX 10/18/2020 01:00PM ET,DET,19.04
WR,DJ Chark Jr. (15612908),DJ Chark Jr.,15612908,WR/FLEX,6300,DET@JAX 10/18/2020 01:00PM ET,JAX,14.5
RB,Todd Gurley II (15612634),Todd Gurley II,15612634,RB/FLEX,6300,ATL@MIN 10/18/2020 01:00PM ET,ATL,16.46
WR,Robby Anderson (15612906),Robby Anderson,15612906,WR/FLEX,6300,CHI@CAR 10/18/2020 01:00PM ET,CAR,20.24
RB,Raheem Mostert (15612636),Raheem Mostert,15612636,RB/FLEX,6300,LAR@SF 10/18/2020 08:20PM ET,SF,19.57
WR,CeeDee Lamb (15612912),CeeDee Lamb,15612912,WR/FLEX,6300,ARI@DAL 10/19/2020 08:15PM ET,DAL,18.32
RB,Joe Mixon (15612638),Joe Mixon,15612638,RB/FLEX,6200,CIN@IND 10/18/2020 01:00PM ET,CIN,17.74
