Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (15517335),Christian McCaffrey,15517335,RB/FLEX,8800,ARI@CAR 10/04/2020 01:00PM ET,CAR,26.65
WR,DeAndre Hopkins (15517639),DeAndre Hopkins,15517639,WR/FLEX,8500,ARI@CAR 10/04/2020 01:00PM ET,ARI,26.53
QB,Lamar Jackson (15517250),Lamar Jackson,15517250,QB,8100,BAL@WAS 10/04/2020 01:00PM ET,BAL,20.08
RB,Alvin Kamara (15517337),Alvin Kamara,15517337,RB/FLEX,8000,NO@DET 10/04/2020 01:00PM ET,NO,36.6
WR,Davante Adams (15517641),Davante Adams,15517641,WR/FLEX,7900,ATL@GB 10/05/2020 08:15PM ET,GB,25.6
QB,Russell Wilson (15517251),Russell Wilson,15517251,QB,7800,SEA@MIA 10/04/2020 01:00PM ET,SEA,36.33
RB,Ezekiel Elliott (15517339),Ezekiel Elliott,15517339,RB/FLEX,7800,CLE@DAL 10/04/2020 01:00PM ET,DAL,22.9
WR,Michael Thomas (15517643),Michael Thomas,15517643,WR/FLEX,7600,NO@DET 10/04/2020 01:00PM ET,NO,4.7
RB,Dalvin Cook (15517341),Dalvin Cook,15517341,RB/FLEX,7600,MIN@HOU 10/04/2020 01:00PM ET,MIN,22.93
RB,Aaron Jones (15517343),Aaron Jones,15517343,RB/FLEX,7500,ATL@GB 10/05/2020 08:15PM ET,GB,27.6
WR,Calvin Ridley (15517645),Calvin Ridley,15517645,WR/FLEX,7500,ATL@GB 10/05/2020 08:15PM ET,ATL,29.83
RB,Derrick Henry (15517345),Derrick Henry,15517345,RB/FLEX,7400,Postponed,TEN,19.17
QB,Patrick Mahomes (15517252),Patrick Mahomes,15517252,QB,7400,NE@KC 10/04/2020 04:25PM ET,KC,31.31
QB,Josh Allen (15517253),Josh Allen,15517253,QB,7300,BUF@LV 10/04/2020 04:25PM ET,BUF,35.64
QB,Dak Prescott (15517254),Dak Prescott,15517254,QB,7200,CLE@DAL 10/04/2020 01:00PM ET,DAL,31.64
QB,Aaron Rodgers (15517255),Aaron Rodgers,15517255,QB,7100,ATL@GB 10/05/2020 08:15PM ET,GB,25.83
WR,Julio Jones (15517647),Julio Jones,15517647,WR/FLEX,7100,ATL@GB 10/05/2020 08:15PM ET,ATL,16.05
RB,Austin Ekeler (15517347),Austin Ekeler,15517347,RB/FLEX,7100,LAC@TB 10/04/2020 01:00PM ET,LAC,19.93
QB,Kyler Murray (15517256),Kyler Murray,15517256,QB,7000,ARI@CAR 10/04/2020 01:00PM ET,ARI,28.38
WR,Tyler Lockett (15517649),Tyler Lockett,15517649,WR/FLEX,7000,SEA@MIA 10/04/2020 01:00PM ET,SEA,25.63
RB,Nick Chubb (15517349),Nick Chubb,15517349,RB/FLEX,7000,CLE@DAL 10/04/2020 01:00PM ET,CLE,20.97
RB,Melvin Gordon III (15517353),Melvin Gordon III,15517353,RB/FLEX,6900,DEN@NYJ 10/01/2020 08:20PM ET,DEN,13.6
RB,James Conner (15517351),James Conner,15517351,RB/FLEX,6900,Postponed,PIT,18.23
WR,Tyreek Hill (15517651),Tyreek Hill,15517651,WR/FLEX,6900,NE@KC 10/04/2020 04:25PM ET,KC,19.53
WR,DK Metcalf (15517655),DK Metcalf,15517655,WR/FLEX,6800,SEA@MIA 10/04/2020 01:00PM ET,SEA,20.57
RB,Josh Jacobs (15517355),Josh Jacobs,15517355,RB/FLEX,6800,BUF@LV 10/04/2020 04:25PM ET,LV,19.9
WR,Stefon Diggs (15517653),Stefon Diggs,15517653,WR/FLEX,6800,BUF@LV 10/04/2020 04:25PM ET,BUF,21.27
TE,Travis Kelce (15518085),Travis Kelce,15518085,TE/FLEX,6800,NE@KC 10/04/2020 04:25PM ET,KC,18.57
WR,Allen Robinson II (15517661),Allen Robinson II,15517661,WR/FLEX,6700,IND@CHI 10/04/2020 01:00PM ET,CHI,16.63
WR,Amari Cooper (15517659),Amari Cooper,15517659,WR/FLEX,6700,CLE@DAL 10/04/2020 01:00PM ET,DAL,18.23
QB,Jared Goff (15517257),Jared Goff,15517257,QB,6700,NYG@LAR 10/04/2020 04:05PM ET,LAR,22.24
WR,Cooper Kupp (15517657),Cooper Kupp,15517657,WR/FLEX,6700,NYG@LAR 10/04/2020 04:05PM ET,LAR,16.9
RB,Miles Sanders (15517357),Miles Sanders,15517357,RB/FLEX,6700,PHI@SF 10/04/2020 08:20PM ET,PHI,17.9
RB,Jonathan Taylor (15517359),Jonathan Taylor,15517359,RB/FLEX,6600,IND@CHI 10/04/2020 01:00PM ET,IND,16.7
WR,JuJu Smith-Schuster (15517665),JuJu Smith-Schuster,15517665,WR/FLEX,6600,Postponed,PIT,17.67
QB,Deshaun Watson (15517258),Deshaun Watson,15517258,QB,6600,MIN@HOU 10/04/2020 01:00PM ET,HOU,18.53
WR,Adam Thielen (15517663),Adam Thielen,15517663,WR/FLEX,6600,MIN@HOU 10/04/2020 01:00PM ET,MIN,17.47
QB,Ben Roethlisberger (15517259),Ben Roethlisberger,15517259,QB,6500,Postponed,PIT,21.16
WR,Chris Godwin (15517667),Chris Godwin,15517667,WR/FLEX,6500,LAC@TB 10/04/2020 01:00PM ET,TB,15.65
WR,Keenan Allen (15517669),Keenan Allen,15517669,WR/FLEX,6500,LAC@TB 10/04/2020 01:00PM ET,LAC,19.5
RB,James Robinson (15517361),James Robinson,15517361,RB/FLEX,6500,JAX@CIN 10/04/2020 01:00PM ET,JAX,21.63
WR,Mike Evans (15517671),Mike Evans,15517671,WR/FLEX,6400,LAC@TB 10/04/2020 01:00PM ET,TB,15.93
QB,Cam Newton (15517260),Cam Newton,15517260,QB,6400,NE@KC 10/04/2020 04:25PM ET,NE,25.49
RB,Clyde Edwards-Helaire (15517363),Clyde Edwards-Helaire,15517363,RB/FLEX,6400,NE@KC 10/04/2020 04:25PM ET,KC,18.07
WR,Marquise Brown (15517675),Marquise Brown,15517675,WR/FLEX,6300,BAL@WAS 10/04/2020 01:00PM ET,BAL,10.2
RB,Chris Carson (15517365),Chris Carson,15517365,RB/FLEX,6300,SEA@MIA 10/04/2020 01:00PM ET,SEA,18.33
QB,Joe Burrow (15517261),Joe Burrow,15517261,QB,6300,JAX@CIN 10/04/2020 01:00PM ET,CIN,23.08
WR,Robert Woods (15517673),Robert Woods,15517673,WR/FLEX,6300,NYG@LAR 10/04/2020 04:05PM ET,LAR,17.87
TE,George Kittle (15518087),George Kittle,15518087,TE/FLEX,6300,PHI@SF 10/04/2020 08:20PM ET,SF,9.3
RB,Kareem Hunt (15517369),Kareem Hunt,15517369,RB/FLEX,6200,CLE@DAL 10/04/2020 01:00PM ET,CLE,16.87
WR,Michael Gallup (15517677),Michael Gallup,15517677,WR/FLEX,6200,CLE@DAL 10/04/2020 01:00PM ET,DAL,14.87
RB,Raheem Mostert (15517367),Raheem Mostert,15517367,RB/FLEX,6200,PHI@SF 10/04/2020 08:20PM ET,SF,21.9
QB,Tom Brady (15517262),Tom Brady,15517262,QB,6100,LAC@TB 10/04/2020 01:00PM ET,TB,19.01
