Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Derrick Henry (15750799),Derrick Henry,15750799,RB/FLEX,7700,IND@TEN 11/12/2020 08:20PM ET,TEN,20.3
WR,A.J. Brown (15750837),A.J. Brown,15750837,WR/FLEX,7500,IND@TEN 11/12/2020 08:20PM ET,TEN,19.78
QB,Cam Newton (15750788),Cam Newton,15750788,QB,6600,NE@NYJ 11/09/2020 08:15PM ET,NE,19.85
WR,Jamison Crowder (15750839),Jamison Crowder,15750839,WR/FLEX,6400,NE@NYJ 11/09/2020 08:15PM ET,NYJ,22.08
QB,Ryan Tannehill (15750789),Ryan Tannehill,15750789,QB,6400,IND@TEN 11/12/2020 08:20PM ET,TEN,22.09
RB,Jonathan Taylor (15750801),Jonathan Taylor,15750801,RB/FLEX,6400,IND@TEN 11/12/2020 08:20PM ET,IND,13.18
RB,Damien Harris (15750803),Damien Harris,15750803,RB/FLEX,6000,NE@NYJ 11/09/2020 08:15PM ET,NE,11.12
QB,Philip Rivers (15750790),Philip Rivers,15750790,QB,5700,IND@TEN 11/12/2020 08:20PM ET,IND,15.28
WR,Corey Davis (15750841),Corey Davis,15750841,WR/FLEX,5700,IND@TEN 11/12/2020 08:20PM ET,TEN,14.98
QB,Sam Darnold (15750791),Sam Darnold,15750791,QB,5100,NE@NYJ 11/09/2020 08:15PM ET,NYJ,11.27
QB,Jarrett Stidham (15750792),Jarrett Stidham,15750792,QB,5000,NE@NYJ 11/09/2020 08:15PM ET,NE,3.28
QB,Joe Flacco (15750793),Joe Flacco,15750793,QB,5000,NE@NYJ 11/09/2020 08:15PM ET,NYJ,6.96
WR,Jakobi Meyers (15750843),Jakobi Meyers,15750843,WR/FLEX,4900,NE@NYJ 11/09/2020 08:15PM ET,NE,8.57
RB,James White (15750805),James White,15750805,RB/FLEX,4800,NE@NYJ 11/09/2020 08:15PM ET,NE,8.64
RB,La'Mical Perine (15750807),La'Mical Perine,15750807,RB/FLEX,4600,NE@NYJ 11/09/2020 08:15PM ET,NYJ,4.57
WR,T.Y. Hilton (15750845),T.Y. Hilton,15750845,WR/FLEX,4600,IND@TEN 11/12/2020 08:20PM ET,IND,6.73
TE,Jonnu Smith (15750897),Jonnu Smith,15750897,TE/FLEX,4600,IND@TEN 11/12/2020 08:20PM ET,TEN,11.3
WR,Julian Edelman (15750847),Julian Edelman,15750847,WR/FLEX,4500,NE@NYJ 11/09/2020 08:15PM ET,NE,9.87
RB,Nyheim Hines (15750809),Nyheim Hines,15750809,RB/FLEX,4500,IND@TEN 11/12/2020 08:20PM ET,IND,10.59
QB,Jacoby Brissett (15750794),Jacoby Brissett,15750794,QB,4400,IND@TEN 11/12/2020 08:20PM ET,IND,0.23
WR,Zach Pascal (15750849),Zach Pascal,15750849,WR/FLEX,4400,IND@TEN 11/12/2020 08:20PM ET,IND,8.21
QB,Brian Hoyer (15750795),Brian Hoyer,15750795,QB,4300,NE@NYJ 11/09/2020 08:15PM ET,NE,4
RB,Jordan Wilkins (15750811),Jordan Wilkins,15750811,RB/FLEX,4300,IND@TEN 11/12/2020 08:20PM ET,IND,5.67
WR,Michael Pittman Jr. (15750851),Michael Pittman Jr.,15750851,WR/FLEX,4300,IND@TEN 11/12/2020 08:20PM ET,IND,5.5
RB,Sony Michel (15750813),Sony Michel,15750813,RB/FLEX,4200,NE@NYJ 11/09/2020 08:15PM ET,NE,10.2
WR,Breshad Perriman (15750853),Breshad Perriman,15750853,WR/FLEX,4200,NE@NYJ 11/09/2020 08:15PM ET,NYJ,5.7
DST,Patriots  (15750927),Patriots ,15750927,DST,4200,NE@NYJ 11/09/2020 08:15PM ET,NE,7.43
RB,Frank Gore (15750815),Frank Gore,15750815,RB/FLEX,4100,NE@NYJ 11/09/2020 08:15PM ET,NYJ,5.44
QB,Logan Woodside (15750796),Logan Woodside,15750796,QB,4100,IND@TEN 11/12/2020 08:20PM ET,TEN,0
QB,James Morgan (15750798),James Morgan,15750798,QB,4000,NE@NYJ 11/09/2020 08:15PM ET,NYJ,0
RB,Ty Johnson (15750829),Ty Johnson,15750829,RB/FLEX,4000,NE@NYJ 11/09/2020 08:15PM ET,NYJ,1.46
RB,Rex Burkhead (15750831),Rex Burkhead,15750831,RB/FLEX,4000,NE@NYJ 11/09/2020 08:15PM ET,NE,9.44
RB,J.J. Taylor (15750833),J.J. Taylor,15750833,RB/FLEX,4000,NE@NYJ 11/09/2020 08:15PM ET,NE,2.8
RB,Jakob Johnson (15750835),Jakob Johnson,15750835,RB/FLEX,4000,NE@NYJ 11/09/2020 08:15PM ET,NE,2.45
QB,Jacob Eason (15750797),Jacob Eason,15750797,QB,4000,IND@TEN 11/12/2020 08:20PM ET,IND,0
RB,Marlon Mack (15750817),Marlon Mack,15750817,RB/FLEX,4000,IND@TEN 11/12/2020 08:20PM ET,IND,8.6
RB,Jeremy McNichols (15750819),Jeremy McNichols,15750819,RB/FLEX,4000,IND@TEN 11/12/2020 08:20PM ET,TEN,2.58
RB,D'Onta Foreman (15750821),D'Onta Foreman,15750821,RB/FLEX,4000,IND@TEN 11/12/2020 08:20PM ET,TEN,2.4
RB,Darrynton Evans (15750823),Darrynton Evans,15750823,RB/FLEX,4000,IND@TEN 11/12/2020 08:20PM ET,TEN,1.05
RB,Senorise Perry (15750825),Senorise Perry,15750825,RB/FLEX,4000,IND@TEN 11/12/2020 08:20PM ET,TEN,0.45
RB,Khari Blasingame (15750827),Khari Blasingame,15750827,RB/FLEX,4000,IND@TEN 11/12/2020 08:20PM ET,TEN,1
WR,Damiere Byrd (15750855),Damiere Byrd,15750855,WR/FLEX,3900,NE@NYJ 11/09/2020 08:15PM ET,NE,6.89
WR,Denzel Mims (15750857),Denzel Mims,15750857,WR/FLEX,3800,NE@NYJ 11/09/2020 08:15PM ET,NYJ,7.2
TE,Trey Burton (15750899),Trey Burton,15750899,TE/FLEX,3800,IND@TEN 11/12/2020 08:20PM ET,IND,9.1
WR,Braxton Berrios (15750859),Braxton Berrios,15750859,WR/FLEX,3700,NE@NYJ 11/09/2020 08:15PM ET,NYJ,7.16
WR,Parris Campbell (15750861),Parris Campbell,15750861,WR/FLEX,3600,IND@TEN 11/12/2020 08:20PM ET,IND,7.35
WR,Adam Humphries (15750863),Adam Humphries,15750863,WR/FLEX,3500,IND@TEN 11/12/2020 08:20PM ET,TEN,9.32
TE,Mo Alie-Cox (15750901),Mo Alie-Cox,15750901,TE/FLEX,3500,IND@TEN 11/12/2020 08:20PM ET,IND,8.49
WR,N'Keal Harry (15750865),N'Keal Harry,15750865,WR/FLEX,3400,NE@NYJ 11/09/2020 08:15PM ET,NE,6.9
WR,Jeff Smith (15750867),Jeff Smith,15750867,WR/FLEX,3200,NE@NYJ 11/09/2020 08:15PM ET,NYJ,5.62
WR,Gunner Olszewski (15750869),Gunner Olszewski,15750869,WR/FLEX,3100,NE@NYJ 11/09/2020 08:15PM ET,NE,0.68
WR,Vyncint Smith (15750887),Vyncint Smith,15750887,WR/FLEX,3000,NE@NYJ 11/09/2020 08:15PM ET,NYJ,0.77
WR,Chris Hogan (15750889),Chris Hogan,15750889,WR/FLEX,3000,NE@NYJ 11/09/2020 08:15PM ET,NYJ,5.16
WR,Isaiah Ford (15750891),Isaiah Ford,15750891,WR/FLEX,3000,NE@NYJ 11/09/2020 08:15PM ET,NE,6.07
WR,Matthew Slater (15750893),Matthew Slater,15750893,WR/FLEX,3000,NE@NYJ 11/09/2020 08:15PM ET,NE,0
WR,Quincy Adeboyejo (15750895),Quincy Adeboyejo,15750895,WR/FLEX,3000,NE@NYJ 11/09/2020 08:15PM ET,NE,0
WR,Marcus Johnson (15750871),Marcus Johnson,15750871,WR/FLEX,3000,IND@TEN 11/12/2020 08:20PM ET,IND,8.02
WR,Dezmon Patmon (15750873),Dezmon Patmon,15750873,WR/FLEX,3000,IND@TEN 11/12/2020 08:20PM ET,IND,0
WR,Reece Fountain (15750875),Reece Fountain,15750875,WR/FLEX,3000,IND@TEN 11/12/2020 08:20PM ET,IND,2.15
WR,De'Michael Harris (15750877),De'Michael Harris,15750877,WR/FLEX,3000,IND@TEN 11/12/2020 08:20PM ET,IND,7.7
WR,Ashton Dulin (15750879),Ashton Dulin,15750879,WR/FLEX,3000,IND@TEN 11/12/2020 08:20PM ET,IND,1.43
WR,Kalif Raymond (15750881),Kalif Raymond,15750881,WR/FLEX,3000,IND@TEN 11/12/2020 08:20PM ET,TEN,3.8
