Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Ezekiel Elliott (15702902),Ezekiel Elliott,15702902,RB/FLEX,7500,DAL@PHI 11/01/2020 08:20PM ET,DAL,19.11
QB,Tom Brady (15702890),Tom Brady,15702890,QB,6900,TB@NYG 11/02/2020 08:15PM ET,TB,23.16
WR,Mike Evans (15702936),Mike Evans,15702936,WR/FLEX,6800,TB@NYG 11/02/2020 08:15PM ET,TB,14.11
QB,Carson Wentz (15702891),Carson Wentz,15702891,QB,6500,DAL@PHI 11/01/2020 08:20PM ET,PHI,22.56
WR,Chris Godwin (15702938),Chris Godwin,15702938,WR/FLEX,6400,TB@NYG 11/02/2020 08:15PM ET,TB,16.22
RB,Miles Sanders (15702904),Miles Sanders,15702904,RB/FLEX,6300,DAL@PHI 11/01/2020 08:20PM ET,PHI,16.9
WR,Travis Fulgham (15702940),Travis Fulgham,15702940,WR/FLEX,6100,DAL@PHI 11/01/2020 08:20PM ET,PHI,19.92
RB,Ronald Jones II (15702906),Ronald Jones II,15702906,RB/FLEX,6100,TB@NYG 11/02/2020 08:15PM ET,TB,15.74
RB,Boston Scott (15702908),Boston Scott,15702908,RB/FLEX,6000,DAL@PHI 11/01/2020 08:20PM ET,PHI,5.24
WR,Amari Cooper (15702942),Amari Cooper,15702942,WR/FLEX,5800,DAL@PHI 11/01/2020 08:20PM ET,DAL,18.8
TE,Rob Gronkowski (15702994),Rob Gronkowski,15702994,TE/FLEX,5600,TB@NYG 11/02/2020 08:15PM ET,TB,8.86
QB,Andy Dalton (15702892),Andy Dalton,15702892,QB,5400,DAL@PHI 11/01/2020 08:20PM ET,DAL,5.02
RB,Leonard Fournette (15702910),Leonard Fournette,15702910,RB/FLEX,5400,TB@NYG 11/02/2020 08:15PM ET,TB,13.35
QB,Daniel Jones (15702893),Daniel Jones,15702893,QB,5200,TB@NYG 11/02/2020 08:15PM ET,NYG,13.86
WR,Darius Slayton (15702944),Darius Slayton,15702944,WR/FLEX,5200,TB@NYG 11/02/2020 08:15PM ET,NYG,13.23
QB,Ben DiNucci (15702894),Ben DiNucci,15702894,QB,5000,DAL@PHI 11/01/2020 08:20PM ET,DAL,1.56
QB,Garrett Gilbert (15702895),Garrett Gilbert,15702895,QB,5000,DAL@PHI 11/01/2020 08:20PM ET,DAL,0
WR,Scotty Miller (15702946),Scotty Miller,15702946,WR/FLEX,4900,TB@NYG 11/02/2020 08:15PM ET,TB,12.37
RB,Devonta Freeman (15702912),Devonta Freeman,15702912,RB/FLEX,4800,TB@NYG 11/02/2020 08:15PM ET,NYG,7.2
WR,Sterling Shepard (15702948),Sterling Shepard,15702948,WR/FLEX,4800,TB@NYG 11/02/2020 08:15PM ET,NYG,11.37
WR,CeeDee Lamb (15702950),CeeDee Lamb,15702950,WR/FLEX,4700,DAL@PHI 11/01/2020 08:20PM ET,DAL,15.01
TE,Dallas Goedert (15702996),Dallas Goedert,15702996,TE/FLEX,4700,DAL@PHI 11/01/2020 08:20PM ET,PHI,11.93
QB,Jalen Hurts (15702896),Jalen Hurts,15702896,QB,4600,DAL@PHI 11/01/2020 08:20PM ET,PHI,1.19
RB,Wayne Gallman Jr. (15702914),Wayne Gallman Jr.,15702914,RB/FLEX,4600,TB@NYG 11/02/2020 08:15PM ET,NYG,6.22
TE,Zach Ertz (15702998),Zach Ertz,15702998,TE/FLEX,4500,DAL@PHI 11/01/2020 08:20PM ET,PHI,8.3
DST,Buccaneers  (15703032),Buccaneers ,15703032,DST,4300,TB@NYG 11/02/2020 08:15PM ET,TB,9.86
RB,Corey Clement (15702916),Corey Clement,15702916,RB/FLEX,4200,DAL@PHI 11/01/2020 08:20PM ET,PHI,1.38
TE,Richard Rodgers (15703000),Richard Rodgers,15703000,TE/FLEX,4200,DAL@PHI 11/01/2020 08:20PM ET,PHI,4.77
