Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (15409670),Christian McCaffrey,15409670,RB/FLEX,10000,CAR@TB 09/20/2020 01:00PM ET,CAR,28.5
RB,Saquon Barkley (15409868),Saquon Barkley,15409868,RB/FLEX,8400,NYG@CHI 09/20/2020 01:00PM ET,NYG,12.6
RB,Ezekiel Elliott (15409515),Ezekiel Elliott,15409515,RB/FLEX,8200,ATL@DAL 09/20/2020 01:00PM ET,DAL,27.7
QB,Lamar Jackson (15409814),Lamar Jackson,15409814,QB,8200,BAL@HOU 09/20/2020 04:25PM ET,BAL,27.5
WR,Davante Adams (15409407),Davante Adams,15409407,WR/FLEX,8100,DET@GB 09/20/2020 01:00PM ET,GB,44.6
WR,Michael Thomas (15409427),Michael Thomas,15409427,WR/FLEX,8000,NO@LV 09/21/2020 08:15PM ET,NO,4.7
RB,Derrick Henry (15409520),Derrick Henry,15409520,RB/FLEX,7900,JAX@TEN 09/20/2020 01:00PM ET,TEN,19.1
RB,Alvin Kamara (15409603),Alvin Kamara,15409603,RB/FLEX,7800,NO@LV 09/21/2020 08:15PM ET,NO,23.7
WR,DeAndre Hopkins (15409315),DeAndre Hopkins,15409315,WR/FLEX,7700,WAS@ARI 09/20/2020 04:05PM ET,ARI,32.1
QB,Patrick Mahomes (15409757),Patrick Mahomes,15409757,QB,7700,KC@LAC 09/20/2020 04:25PM ET,KC,20.44
RB,Dalvin Cook (15409661),Dalvin Cook,15409661,RB/FLEX,7600,MIN@IND 09/20/2020 01:00PM ET,MIN,21.8
WR,Tyreek Hill (15409654),Tyreek Hill,15409654,WR/FLEX,7500,KC@LAC 09/20/2020 04:25PM ET,KC,15.6
RB,Josh Jacobs (15410022),Josh Jacobs,15410022,RB/FLEX,7500,NO@LV 09/21/2020 08:15PM ET,LV,35.9
WR,Julio Jones (15409213),Julio Jones,15409213,WR/FLEX,7400,ATL@DAL 09/20/2020 01:00PM ET,ATL,27.7
RB,Clyde Edwards-Helaire (15410063),Clyde Edwards-Helaire,15410063,RB/FLEX,7400,KC@LAC 09/20/2020 04:25PM ET,KC,22.8
WR,Adam Thielen (15409526),Adam Thielen,15409526,WR/FLEX,7200,MIN@IND 09/20/2020 01:00PM ET,MIN,34
RB,Aaron Jones (15409543),Aaron Jones,15409543,RB/FLEX,7100,DET@GB 09/20/2020 01:00PM ET,GB,17.6
WR,Chris Godwin (15409701),Chris Godwin,15409701,WR/FLEX,7000,CAR@TB 09/20/2020 01:00PM ET,TB,13.9
TE,Travis Kelce (15409208),Travis Kelce,15409208,TE/FLEX,7000,KC@LAC 09/20/2020 04:25PM ET,KC,17
QB,Aaron Rodgers (15409135),Aaron Rodgers,15409135,QB,6900,DET@GB 09/20/2020 01:00PM ET,GB,33.76
RB,James Conner (15409551),James Conner,15409551,RB/FLEX,6800,DEN@PIT 09/20/2020 01:00PM ET,PIT,3.7
QB,Dak Prescott (15409334),Dak Prescott,15409334,QB,6800,ATL@DAL 09/20/2020 01:00PM ET,DAL,17.64
WR,Calvin Ridley (15409876),Calvin Ridley,15409876,WR/FLEX,6800,ATL@DAL 09/20/2020 01:00PM ET,ATL,36.9
QB,Drew Brees (15409129),Drew Brees,15409129,QB,6800,NO@LV 09/21/2020 08:15PM ET,NO,14.4
TE,George Kittle (15409528),George Kittle,15409528,TE/FLEX,6700,SF@NYJ 09/20/2020 01:00PM ET,SF,9.3
WR,Cooper Kupp (15409488),Cooper Kupp,15409488,WR/FLEX,6700,LAR@PHI 09/20/2020 01:00PM ET,LAR,8
QB,Josh Allen (15409799),Josh Allen,15409799,QB,6700,BUF@MIA 09/20/2020 01:00PM ET,BUF,33.18
QB,Matt Ryan (15409138),Matt Ryan,15409138,QB,6600,ATL@DAL 09/20/2020 01:00PM ET,ATL,27.9
QB,Tom Brady (15409128),Tom Brady,15409128,QB,6500,CAR@TB 09/20/2020 01:00PM ET,TB,22.46
WR,JuJu Smith-Schuster (15409719),JuJu Smith-Schuster,15409719,WR/FLEX,6500,DEN@PIT 09/20/2020 01:00PM ET,PIT,24.9
WR,Stefon Diggs (15409459),Stefon Diggs,15409459,WR/FLEX,6500,BUF@MIA 09/20/2020 01:00PM ET,BUF,16.6
RB,Austin Ekeler (15409615),Austin Ekeler,15409615,RB/FLEX,6500,KC@LAC 09/20/2020 04:25PM ET,LAC,9.7
QB,Russell Wilson (15409203),Russell Wilson,15409203,QB,6500,NE@SEA 09/20/2020 08:20PM ET,SEA,34.78
