Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Davante Adams (15757481),Davante Adams,15757481,WR/FLEX,9000,JAX@GB 11/15/2020 01:00PM ET,GB,29.58
RB,Christian McCaffrey (15757191),Christian McCaffrey,15757191,RB/FLEX,9000,TB@CAR 11/15/2020 01:00PM ET,CAR,30.13
RB,Dalvin Cook (15757193),Dalvin Cook,15757193,RB/FLEX,8900,MIN@CHI 11/16/2020 08:15PM ET,MIN,30.59
RB,Alvin Kamara (15757195),Alvin Kamara,15757195,RB/FLEX,8200,SF@NO 11/15/2020 04:25PM ET,NO,26.82
QB,Kyler Murray (15757116),Kyler Murray,15757116,QB,8000,BUF@ARI 11/15/2020 04:05PM ET,ARI,31.44
QB,Aaron Rodgers (15757117),Aaron Rodgers,15757117,QB,7900,JAX@GB 11/15/2020 01:00PM ET,GB,24.83
QB,Russell Wilson (15757118),Russell Wilson,15757118,QB,7700,SEA@LAR 11/15/2020 04:25PM ET,SEA,31.64
WR,DeAndre Hopkins (15757483),DeAndre Hopkins,15757483,WR/FLEX,7700,BUF@ARI 11/15/2020 04:05PM ET,ARI,20.3
RB,Derrick Henry (15757197),Derrick Henry,15757197,RB/FLEX,7700,IND@TEN 11/12/2020 08:20PM ET,TEN,20.3
WR,DK Metcalf (15757487),DK Metcalf,15757487,WR/FLEX,7600,SEA@LAR 11/15/2020 04:25PM ET,SEA,22.6
WR,A.J. Brown (15757485),A.J. Brown,15757485,WR/FLEX,7600,IND@TEN 11/12/2020 08:20PM ET,TEN,19.78
QB,Josh Allen (15757119),Josh Allen,15757119,QB,7500,BUF@ARI 11/15/2020 04:05PM ET,BUF,26.62
WR,Stefon Diggs (15757489),Stefon Diggs,15757489,WR/FLEX,7500,BUF@ARI 11/15/2020 04:05PM ET,BUF,19.37
WR,Michael Thomas (15757491),Michael Thomas,15757491,WR/FLEX,7400,SF@NO 11/15/2020 04:25PM ET,NO,7.4
QB,Lamar Jackson (15757120),Lamar Jackson,15757120,QB,7100,BAL@NE 11/15/2020 08:20PM ET,BAL,21.18
RB,Aaron Jones (15757199),Aaron Jones,15757199,RB/FLEX,7100,JAX@GB 11/15/2020 01:00PM ET,GB,21.82
WR,Keenan Allen (15757493),Keenan Allen,15757493,WR/FLEX,7100,LAC@MIA 11/15/2020 04:05PM ET,LAC,19.89
