,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,HomeTeam,AwayTeam,OpposingTeam,OpponentUID,TeamUID,OffenseTeam,Week,UniquePlayer,TmOFNS,CALCAVGPTDOFFPlaysOFNS,CALCAVGPTDOFFToGoOFNS,CALCAVGPTDOFFYdsOFNS,CALCAVGPTDOFF1st%OFNS,CALCAVGPTDOFFTO%OFNS,CALCAVGPTDOFFTDOFNS,CALCAVGPTDOFFFGOFNS,CALCAVGPTDOFFnanOFNS,CALCAVGPTDOFFIntOFNS,CALCAVGPTDOFFFmbOFNS,CALCAVGPTDOFFSkOFNS,CALCAVGPTDOFFPassOFNS,CALCAVGPTDOFFRushOFNS,CALCAVGPTDOFFFGOFNS1,CALCAVGPTDOFFPuntOFNS,CALCAVGPTDOFFGDFNS,CALCAVGPTDOFFPlaysDFNS,CALCAVGPTDOFFToGoDFNS,CALCAVGPTDOFFYdsDFNS,CALCAVGPTDOFF1st%DFNS,CALCAVGPTDOFFTO%DFNS,CALCAVGPTDOFFTDDFNS,CALCAVGPTDOFFFGDFNS,CALCAVGPTDOFFnanDFNS,CALCAVGPTDOFFIntDFNS,CALCAVGPTDOFFFmbDFNS,CALCAVGPTDOFFSkDFNS,CALCAVGPTDOFFPassDFNS,CALCAVGPTDOFFRushDFNS,CALCAVGPTDOFFFGDFNS1,CALCAVGPTDOFFPuntDFNS,CALCAVGPTDOFFRkALLSCR,CALCAVGPTDOFFTDALLSCR,CALCAVGPTDOFFXPAALLSCR,CALCAVGPTDOFFXPMALLSCR,CALCAVGPTDOFFFGAALLSCR,CALCAVGPTDOFFFGMALLSCR,CALCAVGPTDOFF2PAALLSCR,CALCAVGPTDOFF2PMALLSCR,CALCAVGPTDOFFSftyALLSCR,CALCAVGPTDOFFRkDSTSCR,CALCAVGPTDOFFKRDSTSCR,CALCAVGPTDOFFPRDSTSCR,CALCAVGPTDOFFIRDSTSCR,CALCAVGPTDOFFFRDSTSCR,CALCAVGPTDOFFORDSTSCR,CALCAVGPTDOFFRetTDDSTSCR,CALCAVGPTDOFFPtsFor,CALCAVGPTDOFFPtsAgainst,OffenseUID,Opponent,CALCAVGPTDOPPPlaysOFNS,CALCAVGPTDOPPToGoOFNS,CALCAVGPTDOPPYdsOFNS,CALCAVGPTDOPP1st%OFNS,CALCAVGPTDOPPTO%OFNS,CALCAVGPTDOPPTDOFNS,CALCAVGPTDOPPFGOFNS,CALCAVGPTDOPPnanOFNS,CALCAVGPTDOPPIntOFNS,CALCAVGPTDOPPFmbOFNS,CALCAVGPTDOPPSkOFNS,CALCAVGPTDOPPPassOFNS,CALCAVGPTDOPPRushOFNS,CALCAVGPTDOPPFGOFNS1,CALCAVGPTDOPPPuntOFNS,CALCAVGPTDOPPGDFNS,CALCAVGPTDOPPPlaysDFNS,CALCAVGPTDOPPToGoDFNS,CALCAVGPTDOPPYdsDFNS,CALCAVGPTDOPP1st%DFNS,CALCAVGPTDOPPTO%DFNS,CALCAVGPTDOPPTDDFNS,CALCAVGPTDOPPFGDFNS,CALCAVGPTDOPPnanDFNS,CALCAVGPTDOPPIntDFNS,CALCAVGPTDOPPFmbDFNS,CALCAVGPTDOPPSkDFNS,CALCAVGPTDOPPPassDFNS,CALCAVGPTDOPPRushDFNS,CALCAVGPTDOPPFGDFNS1,CALCAVGPTDOPPPuntDFNS,CALCAVGPTDOPPRkALLSCR,CALCAVGPTDOPPTDALLSCR,CALCAVGPTDOPPXPAALLSCR,CALCAVGPTDOPPXPMALLSCR,CALCAVGPTDOPPFGAALLSCR,CALCAVGPTDOPPFGMALLSCR,CALCAVGPTDOPP2PAALLSCR,CALCAVGPTDOPP2PMALLSCR,CALCAVGPTDOPPSftyALLSCR,CALCAVGPTDOPPRkDSTSCR,CALCAVGPTDOPPKRDSTSCR,CALCAVGPTDOPPPRDSTSCR,CALCAVGPTDOPPIRDSTSCR,CALCAVGPTDOPPFRDSTSCR,CALCAVGPTDOPPORDSTSCR,CALCAVGPTDOPPRetTDDSTSCR,CALCAVGPTDOPPPtsFor,CALCAVGPTDOPPPtsAgainst,DefenseUID,Player,CALCAVGPPDOFFCmpPass,CALCAVGPPDOFFAttPass,CALCAVGPPDOFFCmp%Pass,CALCAVGPPDOFFYdsPass1,CALCAVGPPDOFFTDPass,CALCAVGPPDOFFIntPass,CALCAVGPPDOFFSkPass,CALCAVGPPDOFFYdsPass2,CALCAVGPPDOFFY/APass,CALCAVGPPDOFF1DPass,CALCAVGPPDOFFRateRec,CALCAVGPPDOFFTgtRec,CALCAVGPPDOFFRecRec,CALCAVGPPDOFFCtch%Rec,CALCAVGPPDOFFYdsRec,CALCAVGPPDOFFTDRec,CALCAVGPPDOFF1DRec,CALCAVGPPDOFFAttRush,CALCAVGPPDOFFYdsRush,CALCAVGPPDOFFY/ARush,CALCAVGPPDOFFTDRush,CALCAVGPPDOFF1DRush,CALCAVGPPDOFFSkYdsPass
0,RB,Dalvin Cook (15870042),Dalvin Cook,15870042,RB/FLEX,9500,JAX@MIN 12/06/2020 01:00PM ET,MIN,26.95,MIN,JAX,JAX,10025,10018,15260877,13,Dalvin CookRB15260877,MIN,73.54545454545455,7.290909090909091,5.3090909090909095,0.2752727272727272,0.02472727272727273,3.4545454545454546,0.7272727272727273,20.363636363636363,1.0,0.8181818181818182,1.9090909090909092,29.636363636363637,29.636363636363637,0.9090909090909091,3.4545454545454546,1.0,79.54545454545455,7.327272727272729,4.745454545454545,0.2674545454545454,0.012636363636363638,3.0,2.272727272727273,21.454545454545453,0.8181818181818182,0.18181818181818182,1.8181818181818181,37.45454545454545,28.636363636363637,2.3636363636363638,2.8181818181818183,11.636363636363637,3.3636363636363638,2.4545454545454546,2.3636363636363638,1.0909090909090908,0.9090909090909091,0.9090909090909091,0.6363636363636364,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.545454545454547,27.363636363636363,10018,JAX,79.18181818181819,7.363636363636362,5.118181818181818,0.2586363636363637,0.013000000000000001,3.1818181818181817,2.090909090909091,20.454545454545453,0.7272727272727273,0.2727272727272727,1.0909090909090908,34.72727272727273,30.818181818181817,2.5454545454545454,3.1818181818181817,1.0,76.81818181818181,7.454545454545453,4.218181818181818,0.23590909090909087,0.022454545454545456,2.1818181818181817,1.2727272727272727,18.272727272727273,1.1818181818181819,0.5454545454545454,3.090909090909091,40.63636363636363,22.0,1.6363636363636365,3.909090909090909,11.272727272727273,3.3636363636363638,3.272727272727273,3.090909090909091,2.4545454545454546,2.090909090909091,0.09090909090909091,0.0,0.0,13.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,29.545454545454547,20.636363636363637,10025,Dalvin CookRB15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.0,0.8567,27.9,0.1,1.3,22.8,118.4,5.203999999999999,1.4,6.5,0.0
1,WR,Adam Thielen (15870346),Adam Thielen,15870346,WR/FLEX,7300,JAX@MIN 12/06/2020 01:00PM ET,MIN,19.21,MIN,JAX,JAX,10025,10018,15260877,13,Adam ThielenWR15260877,MIN,73.54545454545455,7.290909090909091,5.3090909090909095,0.2752727272727272,0.02472727272727273,3.4545454545454546,0.7272727272727273,20.363636363636363,1.0,0.8181818181818182,1.9090909090909092,29.636363636363637,29.636363636363637,0.9090909090909091,3.4545454545454546,1.0,79.54545454545455,7.327272727272729,4.745454545454545,0.2674545454545454,0.012636363636363638,3.0,2.272727272727273,21.454545454545453,0.8181818181818182,0.18181818181818182,1.8181818181818181,37.45454545454545,28.636363636363637,2.3636363636363638,2.8181818181818183,11.636363636363637,3.3636363636363638,2.4545454545454546,2.3636363636363638,1.0909090909090908,0.9090909090909091,0.9090909090909091,0.6363636363636364,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.545454545454547,27.363636363636363,10018,JAX,79.18181818181819,7.363636363636362,5.118181818181818,0.2586363636363637,0.013000000000000001,3.1818181818181817,2.090909090909091,20.454545454545453,0.7272727272727273,0.2727272727272727,1.0909090909090908,34.72727272727273,30.818181818181817,2.5454545454545454,3.1818181818181817,1.0,76.81818181818181,7.454545454545453,4.218181818181818,0.23590909090909087,0.022454545454545456,2.1818181818181817,1.2727272727272727,18.272727272727273,1.1818181818181819,0.5454545454545454,3.090909090909091,40.63636363636363,22.0,1.6363636363636365,3.909090909090909,11.272727272727273,3.3636363636363638,3.272727272727273,3.090909090909091,2.4545454545454546,2.090909090909091,0.09090909090909091,0.0,0.0,13.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,29.545454545454547,20.636363636363637,10025,Adam ThielenWR15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.909090909090909,5.181818181818182,0.6356363636363637,69.9090909090909,1.1818181818181819,3.727272727272727,0.2727272727272727,1.3636363636363635,1.3636363636363635,0.0,0.0,0.0
2,RB,Alexander Mattison (15870058),Alexander Mattison,15870058,RB/FLEX,6900,JAX@MIN 12/06/2020 01:00PM ET,MIN,5.26,MIN,JAX,JAX,10025,10018,15260877,13,Alexander MattisonRB15260877,MIN,73.54545454545455,7.290909090909091,5.3090909090909095,0.2752727272727272,0.02472727272727273,3.4545454545454546,0.7272727272727273,20.363636363636363,1.0,0.8181818181818182,1.9090909090909092,29.636363636363637,29.636363636363637,0.9090909090909091,3.4545454545454546,1.0,79.54545454545455,7.327272727272729,4.745454545454545,0.2674545454545454,0.012636363636363638,3.0,2.272727272727273,21.454545454545453,0.8181818181818182,0.18181818181818182,1.8181818181818181,37.45454545454545,28.636363636363637,2.3636363636363638,2.8181818181818183,11.636363636363637,3.3636363636363638,2.4545454545454546,2.3636363636363638,1.0909090909090908,0.9090909090909091,0.9090909090909091,0.6363636363636364,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.545454545454547,27.363636363636363,10018,JAX,79.18181818181819,7.363636363636362,5.118181818181818,0.2586363636363637,0.013000000000000001,3.1818181818181817,2.090909090909091,20.454545454545453,0.7272727272727273,0.2727272727272727,1.0909090909090908,34.72727272727273,30.818181818181817,2.5454545454545454,3.1818181818181817,1.0,76.81818181818181,7.454545454545453,4.218181818181818,0.23590909090909087,0.022454545454545456,2.1818181818181817,1.2727272727272727,18.272727272727273,1.1818181818181819,0.5454545454545454,3.090909090909091,40.63636363636363,22.0,1.6363636363636365,3.909090909090909,11.272727272727273,3.3636363636363638,3.272727272727273,3.090909090909091,2.4545454545454546,2.090909090909091,0.09090909090909091,0.0,0.0,13.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,29.545454545454547,20.636363636363637,10025,Alexander MattisonRB15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8181818181818182,0.2727272727272727,5.545454545454546,0.0,0.2727272727272727,6.636363636363637,30.727272727272727,4.462727272727273,0.09090909090909091,1.7272727272727273,0.0
3,WR,Justin Jefferson (15870354),Justin Jefferson,15870354,WR/FLEX,6900,JAX@MIN 12/06/2020 01:00PM ET,MIN,17.62,MIN,JAX,JAX,10025,10018,15260877,13,Justin JeffersonWR15260877,MIN,73.54545454545455,7.290909090909091,5.3090909090909095,0.2752727272727272,0.02472727272727273,3.4545454545454546,0.7272727272727273,20.363636363636363,1.0,0.8181818181818182,1.9090909090909092,29.636363636363637,29.636363636363637,0.9090909090909091,3.4545454545454546,1.0,79.54545454545455,7.327272727272729,4.745454545454545,0.2674545454545454,0.012636363636363638,3.0,2.272727272727273,21.454545454545453,0.8181818181818182,0.18181818181818182,1.8181818181818181,37.45454545454545,28.636363636363637,2.3636363636363638,2.8181818181818183,11.636363636363637,3.3636363636363638,2.4545454545454546,2.3636363636363638,1.0909090909090908,0.9090909090909091,0.9090909090909091,0.6363636363636364,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.545454545454547,27.363636363636363,10018,JAX,79.18181818181819,7.363636363636362,5.118181818181818,0.2586363636363637,0.013000000000000001,3.1818181818181817,2.090909090909091,20.454545454545453,0.7272727272727273,0.2727272727272727,1.0909090909090908,34.72727272727273,30.818181818181817,2.5454545454545454,3.1818181818181817,1.0,76.81818181818181,7.454545454545453,4.218181818181818,0.23590909090909087,0.022454545454545456,2.1818181818181817,1.2727272727272727,18.272727272727273,1.1818181818181819,0.5454545454545454,3.090909090909091,40.63636363636363,22.0,1.6363636363636365,3.909090909090909,11.272727272727273,3.3636363636363638,3.272727272727273,3.090909090909091,2.4545454545454546,2.090909090909091,0.09090909090909091,0.0,0.0,13.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,29.545454545454547,20.636363636363637,10025,Justin JeffersonWR15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.818181818181818,4.363636363636363,0.7420909090909091,84.9090909090909,0.45454545454545453,3.1818181818181817,0.0,0.0,0.0,0.0,0.0,0.0
4,QB,Kirk Cousins (15869975),Kirk Cousins,15869975,QB,6400,JAX@MIN 12/06/2020 01:00PM ET,MIN,19.4,MIN,JAX,JAX,10025,10018,15260877,13,Kirk CousinsQB15260877,MIN,73.54545454545455,7.290909090909091,5.3090909090909095,0.2752727272727272,0.02472727272727273,3.4545454545454546,0.7272727272727273,20.363636363636363,1.0,0.8181818181818182,1.9090909090909092,29.636363636363637,29.636363636363637,0.9090909090909091,3.4545454545454546,1.0,79.54545454545455,7.327272727272729,4.745454545454545,0.2674545454545454,0.012636363636363638,3.0,2.272727272727273,21.454545454545453,0.8181818181818182,0.18181818181818182,1.8181818181818181,37.45454545454545,28.636363636363637,2.3636363636363638,2.8181818181818183,11.636363636363637,3.3636363636363638,2.4545454545454546,2.3636363636363638,1.0909090909090908,0.9090909090909091,0.9090909090909091,0.6363636363636364,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.545454545454547,27.363636363636363,10018,JAX,79.18181818181819,7.363636363636362,5.118181818181818,0.2586363636363637,0.013000000000000001,3.1818181818181817,2.090909090909091,20.454545454545453,0.7272727272727273,0.2727272727272727,1.0909090909090908,34.72727272727273,30.818181818181817,2.5454545454545454,3.1818181818181817,1.0,76.81818181818181,7.454545454545453,4.218181818181818,0.23590909090909087,0.022454545454545456,2.1818181818181817,1.2727272727272727,18.272727272727273,1.1818181818181819,0.5454545454545454,3.090909090909091,40.63636363636363,22.0,1.6363636363636365,3.909090909090909,11.272727272727273,3.3636363636363638,3.272727272727273,3.090909090909091,2.4545454545454546,2.090909090909091,0.09090909090909091,0.0,0.0,13.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,29.545454545454547,20.636363636363637,10025,Kirk CousinsQB15260877,18.727272727272727,27.727272727272727,67.79999999999998,252.27272727272728,2.090909090909091,1.0,1.9090909090909092,-9.636363636363637,9.381818181818181,11.636363636363637,109.26363636363635,0.0,0.0,0.0,0.0,0.0,0.0,1.2727272727272727,5.636363636363637,2.340909090909091,0.0,0.7272727272727273,-9.636363636363637
5,WR,Olabisi Johnson (15870462),Olabisi Johnson,15870462,WR/FLEX,3700,JAX@MIN 12/06/2020 01:00PM ET,MIN,4.08,MIN,JAX,JAX,10025,10018,15260877,13,Olabisi JohnsonWR15260877,MIN,73.54545454545455,7.290909090909091,5.3090909090909095,0.2752727272727272,0.02472727272727273,3.4545454545454546,0.7272727272727273,20.363636363636363,1.0,0.8181818181818182,1.9090909090909092,29.636363636363637,29.636363636363637,0.9090909090909091,3.4545454545454546,1.0,79.54545454545455,7.327272727272729,4.745454545454545,0.2674545454545454,0.012636363636363638,3.0,2.272727272727273,21.454545454545453,0.8181818181818182,0.18181818181818182,1.8181818181818181,37.45454545454545,28.636363636363637,2.3636363636363638,2.8181818181818183,11.636363636363637,3.3636363636363638,2.4545454545454546,2.3636363636363638,1.0909090909090908,0.9090909090909091,0.9090909090909091,0.6363636363636364,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.545454545454547,27.363636363636363,10018,JAX,79.18181818181819,7.363636363636362,5.118181818181818,0.2586363636363637,0.013000000000000001,3.1818181818181817,2.090909090909091,20.454545454545453,0.7272727272727273,0.2727272727272727,1.0909090909090908,34.72727272727273,30.818181818181817,2.5454545454545454,3.1818181818181817,1.0,76.81818181818181,7.454545454545453,4.218181818181818,0.23590909090909087,0.022454545454545456,2.1818181818181817,1.2727272727272727,18.272727272727273,1.1818181818181819,0.5454545454545454,3.090909090909091,40.63636363636363,22.0,1.6363636363636365,3.909090909090909,11.272727272727273,3.3636363636363638,3.272727272727273,3.090909090909091,2.4545454545454546,2.090909090909091,0.09090909090909091,0.0,0.0,13.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,29.545454545454547,20.636363636363637,10025,Olabisi JohnsonWR15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,1.0,0.5832857142857143,15.857142857142858,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
6,TE,Kyle Rudolph (15870752),Kyle Rudolph,15870752,TE/FLEX,3400,JAX@MIN 12/06/2020 01:00PM ET,MIN,6.04,MIN,JAX,JAX,10025,10018,15260877,13,Kyle RudolphTE15260877,MIN,73.54545454545455,7.290909090909091,5.3090909090909095,0.2752727272727272,0.02472727272727273,3.4545454545454546,0.7272727272727273,20.363636363636363,1.0,0.8181818181818182,1.9090909090909092,29.636363636363637,29.636363636363637,0.9090909090909091,3.4545454545454546,1.0,79.54545454545455,7.327272727272729,4.745454545454545,0.2674545454545454,0.012636363636363638,3.0,2.272727272727273,21.454545454545453,0.8181818181818182,0.18181818181818182,1.8181818181818181,37.45454545454545,28.636363636363637,2.3636363636363638,2.8181818181818183,11.636363636363637,3.3636363636363638,2.4545454545454546,2.3636363636363638,1.0909090909090908,0.9090909090909091,0.9090909090909091,0.6363636363636364,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.545454545454547,27.363636363636363,10018,JAX,79.18181818181819,7.363636363636362,5.118181818181818,0.2586363636363637,0.013000000000000001,3.1818181818181817,2.090909090909091,20.454545454545453,0.7272727272727273,0.2727272727272727,1.0909090909090908,34.72727272727273,30.818181818181817,2.5454545454545454,3.1818181818181817,1.0,76.81818181818181,7.454545454545453,4.218181818181818,0.23590909090909087,0.022454545454545456,2.1818181818181817,1.2727272727272727,18.272727272727273,1.1818181818181819,0.5454545454545454,3.090909090909091,40.63636363636363,22.0,1.6363636363636365,3.909090909090909,11.272727272727273,3.3636363636363638,3.272727272727273,3.090909090909091,2.4545454545454546,2.090909090909091,0.09090909090909091,0.0,0.0,13.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,29.545454545454547,20.636363636363637,10025,Kyle RudolphTE15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.727272727272727,2.1818181818181817,0.7697272727272726,26.727272727272727,0.09090909090909091,1.3636363636363635,0.0,0.0,0.0,0.0,0.0,0.0
7,TE,Irv Smith Jr. (15870764),Irv Smith Jr.,15870764,TE/FLEX,3200,JAX@MIN 12/06/2020 01:00PM ET,MIN,5.24,MIN,JAX,JAX,10025,10018,15260877,13,Irv Smith Jr.TE15260877,MIN,73.54545454545455,7.290909090909091,5.3090909090909095,0.2752727272727272,0.02472727272727273,3.4545454545454546,0.7272727272727273,20.363636363636363,1.0,0.8181818181818182,1.9090909090909092,29.636363636363637,29.636363636363637,0.9090909090909091,3.4545454545454546,1.0,79.54545454545455,7.327272727272729,4.745454545454545,0.2674545454545454,0.012636363636363638,3.0,2.272727272727273,21.454545454545453,0.8181818181818182,0.18181818181818182,1.8181818181818181,37.45454545454545,28.636363636363637,2.3636363636363638,2.8181818181818183,11.636363636363637,3.3636363636363638,2.4545454545454546,2.3636363636363638,1.0909090909090908,0.9090909090909091,0.9090909090909091,0.6363636363636364,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.545454545454547,27.363636363636363,10018,JAX,79.18181818181819,7.363636363636362,5.118181818181818,0.2586363636363637,0.013000000000000001,3.1818181818181817,2.090909090909091,20.454545454545453,0.7272727272727273,0.2727272727272727,1.0909090909090908,34.72727272727273,30.818181818181817,2.5454545454545454,3.1818181818181817,1.0,76.81818181818181,7.454545454545453,4.218181818181818,0.23590909090909087,0.022454545454545456,2.1818181818181817,1.2727272727272727,18.272727272727273,1.1818181818181819,0.5454545454545454,3.090909090909091,40.63636363636363,22.0,1.6363636363636365,3.909090909090909,11.272727272727273,3.3636363636363638,3.272727272727273,3.090909090909091,2.4545454545454546,2.090909090909091,0.09090909090909091,0.0,0.0,13.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,29.545454545454547,20.636363636363637,10025,Irv Smith Jr.TE15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,1.8888888888888888,0.7055555555555555,22.77777777777778,0.2222222222222222,1.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0
8,RB,Derrick Henry (15870044),Derrick Henry,15870044,RB/FLEX,9200,CLE@TEN 12/06/2020 01:00PM ET,TEN,22.0,TEN,CLE,CLE,10027,10013,15260871,13,Derrick HenryRB15260871,TEN,78.54545454545455,7.454545454545454,4.818181818181819,0.26954545454545453,0.0066363636363636356,3.272727272727273,1.6363636363636365,21.272727272727273,0.45454545454545453,0.09090909090909091,1.5454545454545454,32.72727272727273,31.454545454545453,2.3636363636363638,3.4545454545454546,1.0,81.18181818181819,7.20909090909091,4.681818181818182,0.27218181818181814,0.017727272727272727,3.0,1.4545454545454546,22.09090909090909,1.0,0.45454545454545453,1.1818181818181819,39.72727272727273,27.818181818181817,1.5454545454545454,3.1818181818181817,12.727272727272727,3.6363636363636362,3.090909090909091,2.909090909090909,2.1818181818181817,1.4545454545454546,0.36363636363636365,0.18181818181818182,0.0,18.454545454545453,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,29.454545454545453,25.90909090909091,10013,CLE,78.0,7.545454545454544,4.336363636363636,0.26681818181818184,0.02481818181818182,2.727272727272727,1.3636363636363635,21.181818181818183,1.1818181818181819,0.7272727272727273,2.6363636363636362,40.09090909090909,25.363636363636363,1.6363636363636365,3.0,1.0,75.54545454545455,7.554545454545454,4.6090909090909085,0.25263636363636366,0.014727272727272728,2.6363636363636362,1.3636363636363635,19.181818181818183,0.7272727272727273,0.36363636363636365,1.3636363636363635,30.818181818181817,31.363636363636363,1.7272727272727273,3.5454545454545454,14.0,3.090909090909091,2.6363636363636362,2.5454545454545454,1.7272727272727273,1.4545454545454546,0.45454545454545453,0.2727272727272727,0.0,15.545454545454545,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,26.0,23.727272727272727,10027,Derrick HenryRB15260871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1818181818181817,1.1818181818181819,0.4606363636363637,7.7272727272727275,0.0,0.36363636363636365,23.363636363636363,110.18181818181819,4.7681818181818185,0.9090909090909091,5.454545454545454,0.0
9,WR,A.J. Brown (15870340),A.J. Brown,15870340,WR/FLEX,7600,CLE@TEN 12/06/2020 01:00PM ET,TEN,18.2,TEN,CLE,CLE,10027,10013,15260871,13,A.J. BrownWR15260871,TEN,78.54545454545455,7.454545454545454,4.818181818181819,0.26954545454545453,0.0066363636363636356,3.272727272727273,1.6363636363636365,21.272727272727273,0.45454545454545453,0.09090909090909091,1.5454545454545454,32.72727272727273,31.454545454545453,2.3636363636363638,3.4545454545454546,1.0,81.18181818181819,7.20909090909091,4.681818181818182,0.27218181818181814,0.017727272727272727,3.0,1.4545454545454546,22.09090909090909,1.0,0.45454545454545453,1.1818181818181819,39.72727272727273,27.818181818181817,1.5454545454545454,3.1818181818181817,12.727272727272727,3.6363636363636362,3.090909090909091,2.909090909090909,2.1818181818181817,1.4545454545454546,0.36363636363636365,0.18181818181818182,0.0,18.454545454545453,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,29.454545454545453,25.90909090909091,10013,CLE,78.0,7.545454545454544,4.336363636363636,0.26681818181818184,0.02481818181818182,2.727272727272727,1.3636363636363635,21.181818181818183,1.1818181818181819,0.7272727272727273,2.6363636363636362,40.09090909090909,25.363636363636363,1.6363636363636365,3.0,1.0,75.54545454545455,7.554545454545454,4.6090909090909085,0.25263636363636366,0.014727272727272728,2.6363636363636362,1.3636363636363635,19.181818181818183,0.7272727272727273,0.36363636363636365,1.3636363636363635,30.818181818181817,31.363636363636363,1.7272727272727273,3.5454545454545454,14.0,3.090909090909091,2.6363636363636362,2.5454545454545454,1.7272727272727273,1.4545454545454546,0.45454545454545453,0.2727272727272727,0.0,15.545454545454545,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,26.0,23.727272727272727,10027,A.J. BrownWR15260871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,4.444444444444445,0.5859999999999999,66.88888888888889,0.8888888888888888,3.5555555555555554,0.0,0.0,0.0,0.0,0.0,0.0
