,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,HomeTeam,AwayTeam,OpposingTeam,OpponentUID,TeamUID,OffenseTeam,Week,UniquePlayer,Opponent,CALCAVGPTDOPPPlaysOFNS,CALCAVGPTDOPPToGoOFNS,CALCAVGPTDOPPYdsOFNS,CALCAVGPTDOPP1st%OFNS,CALCAVGPTDOPPTO%OFNS,CALCAVGPTDOPPTDOFNS,CALCAVGPTDOPPFGOFNS,CALCAVGPTDOPPnanOFNS,CALCAVGPTDOPPIntOFNS,CALCAVGPTDOPPFmbOFNS,CALCAVGPTDOPPSkOFNS,CALCAVGPTDOPPPassOFNS,CALCAVGPTDOPPRushOFNS,CALCAVGPTDOPPFGOFNS1,CALCAVGPTDOPPPuntOFNS,CALCAVGPTDOPPGDFNS,CALCAVGPTDOPPPlaysDFNS,CALCAVGPTDOPPToGoDFNS,CALCAVGPTDOPPYdsDFNS,CALCAVGPTDOPP1st%DFNS,CALCAVGPTDOPPTO%DFNS,CALCAVGPTDOPPTDDFNS,CALCAVGPTDOPPFGDFNS,CALCAVGPTDOPPnanDFNS,CALCAVGPTDOPPIntDFNS,CALCAVGPTDOPPFmbDFNS,CALCAVGPTDOPPSkDFNS,CALCAVGPTDOPPPassDFNS,CALCAVGPTDOPPRushDFNS,CALCAVGPTDOPPFGDFNS1,CALCAVGPTDOPPPuntDFNS,CALCAVGPTDOPPRkALLSCR,CALCAVGPTDOPPTDALLSCR,CALCAVGPTDOPPXPAALLSCR,CALCAVGPTDOPPXPMALLSCR,CALCAVGPTDOPPFGAALLSCR,CALCAVGPTDOPPFGMALLSCR,CALCAVGPTDOPP2PAALLSCR,CALCAVGPTDOPP2PMALLSCR,CALCAVGPTDOPPSftyALLSCR,CALCAVGPTDOPPRkDSTSCR,CALCAVGPTDOPPKRDSTSCR,CALCAVGPTDOPPPRDSTSCR,CALCAVGPTDOPPIRDSTSCR,CALCAVGPTDOPPFRDSTSCR,CALCAVGPTDOPPORDSTSCR,CALCAVGPTDOPPRetTDDSTSCR,CALCAVGPTDOPPPtsFor,CALCAVGPTDOPPPtsAgainst,DefenseUID,TmOFNS,CALCAVGPTDOFFPlaysOFNS,CALCAVGPTDOFFToGoOFNS,CALCAVGPTDOFFYdsOFNS,CALCAVGPTDOFF1st%OFNS,CALCAVGPTDOFFTO%OFNS,CALCAVGPTDOFFTDOFNS,CALCAVGPTDOFFFGOFNS,CALCAVGPTDOFFnanOFNS,CALCAVGPTDOFFIntOFNS,CALCAVGPTDOFFFmbOFNS,CALCAVGPTDOFFSkOFNS,CALCAVGPTDOFFPassOFNS,CALCAVGPTDOFFRushOFNS,CALCAVGPTDOFFFGOFNS1,CALCAVGPTDOFFPuntOFNS,CALCAVGPTDOFFGDFNS,CALCAVGPTDOFFPlaysDFNS,CALCAVGPTDOFFToGoDFNS,CALCAVGPTDOFFYdsDFNS,CALCAVGPTDOFF1st%DFNS,CALCAVGPTDOFFTO%DFNS,CALCAVGPTDOFFTDDFNS,CALCAVGPTDOFFFGDFNS,CALCAVGPTDOFFnanDFNS,CALCAVGPTDOFFIntDFNS,CALCAVGPTDOFFFmbDFNS,CALCAVGPTDOFFSkDFNS,CALCAVGPTDOFFPassDFNS,CALCAVGPTDOFFRushDFNS,CALCAVGPTDOFFFGDFNS1,CALCAVGPTDOFFPuntDFNS,CALCAVGPTDOFFRkALLSCR,CALCAVGPTDOFFTDALLSCR,CALCAVGPTDOFFXPAALLSCR,CALCAVGPTDOFFXPMALLSCR,CALCAVGPTDOFFFGAALLSCR,CALCAVGPTDOFFFGMALLSCR,CALCAVGPTDOFF2PAALLSCR,CALCAVGPTDOFF2PMALLSCR,CALCAVGPTDOFFSftyALLSCR,CALCAVGPTDOFFRkDSTSCR,CALCAVGPTDOFFKRDSTSCR,CALCAVGPTDOFFPRDSTSCR,CALCAVGPTDOFFIRDSTSCR,CALCAVGPTDOFFFRDSTSCR,CALCAVGPTDOFFORDSTSCR,CALCAVGPTDOFFRetTDDSTSCR,CALCAVGPTDOFFPtsFor,CALCAVGPTDOFFPtsAgainst,OffenseUID
0,DST,Dolphins  (15870956),Dolphins ,15870956,DST,4400,CIN@MIA 12/06/2020 01:00PM ET,MIA,9.27,MIA,CIN,CIN,10010,10030,15260890,13,Dolphins DST15260890,MIA,78.45454545454545,7.218181818181819,4.781818181818182,0.2586363636363636,0.020454545454545458,2.727272727272727,0.6363636363636364,20.272727272727273,0.9090909090909091,0.7272727272727273,2.090909090909091,37.36363636363637,27.363636363636363,1.0,4.090909090909091,1.0,74.9090909090909,7.354545454545454,4.190909090909091,0.24636363636363637,0.015272727272727276,2.5454545454545454,2.1818181818181817,18.636363636363637,0.7272727272727273,0.36363636363636365,2.090909090909091,35.0,26.09090909090909,2.272727272727273,4.363636363636363,18.454545454545453,2.3636363636363638,2.3636363636363638,2.272727272727273,1.1818181818181819,0.7272727272727273,0.0,0.0,0.0,17.454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,18.636363636363637,25.818181818181817,10030,CIN,85.5,7.75,4.029999999999999,0.2488,0.0156,2.2,2.0,21.4,0.6,0.7,3.6,45.0,25.5,2.4,4.4,1.0,78.1,7.5,5.09,0.2719,0.0142,3.0,1.9,20.9,0.9,0.2,1.3,36.4,27.4,2.4,3.6,17.3,2.2,2.2,2.1,2.4,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,27.0,10010
1,DST,Steelers  (15870957),Steelers ,15870957,DST,4300,WAS@PIT 12/07/2020 05:00PM ET,PIT,11.27,PIT,WAS,WAS,10032,10001,15260860,13,Steelers DST15260860,PIT,76.45454545454545,8.136363636363637,3.936363636363636,0.21227272727272728,0.025909090909090913,2.0,1.2727272727272727,16.363636363636363,1.4545454545454546,0.5454545454545454,3.5454545454545454,37.45454545454545,24.454545454545453,1.5454545454545454,4.818181818181818,1.0,79.9090909090909,7.590909090909091,4.3999999999999995,0.24881818181818183,0.011272727272727273,3.3636363636363638,1.7272727272727273,19.90909090909091,0.5454545454545454,0.36363636363636365,1.0909090909090908,38.81818181818182,27.181818181818183,1.8181818181818181,4.2727272727272725,20.636363636363637,2.0,1.7272727272727273,1.7272727272727273,1.2727272727272727,1.0,0.2727272727272727,0.18181818181818182,0.0,14.727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,17.09090909090909,28.636363636363637,10001,WAS,77.81818181818181,7.763636363636363,4.181818181818181,0.2416363636363637,0.020000000000000004,2.272727272727273,1.4545454545454546,18.90909090909091,0.8181818181818182,0.6363636363636364,3.090909090909091,38.27272727272727,25.727272727272727,2.090909090909091,4.363636363636363,1.0,75.63636363636364,7.990909090909091,4.090909090909091,0.22727272727272727,0.01790909090909091,2.272727272727273,1.7272727272727273,17.181818181818183,0.9090909090909091,0.45454545454545453,3.1818181818181817,35.18181818181818,27.0,2.1818181818181817,4.363636363636363,20.545454545454547,2.5454545454545454,2.1818181818181817,2.090909090909091,2.0,1.4545454545454546,0.36363636363636365,0.0,0.09090909090909091,29.636363636363637,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,21.727272727272727,22.09090909090909,10032
2,DST,Packers  (15870958),Packers ,15870958,DST,3800,PHI@GB 12/06/2020 04:25PM ET,GB,5.54,GB,PHI,PHI,10003,10016,15260875,13,Packers DST15260875,GNB,74.3,7.290000000000001,4.68,0.25760000000000005,0.012,2.8,1.5,19.0,0.5,0.4,2.1,34.1,25.6,1.8,3.7,1.0,76.6,7.340000000000001,5.109999999999999,0.2617,0.0121,3.7,1.3,20.1,0.4,0.5,1.2,36.4,26.5,1.3,3.1,14.0,3.0,2.6,2.5,1.8,1.5,0.4,0.4,0.0,14.5,0.0,0.1,0.1,0.0,0.0,0.2,25.8,30.6,10016,PHI,80.18181818181819,7.845454545454545,4.090909090909091,0.23318181818181813,0.02781818181818182,2.4545454545454546,1.0,18.727272727272727,1.4545454545454546,0.7272727272727273,4.0,41.72727272727273,24.181818181818183,1.3636363636363635,4.636363636363637,1.0,81.9090909090909,7.845454545454547,4.209090909090909,0.23781818181818187,0.012818181818181819,2.6363636363636362,1.7272727272727273,19.454545454545453,0.2727272727272727,0.7272727272727273,3.3636363636363638,35.09090909090909,32.18181818181818,2.090909090909091,4.818181818181818,18.545454545454547,2.6363636363636362,1.3636363636363635,1.2727272727272727,1.3636363636363635,1.0,1.2727272727272727,0.6363636363636364,0.09090909090909091,21.363636363636363,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.2727272727272727,21.363636363636363,25.0,10003
3,DST,Chiefs  (15870959),Chiefs ,15870959,DST,3700,DEN@KC 12/06/2020 08:20PM ET,KC,7.36,KC,DEN,DEN,10014,10008,15260868,13,Chiefs DST15260868,KAN,78.54545454545455,7.281818181818184,4.327272727272727,0.2521818181818182,0.01927272727272727,2.5454545454545454,1.3636363636363635,19.90909090909091,1.0909090909090908,0.45454545454545453,1.8181818181818181,36.90909090909091,27.818181818181817,1.8181818181818181,3.272727272727273,1.0,79.54545454545455,7.418181818181819,5.154545454545454,0.291,0.010454545454545454,3.727272727272727,1.5454545454545454,23.181818181818183,0.36363636363636365,0.45454545454545453,1.0909090909090908,40.36363636363637,25.363636363636363,1.8181818181818181,3.1818181818181817,17.272727272727273,2.5454545454545454,2.4545454545454546,2.272727272727273,1.8181818181818181,1.3636363636363635,0.09090909090909091,0.0,0.0,15.272727272727273,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,21.636363636363637,31.636363636363637,10008,DEN,79.0909090909091,7.972727272727273,4.527272727272727,0.21354545454545457,0.02827272727272728,2.090909090909091,2.0,16.90909090909091,1.6363636363636365,0.6363636363636364,2.090909090909091,38.63636363636363,26.363636363636363,2.090909090909091,3.909090909090909,1.0,80.81818181818181,7.9363636363636365,4.118181818181818,0.2267272727272727,0.013000000000000001,2.4545454545454546,2.3636363636363638,18.363636363636363,0.7272727272727273,0.2727272727272727,3.090909090909091,39.27272727272727,27.0,2.6363636363636362,4.2727272727272725,20.0,1.9090909090909092,1.7272727272727273,1.6363636363636365,2.0,1.9090909090909092,0.18181818181818182,0.09090909090909091,0.0,9.545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,19.0,26.727272727272727,10014
4,DST,Saints  (15870960),Saints ,15870960,DST,3600,NO@ATL 12/06/2020 01:00PM ET,NO,8.46,ATL,NO,ATL,10024,10020,15260880,13,Saints DST15260880,NOR,75.0909090909091,7.663636363636363,4.218181818181818,0.22036363636363634,0.019909090909090908,2.4545454545454546,1.6363636363636365,16.545454545454547,1.0909090909090908,0.36363636363636365,2.909090909090909,37.81818181818182,23.181818181818183,1.9090909090909092,3.727272727272727,1.0,79.18181818181819,7.427272727272728,4.5636363636363635,0.271,0.014272727272727275,3.090909090909091,1.9090909090909092,21.363636363636363,0.36363636363636365,0.7272727272727273,2.0,36.09090909090909,29.0,2.090909090909091,3.6363636363636362,18.0,2.272727272727273,2.090909090909091,2.0,1.8181818181818181,1.5454545454545454,0.18181818181818182,0.09090909090909091,0.0,16.09090909090909,0.0,0.0,0.0,0.0,0.0,0.0,20.454545454545453,29.636363636363637,10020,ATL,82.18181818181819,7.60909090909091,4.463636363636363,0.25045454545454543,0.013727272727272727,2.3636363636363638,2.5454545454545454,20.727272727272727,0.8181818181818182,0.2727272727272727,3.1818181818181817,41.90909090909091,26.09090909090909,2.6363636363636362,3.727272727272727,1.0,77.63636363636364,7.445454545454544,5.163636363636363,0.2713636363636363,0.01363636363636364,3.272727272727273,1.4545454545454546,21.09090909090909,0.6363636363636364,0.45454545454545453,1.8181818181818181,37.81818181818182,25.181818181818183,1.8181818181818181,3.5454545454545454,12.818181818181818,2.727272727272727,2.4545454545454546,2.090909090909091,2.8181818181818183,2.727272727272727,0.2727272727272727,0.09090909090909091,0.0,1.4545454545454546,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,26.818181818181817,25.545454545454547,10024
5,DST,Vikings  (15870961),Vikings ,15870961,DST,3500,JAX@MIN 12/06/2020 01:00PM ET,MIN,4.09,MIN,JAX,JAX,10025,10018,15260877,13,Vikings DST15260877,MIN,79.72727272727273,7.5090909090909115,4.7272727272727275,0.2621818181818181,0.013727272727272727,2.8181818181818183,2.3636363636363638,21.09090909090909,0.9090909090909091,0.18181818181818182,1.8181818181818181,37.72727272727273,28.90909090909091,2.4545454545454546,2.909090909090909,1.0,72.81818181818181,7.409090909090909,5.045454545454546,0.26090909090909087,0.023636363636363636,3.090909090909091,0.7272727272727273,19.181818181818183,1.0,0.7272727272727273,2.1818181818181817,30.181818181818183,28.545454545454547,1.0,3.727272727272727,13.818181818181818,2.909090909090909,2.5454545454545454,2.4545454545454546,2.6363636363636362,2.3636363636363638,0.36363636363636365,0.18181818181818182,0.18181818181818182,10.363636363636363,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.2727272727272727,27.363636363636363,26.545454545454547,10018,JAX,75.9090909090909,7.536363636363635,4.127272727272727,0.23218181818181816,0.024272727272727276,2.0,1.2727272727272727,17.818181818181817,1.3636363636363635,0.45454545454545453,2.8181818181818183,40.54545454545455,21.272727272727273,1.6363636363636365,3.909090909090909,1.0,79.72727272727273,7.399999999999998,5.136363636363636,0.26163636363636367,0.01290909090909091,3.3636363636363638,2.090909090909091,20.818181818181817,0.8181818181818182,0.18181818181818182,0.8181818181818182,36.63636363636363,29.636363636363637,2.5454545454545454,3.1818181818181817,16.90909090909091,2.4545454545454546,1.7272727272727273,1.4545454545454546,1.8181818181818181,1.3636363636363635,0.7272727272727273,0.18181818181818182,0.0,13.363636363636363,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.18181818181818182,20.636363636363637,29.545454545454547,10025
6,DST,Raiders  (15870962),Raiders ,15870962,DST,3400,LV@NYJ 12/06/2020 01:00PM ET,LV,2.82,NYJ,LV,NYJ,10028,10017,15260876,13,Raiders DST15260876,LVR,78.27272727272727,7.7,4.745454545454544,0.2712727272727273,0.014181818181818183,2.909090909090909,1.7272727272727273,21.363636363636363,0.9090909090909091,0.18181818181818182,1.7272727272727273,39.81818181818182,24.454545454545453,1.9090909090909092,3.090909090909091,1.0,77.36363636363636,7.00909090909091,4.781818181818181,0.26727272727272733,0.014545454545454549,3.1818181818181817,2.0,20.636363636363637,0.2727272727272727,0.8181818181818182,1.5454545454545454,32.18181818181818,31.181818181818183,2.272727272727273,2.727272727272727,11.636363636363637,3.3636363636363638,3.0,2.727272727272727,2.090909090909091,1.9090909090909092,0.36363636363636365,0.18181818181818182,0.0,12.363636363636363,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,29.0,26.545454545454547,10017,NYJ,73.0,7.554545454545456,3.7545454545454557,0.1998181818181818,0.015818181818181818,1.6363636363636365,1.3636363636363635,14.363636363636363,0.9090909090909091,0.18181818181818182,2.5454545454545454,34.81818181818182,23.636363636363637,1.5454545454545454,4.909090909090909,1.0,81.45454545454545,7.8,4.945454545454545,0.2726363636363636,0.01363636363636364,3.090909090909091,2.090909090909091,22.272727272727273,0.6363636363636364,0.45454545454545453,1.5454545454545454,39.45454545454545,28.818181818181817,2.5454545454545454,3.090909090909091,24.272727272727273,1.3636363636363635,1.2727272727272727,1.0909090909090908,1.7272727272727273,1.4545454545454546,0.09090909090909091,0.0,0.09090909090909091,19.727272727272727,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,13.636363636363637,29.09090909090909,10028
7,DST,Seahawks  (15870963),Seahawks ,15870963,DST,3300,NYG@SEA 12/06/2020 04:05PM ET,SEA,5.54,SEA,NYG,NYG,10023,10021,15260881,13,Seahawks DST15260881,SEA,85.63636363636364,7.4363636363636365,4.909090909090909,0.28845454545454546,0.01881818181818182,3.1818181818181817,1.8181818181818181,24.727272727272727,1.0,0.6363636363636364,2.727272727272727,46.45454545454545,24.90909090909091,2.090909090909091,3.0,1.0,79.27272727272727,7.436363636363637,4.954545454545454,0.2714545454545455,0.01690909090909091,3.727272727272727,1.2727272727272727,21.545454545454547,0.9090909090909091,0.45454545454545453,3.272727272727273,38.27272727272727,25.90909090909091,1.3636363636363635,3.8181818181818183,11.545454545454545,3.272727272727273,2.6363636363636362,2.1818181818181817,2.090909090909091,1.8181818181818181,0.6363636363636364,0.18181818181818182,0.0,13.454545454545455,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,27.636363636363637,30.636363636363637,10021,NYG,74.6,7.850000000000001,4.109999999999999,0.23410000000000003,0.023600000000000003,1.7,2.1,17.6,0.9,0.8,3.0,36.6,24.8,2.2,3.6,1.0,77.1,7.8199999999999985,4.659999999999999,0.26769999999999994,0.0182,2.5,2.0,20.7,0.8,0.5,2.4,38.7,25.5,2.4,3.0,21.4,1.9,1.6,1.6,2.2,2.1,0.3,0.1,0.0,18.5,0.0,0.0,0.1,0.1,0.0,0.2,19.5,23.6,10023
8,DST,Rams  (15870964),Rams ,15870964,DST,3200,LAR@ARI 12/06/2020 04:05PM ET,LAR,8.27,ARI,LAR,ARI,10029,10022,15260882,13,Rams DST15260882,LAR,76.3,7.540000000000001,3.7700000000000005,0.22610000000000002,0.0211,1.9,1.3,17.5,1.0,0.6,3.2,39.3,23.2,1.4,5.1,1.0,81.5,7.360000000000001,4.86,0.2713,0.0164,3.0,1.2,22.2,0.8,0.6,1.3,38.5,30.0,1.7,4.1,19.2,2.2,2.1,2.1,1.4,1.3,0.1,0.0,0.0,17.9,0.0,0.1,0.0,0.2,0.0,0.3,19.2,24.3,10022,ARI,80.72727272727273,7.618181818181819,5.000000000000001,0.29,0.014272727272727272,3.4545454545454546,1.3636363636363635,23.363636363636363,0.7272727272727273,0.45454545454545453,1.7272727272727273,37.63636363636363,29.454545454545453,1.7272727272727273,3.3636363636363638,1.0,81.0,7.800000000000001,4.509090909090909,0.2636363636363636,0.010909090909090908,2.5454545454545454,1.9090909090909092,21.454545454545453,0.7272727272727273,0.2727272727272727,2.5454545454545454,39.36363636363637,27.272727272727273,2.090909090909091,3.909090909090909,10.0,3.3636363636363638,3.1818181818181817,3.090909090909091,1.9090909090909092,1.4545454545454546,0.18181818181818182,0.0,0.0,7.7272727272727275,0.0,0.0,0.0,0.0,0.0,0.0,27.636363636363637,23.272727272727273,10029
9,DST,Bears  (15870965),Bears ,15870965,DST,3100,DET@CHI 12/06/2020 01:00PM ET,CHI,5.64,CHI,DET,DET,10015,10005,15260864,13,Bears DST15260864,CHI,80.1,7.959999999999999,4.220000000000001,0.22139999999999999,0.0152,1.8,2.6,17.8,0.6,0.6,2.1,37.1,28.7,3.2,4.4,1.0,78.5,7.640000000000001,3.7600000000000002,0.21819999999999995,0.016599999999999997,1.9,1.7,17.3,1.1,0.2,2.5,42.7,21.6,1.9,4.9,21.6,1.9,1.8,1.7,3.2,2.6,0.1,0.0,0.0,14.2,0.0,0.0,0.0,0.1,0.0,0.1,20.9,19.1,10005,DET,75.72727272727273,7.918181818181818,4.3,0.23463636363636367,0.012727272727272728,2.272727272727273,1.5454545454545454,18.0,0.7272727272727273,0.2727272727272727,2.909090909090909,38.36363636363637,23.09090909090909,2.272727272727273,4.090909090909091,1.0,80.63636363636364,7.518181818181819,4.927272727272728,0.2848181818181818,0.013727272727272727,3.3636363636363638,1.0909090909090908,23.0,0.8181818181818182,0.2727272727272727,1.3636363636363635,36.90909090909091,31.0,1.2727272727272727,3.4545454545454546,16.09090909090909,2.5454545454545454,2.3636363636363638,2.3636363636363638,2.272727272727273,1.6363636363636365,0.18181818181818182,0.18181818181818182,0.0,10.545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,22.90909090909091,29.818181818181817,10015
