"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Baltimore Ravens","","2.9","1.0","0.8","1.2","0.2","0.0","18.0","323.8","8.8"
"Indianapolis Colts","","3.3","1.0","0.6","1.0","0.2","0.1","18.9","325.2","8.6"
"New England Patriots","","2.3","1.0","0.6","1.0","0.2","0.0","17.4","321.6","7.5"
"Washington Football Team","","3.0","1.0","0.7","1.2","0.1","0.0","22.7","318.7","7.4"
"Los Angeles Rams","","3.0","1.0","0.6","0.9","0.1","0.0","22.3","337.8","7.1"
"New York Giants","","3.0","1.0","0.6","0.9","0.2","0.0","20.1","309.1","7.0"
"Pittsburgh Steelers","","3.0","1.0","0.6","0.9","0.1","0.0","21.2","332.0","7.0"
"Kansas City Chiefs","","2.8","0.9","0.6","0.9","0.2","0.0","23.6","372.7","6.9"
"Tennessee Titans","","3.0","0.9","0.5","0.6","0.1","0.0","21.5","360.5","6.7"
"Miami Dolphins","","2.5","1.0","0.6","0.9","0.2","0.0","20.1","324.1","6.7"
"Arizona Cardinals","","2.6","0.9","0.6","1.1","0.1","0.0","25.1","370.7","6.5"
"New York Jets","","2.5","1.0","0.6","0.8","0.1","0.0","26.4","358.4","6.4"
"Carolina Panthers","","2.3","0.9","0.6","0.9","0.2","0.0","22.5","335.1","6.2"
"Detroit Lions","","2.5","0.8","0.6","0.8","0.2","0.0","22.9","365.7","6.2"
"Minnesota Vikings","","2.6","0.8","0.5","0.8","0.1","0.0","23.3","382.8","6.2"
"Green Bay Packers","","2.4","0.9","0.6","0.8","0.1","0.0","25.6","372.1","6.1"
"Cleveland Browns","","2.1","0.8","0.7","1.1","0.1","0.1","26.6","379.5","6.1"
"Chicago Bears","","2.4","0.8","0.6","0.9","0.1","0.0","21.3","351.4","6.1"
"Dallas Cowboys","","2.6","0.8","0.5","0.8","0.1","0.0","25.1","372.8","5.9"
"San Francisco 49ers","","2.2","0.8","0.6","1.0","0.1","0.0","23.1","366.4","5.9"
"Jacksonville Jaguars","","2.7","0.7","0.5","0.6","0.1","0.0","25.8","373.4","5.8"
"Philadelphia Eagles","","2.6","0.7","0.5","0.8","0.1","0.0","26.8","367.7","5.7"
"Houston Texans","","2.5","0.7","0.6","0.8","0.1","0.0","26.2","365.4","5.7"
"Denver Broncos","","2.3","0.8","0.5","0.7","0.1","0.0","24.3","351.2","5.7"
"Atlanta Falcons","","2.2","0.8","0.5","0.8","0.1","0.0","27.2","363.4","5.7"
"Tampa Bay Buccaneers","","2.5","0.6","0.6","1.0","0.1","0.0","26.0","346.1","5.7"
"Buffalo Bills","","2.1","0.7","0.6","1.0","0.1","0.0","26.3","375.9","5.2"
"Cincinnati Bengals","","2.0","0.8","0.4","0.5","0.1","0.1","24.4","361.5","5.2"
""
""
