"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Kyle Juszczyk","SF","0.9","2.9","0.0","1.5","14.1","0.1","0.0","2.2"
"Trenton Cannon","CAR","2.7","9.3","0.1","0.9","6.1","0.0","0.0","2.1"
"Peyton Barber","WAS","3.9","12.5","0.1","0.5","2.4","0.0","0.0","2.0"
"Jeff Wilson Jr.","SF","3.2","12.7","0.1","0.6","3.5","0.0","0.1","2.0"
"Darwin Thompson","KC","5.8","14.0","0.0","2.2","4.3","0.0","0.1","1.9"
"Malcolm Perry","MIA","0.0","0.2","0.0","0.8","11.3","0.1","0.0","1.8"
"Lynn Bowden Jr.","MIA","1.8","7.5","0.0","0.8","5.4","0.0","0.0","1.7"
"Jeremy Cox","DEN","0.0","9.3","0.1","0.5","3.2","0.0","0.0","1.7"
"LeSean McCoy","TB","2.1","5.8","0.0","1.1","7.1","0.0","0.0","1.7"
"Dontrell Hilliard","CLE","2.4","7.3","0.1","1.0","6.1","0.0","0.0","1.6"
"T.J. Yeldon","BUF","1.8","8.6","0.0","0.8","5.1","0.0","0.0","1.6"
"Salvon Ahmed","MIA","0.0","8.7","0.1","0.4","2.8","0.0","0.0","1.6"
"Ty Johnson","NYJ","2.3","9.1","0.0","0.9","4.2","0.0","0.0","1.5"
"Ameer Abdullah","MIN","1.8","6.9","0.0","0.7","5.2","0.0","0.0","1.5"
"Eno Benjamin","ARI","2.1","8.2","0.1","0.6","2.8","0.0","0.0","1.5"
"JaMycal Hasty","SF","2.7","8.7","0.1","0.5","2.5","0.0","0.0","1.4"
"J.J. Taylor","NE","2.2","8.6","0.0","0.4","1.8","0.0","0.0","1.3"
"Corey Clement","PHI","2.1","6.6","0.0","0.8","4.7","0.0","0.0","1.3"
"Qadree Ollison","ATL","2.0","6.0","0.1","0.4","1.3","0.0","0.0","1.3"
"Jaylen Samuels","PIT","2.7","5.7","0.0","1.1","6.5","0.0","0.0","1.3"
"Artavis Pierce","CHI","1.7","6.2","0.1","0.4","2.1","0.0","0.0","1.3"
"Ryan Nall","CHI","2.8","7.2","0.0","0.7","3.1","0.0","0.0","1.2"
"AJ Dillon","GB","1.9","8.5","0.0","0.4","1.5","0.0","0.0","1.1"
"Ryquell Armstead","JAC","1.8","5.1","0.0","1.0","3.3","0.1","0.0","1.1"
"Justice Hill","BAL","1.9","6.4","0.1","0.6","2.0","0.0","0.0","1.1"
"C.J. Ham","MIN","0.7","2.8","0.0","0.7","6.2","0.0","0.0","1.1"
"C.J. Prosise","HOU","2.8","5.1","0.0","1.1","5.2","0.0","0.0","1.1"
"Josh Adams","NYJ","2.5","7.7","0.1","0.6","0.7","0.0","0.0","1.1"
"Dare Ogunbowale","JAC","0.9","0.8","0.0","1.1","8.8","0.0","0.0","1.1"
"Trayveon Williams","CIN","1.8","5.8","0.1","0.4","1.6","0.0","0.0","1.0"
"Alex Armah","CAR","1.1","4.8","0.0","0.4","2.1","0.0","0.0","1.0"
"DeAndre Washington","KC","1.7","4.9","0.1","0.4","1.8","0.0","0.0","0.9"
"Jason Huntley","PHI","2.3","7.4","0.0","0.9","2.3","0.0","0.0","0.9"
"Patrick Laird","MIA","2.0","5.1","0.0","0.6","3.4","0.0","0.0","0.9"
"Rico Dowdle","DAL","0.0","3.5","0.0","0.3","2.7","0.0","0.0","0.9"
"Jakob Johnson","NE","2.1","6.4","0.0","0.8","2.7","0.0","0.0","0.9"
"Reggie Gilliam","BUF","1.3","3.4","0.0","0.5","2.6","0.0","0.0","0.8"
"Samaje Perine","CIN","0.6","4.6","0.0","0.4","1.7","0.0","0.0","0.8"
"Patrick Ricard","BAL","0.6","1.1","0.0","0.6","3.2","0.1","0.0","0.7"
"Andy Janovich","CLE","0.6","2.5","0.0","0.6","3.9","0.0","0.0","0.7"
"Anthony Sherman","KC","1.2","3.5","0.0","0.4","2.1","0.0","0.0","0.7"
"Chandler Cox","MIA","0.6","1.8","0.0","0.6","3.2","0.0","0.0","0.6"
"Bruce Miller","JAC","0.0","1.0","0.0","0.4","3.3","0.0","0.0","0.6"
"Elijhaa Penny","NYG","1.1","2.8","0.0","0.5","1.3","0.0","0.0","0.6"
"Keith Smith","ATL","0.9","2.1","0.0","0.6","2.0","0.0","0.0","0.4"
"Khari Blasingame","TEN","1.1","1.7","0.0","0.4","2.1","0.0","0.0","0.4"
"Taiwan Jones","BUF","0.5","1.4","0.0","0.2","2.0","0.0","0.0","0.4"
"Xavier Jones","LAR","0.0","0.4","0.0","0.3","1.8","0.0","0.0","0.3"
"Derek Watt","PIT","0.0","0.0","0.0","0.2","1.2","0.0","0.0","0.2"
"Cullen Gillaspia","HOU","0.0","0.0","0.0","0.2","1.1","0.0","0.0","0.2"
"John Lovett","GB","0.2","0.5","0.0","0.2","0.6","0.0","0.0","0.1"
""
""
