"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"JJ Arcega-Whiteside","PHI","WR122","0.0","0.2","0.0","0.9","12.9","0.0","0.0","1.3"
"Artavis Pierce","CHI","RB86","1.7","6.2","0.1","0.4","2.1","0.0","0.0","1.3"
"Antony Auclair","TB","TE61","0.0","0.0","0.0","0.7","6.6","0.1","0.0","1.3"
"Cole Kmet","CHI","TE62","0.0","0.0","0.0","0.9","9.5","0.1","0.0","1.3"
"Jaeden Graham","ATL","TE63","0.0","0.0","0.0","0.8","9.6","0.1","0.0","1.2"
"Albert Okwuegbunam","DEN","TE64","0.0","0.0","0.0","1.0","11.3","0.0","0.0","1.2"
"Nick Westbrook-Ikhine","TEN","WR123","0.0","0.1","0.0","0.7","9.5","0.1","0.0","1.2"
"Devin Asiasi","NE","TE65","0.0","0.0","0.0","0.9","9.4","0.1","0.0","1.2"
"Ryan Nall","CHI","RB87","2.8","7.2","0.0","0.7","3.1","0.0","0.0","1.2"
"Diontae Spencer","DEN","WR124","0.0","0.2","0.0","0.8","9.7","0.0","0.0","1.2"
"Blake Bell","DAL","TE66","0.0","0.0","0.0","0.9","9.7","0.0","0.0","1.2"
"Marvin Hall","DET","WR125","0.0","0.2","0.0","0.5","9.1","0.0","0.0","1.2"
"AJ Dillon","GB","RB88","1.9","8.5","0.0","0.4","1.5","0.0","0.0","1.1"
"Ryquell Armstead","JAC","RB89","1.8","5.1","0.0","1.0","3.3","0.1","0.0","1.1"
"Justice Hill","BAL","RB90","1.9","6.4","0.1","0.6","2.0","0.0","0.0","1.1"
"C.J. Ham","MIN","RB91","0.7","2.8","0.0","0.7","6.2","0.0","0.0","1.1"
"MyCole Pruitt","TEN","TE67","0.0","0.0","0.0","0.9","9.5","0.0","0.0","1.1"
"C.J. Prosise","HOU","RB92","2.8","5.1","0.0","1.1","5.2","0.0","0.0","1.1"
"Keith Kirkwood","CAR","WR126","0.0","0.0","0.0","0.8","8.6","0.0","0.0","1.1"
"Josh Adams","NYJ","RB93","2.5","7.7","0.1","0.6","0.7","0.0","0.0","1.1"
"Jakob Johnson","NE","RB94","2.1","6.4","0.0","0.5","1.7","0.1","0.0","1.1"
"Dare Ogunbowale","JAC","RB95","0.9","0.8","0.0","1.1","8.8","0.0","0.0","1.1"
"Noah Togiai","IND","TE68","0.0","0.0","0.0","0.7","7.6","0.1","0.0","1.0"
"Jordan Thomas","ARI","TE69","0.0","0.0","0.0","0.4","3.9","0.1","0.0","1.0"
"Trayveon Williams","CIN","RB96","1.8","5.8","0.1","0.4","1.6","0.0","0.0","1.0"
"Reggie Gilliam","BUF","RB97","1.3","3.4","0.0","0.6","3.8","0.0","0.0","1.0"
"Taywan Taylor","CLE","WR127","0.0","0.1","0.0","0.4","7.0","0.1","0.0","1.0"
"Ashton Dulin","IND","WR128","0.0","0.4","0.0","0.6","8.0","0.0","0.0","1.0"
"Justin Watson","TB","WR129","0.0","0.1","0.0","0.6","8.5","0.0","0.0","1.0"
"Alex Armah","CAR","RB98","1.1","4.8","0.0","0.4","2.1","0.0","0.0","1.0"
"DeAndre Washington","KC","RB99","1.7","4.9","0.1","0.4","1.8","0.0","0.0","0.9"
"Jason Huntley","PHI","RB100","2.3","7.4","0.0","0.9","2.3","0.0","0.0","0.9"
"Dan Chisena","MIN","WR130","0.0","0.2","0.0","0.4","7.3","0.0","0.0","0.9"
"Patrick Laird","MIA","RB101","2.0","5.1","0.0","0.6","3.4","0.0","0.0","0.9"
"Cam Sims","WAS","WR131","0.0","0.0","0.0","0.6","7.1","0.0","0.0","0.9"
"Cam Batson","TEN","WR132","0.0","0.8","0.0","0.5","6.9","0.0","0.0","0.9"
"Rico Dowdle","DAL","RB102","0.0","3.5","0.0","0.3","2.7","0.0","0.0","0.9"
"Brandon Zylstra","CAR","WR133","0.0","0.1","0.0","0.5","6.5","0.0","0.0","0.9"
"Gunner Olszewski","NE","WR134","0.0","0.1","0.0","0.6","7.4","0.0","0.0","0.9"
"Javon Wims","CHI","WR135","0.0","0.0","0.0","0.7","7.3","0.0","0.0","0.9"
"Trevon Wesco","NYJ","TE70","0.0","0.0","0.0","0.7","7.6","0.0","0.0","0.9"
"Quez Watkins","PHI","WR136","0.0","0.2","0.0","0.6","7.0","0.0","0.0","0.9"
"Luke Stocker","ATL","TE71","0.0","0.0","0.0","0.8","6.3","0.0","0.0","0.9"
"KeeSean Johnson","ARI","WR137","0.0","0.0","0.0","0.5","6.3","0.0","0.0","0.8"
"Tyler Conklin","MIN","TE72","0.0","0.0","0.0","0.5","6.2","0.0","0.0","0.8"
"Andrew Beck","DEN","TE73","0.0","0.0","0.0","0.5","5.2","0.1","0.0","0.8"
"Cethan Carter","CIN","TE74","0.0","0.0","0.0","0.7","7.6","0.0","0.0","0.8"
"Ricky Seals-Jones","KC","TE75","0.0","0.0","0.0","0.4","4.7","0.1","0.0","0.8"
"Alex Erickson","CIN","WR138","0.1","0.5","0.0","0.6","6.4","0.0","0.0","0.8"
"Ross Dwelley","SF","TE76","0.0","0.0","0.0","0.8","6.8","0.0","0.0","0.8"
"Samaje Perine","CIN","RB103","0.6","4.6","0.0","0.4","1.7","0.0","0.0","0.8"
"Tyrie Cleveland","DEN","WR139","0.0","0.2","0.0","0.5","6.3","0.0","0.0","0.8"
"Durham Smythe","MIA","TE77","0.0","0.0","0.0","0.7","6.5","0.0","0.0","0.7"
"Patrick Ricard","BAL","RB104","0.6","1.1","0.0","0.6","3.2","0.1","0.0","0.7"
"Andy Janovich","CLE","RB105","0.6","2.5","0.0","0.6","3.9","0.0","0.0","0.7"
"Isaiah Zuber","NE","WR140","0.1","0.8","0.0","0.4","5.6","0.0","0.0","0.7"
"Geoff Swaim","TEN","TE78","0.0","0.0","0.0","0.5","5.6","0.0","0.0","0.7"
"Zach Gentry","PIT","TE79","0.0","0.0","0.0","0.4","3.9","0.1","0.0","0.7"
"Mason Schreck","CIN","TE80","0.0","0.0","0.0","0.6","7.1","0.0","0.0","0.7"
"Quintez Cephus","DET","WR141","0.0","0.1","0.0","0.4","6.2","0.0","0.0","0.7"
"Jason Croom","PHI","TE81","0.0","0.0","0.0","0.7","7.0","0.0","0.0","0.7"
"Temarrick Hemingway","WAS","TE82","0.0","0.0","0.0","0.6","6.9","0.0","0.0","0.7"
"J.P. Holtz","CHI","TE83","0.0","0.0","0.0","0.7","6.9","0.0","0.0","0.7"
"Anthony Sherman","KC","RB106","1.2","3.5","0.0","0.4","2.1","0.0","0.0","0.7"
"Marcus Baugh","WAS","TE84","0.0","0.0","0.0","0.6","6.6","0.0","0.0","0.7"
"Charlie Woerner","SF","TE85","0.0","0.0","0.0","0.6","6.4","0.0","0.0","0.6"
"Chandler Cox","MIA","RB107","0.6","1.8","0.0","0.6","3.2","0.0","0.0","0.6"
"Matthew Slater","NE","WR142","0.0","0.1","0.0","0.2","4.8","0.0","0.0","0.6"
"Bruce Miller","JAC","TE86","0.0","1.0","0.0","0.4","3.3","0.0","0.0","0.6"
"Cyril Grayson Jr.","TB","WR143","0.0","0.2","0.0","0.2","4.6","0.0","0.0","0.6"
"Donovan Peoples-Jones","CLE","WR144","0.0","0.3","0.0","0.3","4.5","0.0","0.0","0.6"
"Kevin White","SF","WR145","0.0","0.1","0.0","0.1","4.4","0.0","0.0","0.6"
"Daniel Helm","SF","TE87","0.0","0.0","0.0","0.6","5.6","0.0","0.0","0.6"
"Elijhaa Penny","NYG","RB108","1.1","2.8","0.0","0.5","1.3","0.0","0.0","0.6"
"Brandon Powell","ATL","WR146","0.0","0.3","0.0","0.3","4.1","0.0","0.0","0.6"
"Andre Roberts","BUF","WR147","0.0","0.4","0.0","0.4","4.5","0.0","0.0","0.6"
"Jaydon Mickens","TB","WR148","0.0","0.0","0.0","0.4","4.6","0.0","0.0","0.5"
"Nick Keizer","KC","TE88","0.0","0.0","0.0","0.5","5.0","0.0","0.0","0.5"
"DeAndre Carter","HOU","WR149","0.0","0.2","0.0","0.3","3.7","0.0","0.0","0.5"
"Keith Smith","ATL","RB109","0.9","2.1","0.0","0.6","2.0","0.0","0.0","0.4"
"Cody Hollister","TEN","WR150","0.0","0.1","0.0","0.4","4.3","0.0","0.0","0.4"
"Khari Blasingame","TEN","RB110","1.1","1.7","0.0","0.4","2.1","0.0","0.0","0.4"
"Johnny Mundt","LAR","TE89","0.0","0.0","0.0","0.4","4.1","0.0","0.0","0.4"
"Nsimba Webster","LAR","WR151","0.0","0.5","0.0","0.0","3.2","0.0","0.0","0.4"
"Trent Sherfield","ARI","WR152","0.0","0.0","0.0","0.2","3.1","0.0","0.0","0.4"
"Chris Moore","BAL","WR153","0.0","0.2","0.0","0.2","3.4","0.0","0.0","0.4"
"Deon Yelder","KC","TE90","0.0","0.0","0.0","0.4","3.9","0.0","0.0","0.4"
"Pharoh Cooper","CAR","WR154","0.0","0.2","0.0","0.2","3.0","0.0","0.0","0.4"
"Taiwan Jones","BUF","RB111","0.5","1.4","0.0","0.2","2.0","0.0","0.0","0.4"
"Xavier Jones","LAR","RB112","0.0","0.4","0.0","0.3","1.8","0.0","0.0","0.3"
"Stephen Carlson","CLE","TE91","0.0","0.0","0.0","0.3","3.0","0.0","0.0","0.3"
"Tajae Sharpe","MIN","WR155","0.0","0.0","0.0","0.1","2.1","0.0","0.0","0.3"
"Derek Watt","PIT","RB113","0.0","0.0","0.0","0.2","1.2","0.0","0.0","0.2"
"James Proche","BAL","WR156","0.0","0.2","0.0","0.1","1.8","0.0","0.0","0.2"
"Mack Hollins","MIA","WR157","0.0","0.1","0.0","0.1","1.8","0.0","0.0","0.2"
"Cullen Gillaspia","HOU","RB114","0.0","0.0","0.0","0.2","1.1","0.0","0.0","0.2"
"John Lovett","GB","QB1","0.2","0.5","0.0","0.2","0.6","0.0","0.0","0.1"
"Keke Coutee","HOU","WR158","0.1","0.4","0.0","0.1","0.5","0.0","0.0","0.1"
"Malik Turner","DAL","WR159","0.0","0.0","0.0","0.1","0.7","0.0","0.0","0.1"
"Dede Westbrook","JAC","WR160","0.0","0.0","0.0","0.1","0.5","0.0","0.0","0.1"
""
""
