"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jerry Jeudy","DEN","WR33","0.1","0.7","0.0","4.5","62.7","0.4","0.0","8.5"
"Deebo Samuel","SF","WR34","0.9","8.1","0.1","4.3","51.4","0.3","0.0","8.5"
"Laviska Shenault Jr.","JAC","WR35","1.1","7.2","0.0","4.4","58.4","0.3","0.0","8.4"
"John Brown","BUF","WR36","0.1","0.4","0.0","4.0","55.7","0.4","0.0","8.3"
"Mark Ingram II","BAL","RB27","10.7","48.3","0.3","1.3","9.6","0.1","0.1","8.0"
"D.J. Chark Jr.","JAC","WR37","0.0","0.3","0.0","3.9","53.0","0.4","0.0","7.9"
"Marvin Jones Jr.","DET","WR38","0.0","0.1","0.0","3.7","50.7","0.5","0.0","7.9"
"Tee Higgins","CIN","WR39","0.2","1.1","0.0","4.4","59.5","0.3","0.0","7.5"
"Jarvis Landry","CLE","WR40","0.1","0.6","0.0","4.9","61.2","0.2","0.0","7.4"
"Mike Gesicki","MIA","TE5","0.0","0.0","0.0","3.8","46.4","0.4","0.0","7.0"
"Michael Gallup","DAL","WR41","0.0","0.0","0.0","3.4","56.2","0.2","0.0","6.8"
"Robert Tonyan","GB","TE6","0.0","0.0","0.0","3.2","39.0","0.5","0.0","6.8"
"Frank Gore","NYJ","RB28","12.2","47.8","0.2","1.2","8.4","0.0","0.0","6.7"
"Travis Fulgham","PHI","WR42","0.1","0.4","0.0","4.3","55.8","0.2","0.0","6.6"
"Mecole Hardman","KC","WR43","0.3","1.2","0.0","2.8","43.2","0.4","0.0","6.6"
"T.J. Hockenson","DET","TE7","0.0","0.0","0.0","3.8","43.7","0.4","0.0","6.5"
"Zach Ertz","PHI","TE8","0.0","0.0","0.0","5.2","53.0","0.2","0.0","6.5"
"Chase Edmonds","ARI","RB29","5.4","23.2","0.2","3.1","23.6","0.2","0.0","6.5"
"Curtis Samuel","CAR","WR44","2.4","13.4","0.1","3.6","38.5","0.1","0.0","6.5"
"Christian Kirk","ARI","WR45","0.3","2.6","0.0","4.3","50.8","0.2","0.0","6.5"
"Tim Patrick","DEN","WR46","0.1","0.4","0.0","3.9","52.9","0.2","0.0","6.4"
"Preston Williams","MIA","WR47","0.0","0.0","0.0","3.4","49.6","0.2","0.0","6.3"
"Marquez Valdes-Scantling","GB","WR48","0.1","0.7","0.0","3.4","51.5","0.2","0.0","6.3"
"Brandon Aiyuk","SF","WR49","0.7","4.2","0.0","3.5","46.6","0.2","0.0","6.2"
"Evan Engram","NYG","TE9","0.0","0.0","0.0","4.5","48.2","0.2","0.0","6.2"
"Keelan Cole","JAC","WR50","0.1","0.5","0.0","3.5","48.4","0.2","0.0","6.2"
"Golden Tate","NYG","WR51","0.1","0.5","0.0","4.5","50.5","0.2","0.0","6.1"
"Eric Ebron","PIT","TE10","0.0","0.0","0.0","4.1","46.5","0.3","0.0","6.1"
"N'Keal Harry","NE","WR52","0.5","3.0","0.0","4.1","44.5","0.2","0.1","6.0"
"Randall Cobb","HOU","WR53","0.1","0.3","0.0","3.8","49.3","0.2","0.0","5.9"
"Cole Beasley","BUF","WR54","0.0","0.0","0.0","4.0","47.8","0.2","0.0","5.8"
"James Washington","PIT","WR55","0.0","0.0","0.0","3.4","47.3","0.2","0.0","5.8"
"James White","NE","RB30","3.7","14.1","0.1","4.1","33.1","0.1","0.0","5.8"
"Adam Humphries","TEN","WR56","0.1","0.9","0.0","3.9","41.8","0.2","0.0","5.6"
"D'Andre Swift","DET","RB31","4.8","19.8","0.1","3.1","25.9","0.1","0.1","5.6"
"Leonard Fournette","TB","RB32","8.3","30.5","0.2","1.7","12.1","0.0","0.0","5.5"
"Rex Burkhead","NE","RB33","6.3","24.1","0.2","2.1","18.1","0.1","0.1","5.5"
"Jerick McKinnon","SF","RB34","6.5","25.3","0.1","2.6","19.3","0.1","0.1","5.5"
"Tyler Higbee","LAR","TE11","0.0","0.0","0.0","3.7","40.8","0.2","0.0","5.4"
"Zach Pascal","IND","WR57","0.1","0.6","0.0","3.3","42.6","0.2","0.0","5.4"
"Austin Hooper","CLE","TE12","0.0","0.0","0.0","3.9","40.9","0.2","0.0","5.3"
"Hayden Hurst","ATL","TE13","0.0","0.0","0.0","3.5","40.7","0.2","0.0","5.3"
"Danny Amendola","DET","WR58","0.0","0.1","0.0","3.4","43.2","0.2","0.0","5.3"
"Nyheim Hines","IND","RB35","4.7","19.0","0.1","3.1","23.6","0.1","0.0","5.3"
"Greg Ward","PHI","WR59","0.2","0.5","0.0","4.5","43.9","0.1","0.0","5.3"
"J.D. McKissic","WAS","RB36","4.5","19.3","0.1","3.1","24.9","0.1","0.1","5.2"
"Jimmy Graham","CHI","TE14","0.0","0.0","0.0","3.6","37.4","0.2","0.0","5.1"
"Russell Gage","ATL","WR60","0.2","0.8","0.0","4.1","41.8","0.2","0.0","5.1"
"Scotty Miller","TB","WR61","0.3","1.8","0.0","2.8","41.6","0.1","0.0","5.1"
"Jamaal Williams","GB","RB37","6.6","22.0","0.1","2.8","19.6","0.1","0.0","5.1"
"Damiere Byrd","NE","WR62","0.0","0.2","0.0","3.4","42.7","0.1","0.0","5.1"
"Cordarrelle Patterson","CHI","WR63","4.8","24.7","0.1","1.7","14.7","0.1","0.0","5.1"
"Breshad Perriman","NYJ","WR64","0.1","0.5","0.0","2.6","39.9","0.2","0.0","5.0"
"Jeff Smith","NYJ","WR65","0.1","0.5","0.0","3.4","41.5","0.1","0.0","4.9"
"Darnell Mooney","CHI","WR66","0.2","1.1","0.0","3.3","40.2","0.1","0.0","4.9"
"Cam Akers","LAR","RB38","8.3","32.3","0.1","1.1","7.1","0.0","0.1","4.9"
"Rob Gronkowski","TB","TE15","0.0","0.0","0.0","2.8","37.1","0.2","0.0","4.8"
"J.K. Dobbins","BAL","RB39","4.9","21.1","0.1","2.1","16.9","0.1","0.1","4.8"
"Zack Moss","BUF","RB40","7.4","30.1","0.1","1.3","8.8","0.0","0.1","4.8"
"Anthony Miller","CHI","WR67","0.2","1.2","0.0","3.1","35.7","0.2","0.0","4.7"
"Gus Edwards","BAL","RB41","8.3","38.0","0.1","0.4","1.9","0.0","0.0","4.7"
"Duke Johnson Jr.","HOU","RB42","4.3","19.7","0.1","2.3","19.6","0.1","0.1","4.6"
"Malcolm Brown","LAR","RB43","6.8","27.8","0.1","1.1","8.2","0.0","0.0","4.6"
"Dalton Schultz","DAL","TE16","0.0","0.0","0.0","3.1","35.6","0.2","0.1","4.5"
"A.J. Green","CIN","WR68","0.0","0.1","0.0","3.0","37.9","0.1","0.0","4.5"
"Isaiah Ford","MIA","WR69","0.0","0.4","0.0","3.1","34.5","0.2","0.0","4.5"
"Dontrelle Inman","WAS","WR70","0.0","0.1","0.0","2.8","34.9","0.2","0.0","4.4"
"Matt Breida","MIA","RB44","6.3","24.9","0.1","1.4","11.6","0.0","0.1","4.4"
"Demarcus Robinson","KC","WR71","0.0","0.0","0.0","2.8","32.9","0.2","0.0","4.4"
"Royce Freeman","DEN","RB45","6.8","25.0","0.1","1.8","12.3","0.0","0.0","4.4"
"Brian Hill","ATL","RB46","5.9","26.8","0.1","1.4","10.2","0.0","0.1","4.4"
"Mike Boone","MIN","RB47","6.8","28.9","0.2","0.8","3.4","0.0","0.0","4.3"
"D'Ernest Johnson","CLE","RB48","7.0","27.6","0.1","1.0","7.0","0.0","0.1","4.2"
