"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"A.J. Green","CIN","3.0","37.9","0.1","0.0","0.1","0.0","0.0","4.5"
"Isaiah Ford","MIA","3.1","34.5","0.2","0.0","0.4","0.0","0.0","4.5"
"Dontrelle Inman","WAS","2.8","34.9","0.2","0.0","0.1","0.0","0.0","4.4"
"Demarcus Robinson","KC","2.8","32.9","0.2","0.0","0.0","0.0","0.0","4.4"
"Larry Fitzgerald","ARI","3.2","34.0","0.1","0.0","0.0","0.0","0.0","4.1"
"Kendrick Bourne","SF","2.6","32.6","0.1","0.0","0.0","0.0","0.0","4.1"
"DaeSean Hamilton","DEN","3.0","33.0","0.1","0.0","0.2","0.0","0.0","4.1"
"Josh Reynolds","LAR","2.2","31.5","0.1","0.1","0.5","0.0","0.0","3.8"
"Miles Boykin","BAL","2.2","29.4","0.1","0.0","0.0","0.0","0.0","3.8"
"Gabriel Davis","BUF","2.3","30.0","0.1","0.1","0.6","0.0","0.0","3.8"
"Kalif Raymond","TEN","2.0","31.0","0.1","0.2","0.3","0.0","0.1","3.7"
"John Hightower","PHI","2.5","31.8","0.1","0.1","0.4","0.0","0.0","3.7"
"Kenny Stills","HOU","2.0","27.9","0.2","0.0","0.0","0.0","0.0","3.7"
"Marcus Johnson","IND","1.9","29.0","0.1","0.0","0.0","0.0","0.0","3.6"
"Andy Isabella","ARI","1.8","26.8","0.1","0.2","0.5","0.0","0.0","3.6"
"Chris Conley","JAC","2.0","29.2","0.1","0.0","0.0","0.0","0.0","3.5"
"Cedrick Wilson","DAL","2.0","25.5","0.2","0.1","0.3","0.0","0.0","3.5"
"Isaiah Wright","WAS","2.3","26.4","0.1","0.3","2.1","0.0","0.0","3.4"
"Willie Snead IV","BAL","2.1","24.4","0.1","0.0","0.1","0.0","0.0","3.1"
"Devin Duvernay","BAL","1.8","21.4","0.1","0.3","2.5","0.0","0.0","3.1"
"Braxton Berrios","NYJ","1.9","24.2","0.1","0.1","0.9","0.0","0.0","3.1"
"Olamide Zaccheaus","ATL","2.0","24.6","0.1","0.1","0.3","0.0","0.0","3.0"
"C.J. Board","NYG","1.8","21.6","0.1","0.0","0.6","0.0","0.0","2.8"
"Sterling Shepard","NYG","1.8","20.1","0.1","0.2","1.8","0.0","0.0","2.8"
"Tyler Johnson","TB","1.7","22.5","0.1","0.1","0.5","0.0","0.0","2.7"
"Vyncint Smith","NYJ","1.3","18.0","0.1","0.2","1.7","0.0","0.0","2.7"
"Jakeem Grant","MIA","1.6","18.6","0.1","0.4","2.3","0.0","0.0","2.7"
"Ray-Ray McCloud","PIT","1.5","17.1","0.1","0.3","1.7","0.0","0.0","2.4"
"Olabisi Johnson","MIN","1.5","19.1","0.1","0.0","0.1","0.0","0.0","2.3"
"Corey Davis","TEN","1.7","22.4","0.0","0.1","0.4","0.0","0.0","2.3"
"Equanimeous St. Brown","GB","1.3","17.4","0.1","0.0","0.1","0.0","0.0","2.3"
"Van Jefferson","LAR","1.4","17.8","0.1","0.2","0.8","0.0","0.0","2.2"
"Jakobi Meyers","NE","1.6","21.7","0.0","0.0","0.0","0.0","0.0","2.2"
"Collin Johnson","JAC","1.3","17.2","0.1","0.0","0.2","0.0","0.0","2.1"
"Isaiah McKenzie","BUF","1.4","14.5","0.1","0.3","2.3","0.0","0.0","2.1"
"Rashard Higgins","CLE","1.2","16.5","0.1","0.0","0.3","0.0","0.0","2.1"
"Dante Pettis","SF","1.1","16.2","0.1","0.0","0.0","0.0","0.0","2.0"
"Mike Thomas","CIN","1.6","17.7","0.1","0.1","0.4","0.0","0.1","2.0"
