"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Garrett Gilbert","DAL","1.1","0.7","9.7","0.0","0.0","0.3","0.3","0.0","0.0","0.4"
"Sean Mannion","MIN","1.2","0.8","9.4","0.0","0.0","0.3","0.3","0.0","0.0","0.4"
"AJ McCarron","HOU","1.3","0.9","10.1","0.0","0.1","0.1","0.2","0.0","0.0","0.3"
"Phillip Walker","CAR","1.1","0.7","7.7","0.0","0.0","0.1","0.2","0.0","0.0","0.3"
"Nate Sudfeld","PHI","1.1","0.6","7.0","0.0","0.0","0.2","0.2","0.0","0.0","0.3"
"Tim Boyle","GB","0.7","0.5","5.5","0.0","0.0","0.2","0.2","0.0","0.0","0.2"
"Jacob Eason","IND","0.6","0.4","4.6","0.0","0.0","0.0","0.1","0.0","0.0","0.2"
"Jake Fromm","BUF","0.3","0.2","1.9","0.0","0.0","0.0","0.1","0.0","0.0","0.1"
""
""
