"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Alex Smith","WAS","13.1","8.2","67.1","0.2","0.2","1.5","4.4","0.0","0.0","3.3"
"Jalen Hurts","PHI","9.8","6.1","54.3","0.2","0.2","2.2","6.1","0.0","0.1","3.3"
"Nick Mullens","SF","7.3","5.0","47.2","0.1","0.5","0.0","0.0","0.0","0.0","1.2"
"Taysom Hill","NO","1.1","0.5","7.2","0.0","0.0","1.1","6.2","0.0","0.0","1.0"
"Mitchell Trubisky","CHI","3.8","2.2","23.8","0.1","0.2","0.7","1.4","0.0","0.0","1.0"
"Jameis Winston","NO","3.6","2.1","22.1","0.1","0.2","0.6","1.6","0.0","0.1","0.9"
"Mike White","NYJ","7.6","4.2","30.0","0.0","0.2","1.0","1.1","0.0","0.1","0.9"
"Marcus Mariota","LV","2.9","1.9","20.2","0.1","0.1","0.5","1.7","0.0","0.0","0.9"
"Andy Dalton","DAL","5.5","3.0","24.7","0.1","0.2","0.5","0.7","0.0","0.0","0.9"
"Matt Moore","KC","10.3","4.3","34.7","0.1","0.4","0.0","0.0","0.0","0.1","0.9"
"Josh McCown","PHI","13.8","7.2","53.3","0.0","0.6","1.5","1.5","0.1","0.3","0.9"
"Matt Schaub","ATL","4.6","2.8","25.9","0.1","0.2","0.4","0.3","0.0","0.1","0.8"
"Chris Streveler","ARI","0.0","0.0","12.0","0.1","0.1","0.0","0.6","0.0","0.0","0.8"
"Tua Tagovailoa","MIA","4.9","2.9","21.2","0.0","0.2","0.5","0.8","0.0","0.0","0.8"
"Brett Hundley","ARI","13.3","6.2","28.7","0.1","0.7","2.0","6.1","0.0","0.1","0.8"
"Case Keenum","CLE","4.1","2.5","21.8","0.1","0.2","0.2","0.5","0.0","0.0","0.8"
"Mason Rudolph","PIT","3.0","1.7","15.2","0.1","0.1","0.6","1.1","0.0","0.0","0.8"
"Mike Glennon","JAC","7.6","4.0","25.7","0.0","0.2","1.1","0.9","0.0","0.1","0.8"
"Chad Henne","KC","4.5","2.7","21.5","0.0","0.1","0.3","0.4","0.0","0.0","0.8"
"John Wolford","LAR","1.0","0.7","11.0","0.1","0.0","0.1","0.3","0.0","0.0","0.7"
"Blaine Gabbert","TB","3.3","1.6","14.8","0.1","0.1","1.0","0.8","0.0","0.0","0.7"
"Matt Barkley","BUF","5.4","3.1","41.8","0.1","0.5","0.1","0.1","0.0","0.1","0.7"
"Colt McCoy","NYG","4.1","2.4","19.2","0.1","0.2","0.6","1.2","0.0","0.0","0.7"
"Will Grier","CAR","0.0","0.0","12.8","0.1","0.1","0.0","0.2","0.0","0.0","0.7"
"Ryan Finley","CIN","3.7","2.1","18.7","0.1","0.2","0.5","1.1","0.0","0.0","0.7"
"Logan Woodside","TEN","0.8","0.5","10.8","0.1","0.1","0.1","0.2","0.0","0.0","0.7"
"Robert Griffin III","BAL","2.2","1.1","10.2","0.0","0.1","2.9","2.0","0.0","0.0","0.7"
"Josh Rosen","TB","10.7","5.3","51.1","0.1","0.8","0.9","2.6","0.0","0.2","0.6"
"Geno Smith","SEA","3.9","2.2","21.3","0.1","0.2","0.3","0.3","0.0","0.1","0.6"
"Easton Stick","LAC","0.0","0.0","12.2","0.0","0.1","0.0","0.2","0.0","0.0","0.6"
"Jacoby Brissett","IND","3.2","1.9","15.4","0.0","0.0","0.4","0.5","0.0","0.0","0.6"
"AJ McCarron","HOU","4.0","2.3","18.6","0.0","0.1","0.5","0.6","0.0","0.0","0.6"
"Trevor Siemian","TEN","5.6","3.1","28.2","0.0","0.3","0.8","1.6","0.0","0.1","0.5"
"Sean Mannion","MIN","3.9","2.1","20.2","0.0","0.2","0.6","0.9","0.0","0.0","0.4"
"Jacob Eason","IND","0.6","0.4","4.4","0.0","0.0","0.0","0.1","0.0","0.0","0.2"
"Jake Fromm","BUF","0.3","0.2","2.1","0.0","0.0","0.0","0.1","0.0","0.0","0.1"
""
""
