"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes II","KC","36.6","24.1","302.1","2.4","0.5","4.4","24.7","0.2","0.1","24.5"
"Lamar Jackson","BAL","27.8","18.3","222.0","1.8","0.5","10.3","64.1","0.5","0.3","23.8"
"Russell Wilson","SEA","34.2","23.7","286.4","2.6","0.5","4.4","24.5","0.1","0.2","23.7"
"Dak Prescott","DAL","38.2","25.6","312.1","2.1","0.6","4.1","20.9","0.3","0.3","23.0"
"Kyler Murray","ARI","35.1","23.3","252.3","1.9","0.9","7.6","45.3","0.3","0.2","21.8"
"Josh Allen","BUF","35.4","21.9","266.8","1.8","0.8","6.7","36.4","0.4","0.3","21.7"
"Deshaun Watson","HOU","33.3","22.1","270.3","2.0","0.7","4.7","26.9","0.3","0.2","21.2"
"Matt Ryan","ATL","38.8","26.0","290.6","2.0","0.8","2.1","7.9","0.1","0.2","19.0"
"Teddy Bridgewater","CAR","36.6","25.2","280.4","1.8","0.8","3.7","13.8","0.1","0.1","18.8"
"Gardner Minshew II","JAC","36.5","23.4","270.7","1.9","0.7","4.0","20.5","0.0","0.3","18.5"
"Drew Brees","NO","33.7","24.4","272.5","1.9","0.5","1.1","2.2","0.1","0.1","18.1"
"Ben Roethlisberger","PIT","37.2","24.2","279.7","1.9","0.8","1.8","5.4","0.1","0.1","18.0"
"Justin Herbert","LAC","37.0","24.3","284.7","1.6","1.0","3.6","16.8","0.1","0.3","17.9"
"Jared Goff","LAR","35.1","22.9","273.5","1.8","0.8","3.3","9.5","0.1","0.2","17.6"
"Jimmy Garoppolo","SF","31.8","21.5","266.4","1.9","0.7","2.0","5.5","0.1","0.2","17.5"
"Daniel Jones","NYG","37.2","23.7","255.8","1.6","1.0","4.8","26.0","0.1","0.5","16.9"
"Tom Brady","TB","35.5","22.7","260.9","1.7","0.6","1.9","4.0","0.1","0.1","16.8"
"Kirk Cousins","MIN","33.8","22.4","264.0","1.8","0.8","2.3","7.8","0.1","0.2","16.8"
"Joe Burrow","CIN","39.9","25.7","267.4","1.4","0.8","3.6","17.2","0.1","0.2","16.7"
"Ryan Tannehill","TEN","30.3","19.9","240.2","1.7","0.8","3.0","13.7","0.1","0.3","16.5"
"Ryan Fitzpatrick","MIA","36.6","23.0","254.3","1.5","1.2","4.4","20.9","0.2","0.1","16.5"
"Derek Carr","LV","36.4","24.6","267.0","1.7","0.7","1.9","5.9","0.1","0.3","16.3"
"Philip Rivers","IND","33.4","22.1","262.6","1.7","0.9","1.0","1.9","0.0","0.1","15.5"
"Carson Wentz","PHI","36.5","23.4","252.1","1.4","0.9","3.7","15.0","0.1","0.3","15.4"
"Baker Mayfield","CLE","33.0","20.5","236.0","1.6","1.0","1.9","8.3","0.1","0.1","14.9"
"Nick Foles","CHI","36.2","23.2","256.4","1.4","1.0","1.8","3.9","0.1","0.2","14.4"
"Joe Flacco","NYJ","35.4","22.8","240.8","1.2","0.8","1.4","4.1","0.0","0.1","13.3"
"Kyle Allen","WAS","34.3","21.5","240.6","1.1","1.0","2.7","10.9","0.1","0.3","13.3"
"C.J. Beathard","SF","12.8","7.8","68.4","0.2","0.4","2.0","7.5","0.0","0.1","3.7"
