,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,HomeTeam,AwayTeam,OpposingTeam,OpponentUID,TeamUID,OffenseTeam,Week,UniquePlayer,TmOFNS,CALCAVGPTDOFFPlaysOFNS,CALCAVGPTDOFFToGoOFNS,CALCAVGPTDOFFYdsOFNS,CALCAVGPTDOFF1st%OFNS,CALCAVGPTDOFFTO%OFNS,CALCAVGPTDOFFTDOFNS,CALCAVGPTDOFFFGOFNS,CALCAVGPTDOFFnanOFNS,CALCAVGPTDOFFIntOFNS,CALCAVGPTDOFFFmbOFNS,CALCAVGPTDOFFSkOFNS,CALCAVGPTDOFFPassOFNS,CALCAVGPTDOFFRushOFNS,CALCAVGPTDOFFFGOFNS1,CALCAVGPTDOFFPuntOFNS,CALCAVGPTDOFFGDFNS,CALCAVGPTDOFFPlaysDFNS,CALCAVGPTDOFFToGoDFNS,CALCAVGPTDOFFYdsDFNS,CALCAVGPTDOFF1st%DFNS,CALCAVGPTDOFFTO%DFNS,CALCAVGPTDOFFTDDFNS,CALCAVGPTDOFFFGDFNS,CALCAVGPTDOFFnanDFNS,CALCAVGPTDOFFIntDFNS,CALCAVGPTDOFFFmbDFNS,CALCAVGPTDOFFSkDFNS,CALCAVGPTDOFFPassDFNS,CALCAVGPTDOFFRushDFNS,CALCAVGPTDOFFFGDFNS1,CALCAVGPTDOFFPuntDFNS,CALCAVGPTDOFFRkALLSCR,CALCAVGPTDOFFTDALLSCR,CALCAVGPTDOFFXPAALLSCR,CALCAVGPTDOFFXPMALLSCR,CALCAVGPTDOFFFGAALLSCR,CALCAVGPTDOFFFGMALLSCR,CALCAVGPTDOFF2PAALLSCR,CALCAVGPTDOFF2PMALLSCR,CALCAVGPTDOFFSftyALLSCR,CALCAVGPTDOFFRkDSTSCR,CALCAVGPTDOFFKRDSTSCR,CALCAVGPTDOFFPRDSTSCR,CALCAVGPTDOFFIRDSTSCR,CALCAVGPTDOFFFRDSTSCR,CALCAVGPTDOFFORDSTSCR,CALCAVGPTDOFFRetTDDSTSCR,CALCAVGPTDOFFPtsFor,CALCAVGPTDOFFPtsAgainst,OffenseUID,Opponent,CALCAVGPTDOPPPlaysOFNS,CALCAVGPTDOPPToGoOFNS,CALCAVGPTDOPPYdsOFNS,CALCAVGPTDOPP1st%OFNS,CALCAVGPTDOPPTO%OFNS,CALCAVGPTDOPPTDOFNS,CALCAVGPTDOPPFGOFNS,CALCAVGPTDOPPnanOFNS,CALCAVGPTDOPPIntOFNS,CALCAVGPTDOPPFmbOFNS,CALCAVGPTDOPPSkOFNS,CALCAVGPTDOPPPassOFNS,CALCAVGPTDOPPRushOFNS,CALCAVGPTDOPPFGOFNS1,CALCAVGPTDOPPPuntOFNS,CALCAVGPTDOPPGDFNS,CALCAVGPTDOPPPlaysDFNS,CALCAVGPTDOPPToGoDFNS,CALCAVGPTDOPPYdsDFNS,CALCAVGPTDOPP1st%DFNS,CALCAVGPTDOPPTO%DFNS,CALCAVGPTDOPPTDDFNS,CALCAVGPTDOPPFGDFNS,CALCAVGPTDOPPnanDFNS,CALCAVGPTDOPPIntDFNS,CALCAVGPTDOPPFmbDFNS,CALCAVGPTDOPPSkDFNS,CALCAVGPTDOPPPassDFNS,CALCAVGPTDOPPRushDFNS,CALCAVGPTDOPPFGDFNS1,CALCAVGPTDOPPPuntDFNS,CALCAVGPTDOPPRkALLSCR,CALCAVGPTDOPPTDALLSCR,CALCAVGPTDOPPXPAALLSCR,CALCAVGPTDOPPXPMALLSCR,CALCAVGPTDOPPFGAALLSCR,CALCAVGPTDOPPFGMALLSCR,CALCAVGPTDOPP2PAALLSCR,CALCAVGPTDOPP2PMALLSCR,CALCAVGPTDOPPSftyALLSCR,CALCAVGPTDOPPRkDSTSCR,CALCAVGPTDOPPKRDSTSCR,CALCAVGPTDOPPPRDSTSCR,CALCAVGPTDOPPIRDSTSCR,CALCAVGPTDOPPFRDSTSCR,CALCAVGPTDOPPORDSTSCR,CALCAVGPTDOPPRetTDDSTSCR,CALCAVGPTDOPPPtsFor,CALCAVGPTDOPPPtsAgainst,DefenseUID,Player,CALCAVGPPDOFFCmpPass,CALCAVGPPDOFFAttPass,CALCAVGPPDOFFCmp%Pass,CALCAVGPPDOFFYdsPass1,CALCAVGPPDOFFTDPass,CALCAVGPPDOFFIntPass,CALCAVGPPDOFFSkPass,CALCAVGPPDOFFYdsPass2,CALCAVGPPDOFFY/APass,CALCAVGPPDOFF1DPass,CALCAVGPPDOFFRateRec,CALCAVGPPDOFFTgtRec,CALCAVGPPDOFFRecRec,CALCAVGPPDOFFCtch%Rec,CALCAVGPPDOFFYdsRec,CALCAVGPPDOFFTDRec,CALCAVGPPDOFF1DRec,CALCAVGPPDOFFAttRush,CALCAVGPPDOFFYdsRush,CALCAVGPPDOFFY/ARush,CALCAVGPPDOFFTDRush,CALCAVGPPDOFF1DRush,CALCAVGPPDOFFSkYdsPass
0,RB,Dalvin Cook (15913524),Dalvin Cook,15913524,RB/FLEX,9400,MIN@TB 12/13/2020 01:00PM ET,MIN,26.94,TB,MIN,TB,10026,10018,15260877,14,Dalvin CookRB15260877,MIN,76.16666666666667,7.325,5.2,0.27375,0.024250000000000004,3.4166666666666665,0.8333333333333334,20.916666666666668,1.0,0.8333333333333334,2.0833333333333335,31.083333333333332,30.333333333333332,1.0833333333333333,3.75,1.0,79.91666666666667,7.3083333333333345,4.733333333333333,0.26499999999999996,0.015583333333333333,2.9166666666666665,2.1666666666666665,21.333333333333332,0.9166666666666666,0.3333333333333333,1.8333333333333333,38.0,28.333333333333332,2.3333333333333335,3.0,11.916666666666666,3.3333333333333335,2.5,2.25,1.25,1.0,0.8333333333333334,0.5833333333333334,0.08333333333333333,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.416666666666668,27.083333333333332,10018,TAM,78.08333333333333,7.575000000000002,4.1000000000000005,0.2325,0.021416666666666664,2.75,1.25,18.416666666666668,1.25,0.4166666666666667,2.6666666666666665,40.25,23.0,1.4166666666666667,4.25,1.0,78.25,7.633333333333334,4.5249999999999995,0.25200000000000006,0.017083333333333336,3.3333333333333335,1.8333333333333333,19.916666666666668,0.8333333333333334,0.4166666666666667,1.25,40.0,24.166666666666668,2.0,3.5,15.583333333333334,2.75,2.5833333333333335,2.5833333333333335,1.5833333333333333,1.4166666666666667,0.16666666666666666,0.0,0.0,14.333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,23.333333333333332,28.5,10026,Dalvin CookRB15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.272727272727273,0.8394545454545455,30.727272727272727,0.09090909090909091,1.5454545454545454,23.636363636363637,118.54545454545455,5.071818181818181,1.2727272727272727,6.545454545454546,0.0
1,WR,Justin Jefferson (15913862),Justin Jefferson,15913862,WR/FLEX,7400,MIN@TB 12/13/2020 01:00PM ET,MIN,18.68,TB,MIN,TB,10026,10018,15260877,14,Justin JeffersonWR15260877,MIN,76.16666666666667,7.325,5.2,0.27375,0.024250000000000004,3.4166666666666665,0.8333333333333334,20.916666666666668,1.0,0.8333333333333334,2.0833333333333335,31.083333333333332,30.333333333333332,1.0833333333333333,3.75,1.0,79.91666666666667,7.3083333333333345,4.733333333333333,0.26499999999999996,0.015583333333333333,2.9166666666666665,2.1666666666666665,21.333333333333332,0.9166666666666666,0.3333333333333333,1.8333333333333333,38.0,28.333333333333332,2.3333333333333335,3.0,11.916666666666666,3.3333333333333335,2.5,2.25,1.25,1.0,0.8333333333333334,0.5833333333333334,0.08333333333333333,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.416666666666668,27.083333333333332,10018,TAM,78.08333333333333,7.575000000000002,4.1000000000000005,0.2325,0.021416666666666664,2.75,1.25,18.416666666666668,1.25,0.4166666666666667,2.6666666666666665,40.25,23.0,1.4166666666666667,4.25,1.0,78.25,7.633333333333334,4.5249999999999995,0.25200000000000006,0.017083333333333336,3.3333333333333335,1.8333333333333333,19.916666666666668,0.8333333333333334,0.4166666666666667,1.25,40.0,24.166666666666668,2.0,3.5,15.583333333333334,2.75,2.5833333333333335,2.5833333333333335,1.5833333333333333,1.4166666666666667,0.16666666666666666,0.0,0.0,14.333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,23.333333333333332,28.5,10026,Justin JeffersonWR15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,4.75,0.74275,87.91666666666667,0.5,3.3333333333333335,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
2,WR,Adam Thielen (15913870),Adam Thielen,15913870,WR/FLEX,7000,MIN@TB 12/13/2020 01:00PM ET,MIN,19.42,TB,MIN,TB,10026,10018,15260877,14,Adam ThielenWR15260877,MIN,76.16666666666667,7.325,5.2,0.27375,0.024250000000000004,3.4166666666666665,0.8333333333333334,20.916666666666668,1.0,0.8333333333333334,2.0833333333333335,31.083333333333332,30.333333333333332,1.0833333333333333,3.75,1.0,79.91666666666667,7.3083333333333345,4.733333333333333,0.26499999999999996,0.015583333333333333,2.9166666666666665,2.1666666666666665,21.333333333333332,0.9166666666666666,0.3333333333333333,1.8333333333333333,38.0,28.333333333333332,2.3333333333333335,3.0,11.916666666666666,3.3333333333333335,2.5,2.25,1.25,1.0,0.8333333333333334,0.5833333333333334,0.08333333333333333,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.416666666666668,27.083333333333332,10018,TAM,78.08333333333333,7.575000000000002,4.1000000000000005,0.2325,0.021416666666666664,2.75,1.25,18.416666666666668,1.25,0.4166666666666667,2.6666666666666665,40.25,23.0,1.4166666666666667,4.25,1.0,78.25,7.633333333333334,4.5249999999999995,0.25200000000000006,0.017083333333333336,3.3333333333333335,1.8333333333333333,19.916666666666668,0.8333333333333334,0.4166666666666667,1.25,40.0,24.166666666666668,2.0,3.5,15.583333333333334,2.75,2.5833333333333335,2.5833333333333335,1.5833333333333333,1.4166666666666667,0.16666666666666666,0.0,0.0,14.333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,23.333333333333332,28.5,10026,Adam ThielenWR15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.166666666666666,5.416666666666667,0.6432500000000001,70.33333333333333,1.1666666666666667,3.8333333333333335,0.25,1.25,1.25,0.0,0.0,0.0
3,RB,Alexander Mattison (15913550),Alexander Mattison,15913550,RB/FLEX,6400,MIN@TB 12/13/2020 01:00PM ET,MIN,5.26,TB,MIN,TB,10026,10018,15260877,14,Alexander MattisonRB15260877,MIN,76.16666666666667,7.325,5.2,0.27375,0.024250000000000004,3.4166666666666665,0.8333333333333334,20.916666666666668,1.0,0.8333333333333334,2.0833333333333335,31.083333333333332,30.333333333333332,1.0833333333333333,3.75,1.0,79.91666666666667,7.3083333333333345,4.733333333333333,0.26499999999999996,0.015583333333333333,2.9166666666666665,2.1666666666666665,21.333333333333332,0.9166666666666666,0.3333333333333333,1.8333333333333333,38.0,28.333333333333332,2.3333333333333335,3.0,11.916666666666666,3.3333333333333335,2.5,2.25,1.25,1.0,0.8333333333333334,0.5833333333333334,0.08333333333333333,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.416666666666668,27.083333333333332,10018,TAM,78.08333333333333,7.575000000000002,4.1000000000000005,0.2325,0.021416666666666664,2.75,1.25,18.416666666666668,1.25,0.4166666666666667,2.6666666666666665,40.25,23.0,1.4166666666666667,4.25,1.0,78.25,7.633333333333334,4.5249999999999995,0.25200000000000006,0.017083333333333336,3.3333333333333335,1.8333333333333333,19.916666666666668,0.8333333333333334,0.4166666666666667,1.25,40.0,24.166666666666668,2.0,3.5,15.583333333333334,2.75,2.5833333333333335,2.5833333333333335,1.5833333333333333,1.4166666666666667,0.16666666666666666,0.0,0.0,14.333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,23.333333333333332,28.5,10026,Alexander MattisonRB15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8181818181818182,0.2727272727272727,5.545454545454546,0.0,0.2727272727272727,6.636363636363637,30.727272727272727,4.462727272727273,0.09090909090909091,1.7272727272727273,0.0
4,QB,Kirk Cousins (15913447),Kirk Cousins,15913447,QB,6200,MIN@TB 12/13/2020 01:00PM ET,MIN,19.98,TB,MIN,TB,10026,10018,15260877,14,Kirk CousinsQB15260877,MIN,76.16666666666667,7.325,5.2,0.27375,0.024250000000000004,3.4166666666666665,0.8333333333333334,20.916666666666668,1.0,0.8333333333333334,2.0833333333333335,31.083333333333332,30.333333333333332,1.0833333333333333,3.75,1.0,79.91666666666667,7.3083333333333345,4.733333333333333,0.26499999999999996,0.015583333333333333,2.9166666666666665,2.1666666666666665,21.333333333333332,0.9166666666666666,0.3333333333333333,1.8333333333333333,38.0,28.333333333333332,2.3333333333333335,3.0,11.916666666666666,3.3333333333333335,2.5,2.25,1.25,1.0,0.8333333333333334,0.5833333333333334,0.08333333333333333,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.416666666666668,27.083333333333332,10018,TAM,78.08333333333333,7.575000000000002,4.1000000000000005,0.2325,0.021416666666666664,2.75,1.25,18.416666666666668,1.25,0.4166666666666667,2.6666666666666665,40.25,23.0,1.4166666666666667,4.25,1.0,78.25,7.633333333333334,4.5249999999999995,0.25200000000000006,0.017083333333333336,3.3333333333333335,1.8333333333333333,19.916666666666668,0.8333333333333334,0.4166666666666667,1.25,40.0,24.166666666666668,2.0,3.5,15.583333333333334,2.75,2.5833333333333335,2.5833333333333335,1.5833333333333333,1.4166666666666667,0.16666666666666666,0.0,0.0,14.333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,23.333333333333332,28.5,10026,Kirk CousinsQB15260877,19.5,29.0,67.57499999999999,256.6666666666667,2.1666666666666665,1.0,2.0833333333333335,-11.333333333333334,9.191666666666665,12.083333333333334,108.44999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.4166666666666667,6.166666666666667,2.4791666666666665,0.0,0.8333333333333334,-11.333333333333334
5,WR,Olabisi Johnson (15914044),Olabisi Johnson,15914044,WR/FLEX,3200,MIN@TB 12/13/2020 01:00PM ET,MIN,4.08,TB,MIN,TB,10026,10018,15260877,14,Olabisi JohnsonWR15260877,MIN,76.16666666666667,7.325,5.2,0.27375,0.024250000000000004,3.4166666666666665,0.8333333333333334,20.916666666666668,1.0,0.8333333333333334,2.0833333333333335,31.083333333333332,30.333333333333332,1.0833333333333333,3.75,1.0,79.91666666666667,7.3083333333333345,4.733333333333333,0.26499999999999996,0.015583333333333333,2.9166666666666665,2.1666666666666665,21.333333333333332,0.9166666666666666,0.3333333333333333,1.8333333333333333,38.0,28.333333333333332,2.3333333333333335,3.0,11.916666666666666,3.3333333333333335,2.5,2.25,1.25,1.0,0.8333333333333334,0.5833333333333334,0.08333333333333333,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.416666666666668,27.083333333333332,10018,TAM,78.08333333333333,7.575000000000002,4.1000000000000005,0.2325,0.021416666666666664,2.75,1.25,18.416666666666668,1.25,0.4166666666666667,2.6666666666666665,40.25,23.0,1.4166666666666667,4.25,1.0,78.25,7.633333333333334,4.5249999999999995,0.25200000000000006,0.017083333333333336,3.3333333333333335,1.8333333333333333,19.916666666666668,0.8333333333333334,0.4166666666666667,1.25,40.0,24.166666666666668,2.0,3.5,15.583333333333334,2.75,2.5833333333333335,2.5833333333333335,1.5833333333333333,1.4166666666666667,0.16666666666666666,0.0,0.0,14.333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,23.333333333333332,28.5,10026,Olabisi JohnsonWR15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,1.0,0.5832857142857143,15.857142857142858,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
6,TE,Irv Smith Jr. (15914354),Irv Smith Jr.,15914354,TE/FLEX,3100,MIN@TB 12/13/2020 01:00PM ET,MIN,5.24,TB,MIN,TB,10026,10018,15260877,14,Irv Smith Jr.TE15260877,MIN,76.16666666666667,7.325,5.2,0.27375,0.024250000000000004,3.4166666666666665,0.8333333333333334,20.916666666666668,1.0,0.8333333333333334,2.0833333333333335,31.083333333333332,30.333333333333332,1.0833333333333333,3.75,1.0,79.91666666666667,7.3083333333333345,4.733333333333333,0.26499999999999996,0.015583333333333333,2.9166666666666665,2.1666666666666665,21.333333333333332,0.9166666666666666,0.3333333333333333,1.8333333333333333,38.0,28.333333333333332,2.3333333333333335,3.0,11.916666666666666,3.3333333333333335,2.5,2.25,1.25,1.0,0.8333333333333334,0.5833333333333334,0.08333333333333333,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.416666666666668,27.083333333333332,10018,TAM,78.08333333333333,7.575000000000002,4.1000000000000005,0.2325,0.021416666666666664,2.75,1.25,18.416666666666668,1.25,0.4166666666666667,2.6666666666666665,40.25,23.0,1.4166666666666667,4.25,1.0,78.25,7.633333333333334,4.5249999999999995,0.25200000000000006,0.017083333333333336,3.3333333333333335,1.8333333333333333,19.916666666666668,0.8333333333333334,0.4166666666666667,1.25,40.0,24.166666666666668,2.0,3.5,15.583333333333334,2.75,2.5833333333333335,2.5833333333333335,1.5833333333333333,1.4166666666666667,0.16666666666666666,0.0,0.0,14.333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,23.333333333333332,28.5,10026,Irv Smith Jr.TE15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,1.8888888888888888,0.7055555555555555,22.77777777777778,0.2222222222222222,1.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0
7,TE,Kyle Rudolph (15914368),Kyle Rudolph,15914368,TE/FLEX,2900,MIN@TB 12/13/2020 01:00PM ET,MIN,5.53,TB,MIN,TB,10026,10018,15260877,14,Kyle RudolphTE15260877,MIN,76.16666666666667,7.325,5.2,0.27375,0.024250000000000004,3.4166666666666665,0.8333333333333334,20.916666666666668,1.0,0.8333333333333334,2.0833333333333335,31.083333333333332,30.333333333333332,1.0833333333333333,3.75,1.0,79.91666666666667,7.3083333333333345,4.733333333333333,0.26499999999999996,0.015583333333333333,2.9166666666666665,2.1666666666666665,21.333333333333332,0.9166666666666666,0.3333333333333333,1.8333333333333333,38.0,28.333333333333332,2.3333333333333335,3.0,11.916666666666666,3.3333333333333335,2.5,2.25,1.25,1.0,0.8333333333333334,0.5833333333333334,0.08333333333333333,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.416666666666668,27.083333333333332,10018,TAM,78.08333333333333,7.575000000000002,4.1000000000000005,0.2325,0.021416666666666664,2.75,1.25,18.416666666666668,1.25,0.4166666666666667,2.6666666666666665,40.25,23.0,1.4166666666666667,4.25,1.0,78.25,7.633333333333334,4.5249999999999995,0.25200000000000006,0.017083333333333336,3.3333333333333335,1.8333333333333333,19.916666666666668,0.8333333333333334,0.4166666666666667,1.25,40.0,24.166666666666668,2.0,3.5,15.583333333333334,2.75,2.5833333333333335,2.5833333333333335,1.5833333333333333,1.4166666666666667,0.16666666666666666,0.0,0.0,14.333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,23.333333333333332,28.5,10026,Kyle RudolphTE15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,2.0,0.7055833333333332,24.5,0.08333333333333333,1.25,0.0,0.0,0.0,0.0,0.0,0.0
8,WR,Davante Adams (15913848),Davante Adams,15913848,WR/FLEX,9300,GB@DET 12/13/2020 04:25PM ET,GB,27.89,DET,GB,DET,10015,10016,15260875,14,Davante AdamsWR15260875,GNB,76.36363636363636,7.372727272727274,5.181818181818181,0.26245454545454544,0.011,3.727272727272727,1.2727272727272727,20.09090909090909,0.36363636363636365,0.45454545454545453,1.2727272727272727,36.36363636363637,26.363636363636363,1.2727272727272727,3.1818181818181817,1.0,74.18181818181819,7.454545454545454,4.6,0.2528181818181819,0.012181818181818183,2.6363636363636362,1.4545454545454546,18.636363636363637,0.5454545454545454,0.36363636363636365,2.5454545454545454,34.09090909090909,25.545454545454547,1.7272727272727273,3.8181818181818183,8.090909090909092,3.8181818181818183,3.6363636363636362,3.4545454545454546,1.2727272727272727,1.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,11.363636363636363,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,30.545454545454547,24.90909090909091,10016,DET,80.0,7.366666666666667,4.991666666666667,0.288,0.011500000000000002,3.5,1.0833333333333333,23.083333333333332,0.5833333333333334,0.3333333333333333,1.3333333333333333,36.916666666666664,29.75,1.25,3.5,1.0,77.08333333333333,7.858333333333333,4.6499999999999995,0.24983333333333335,0.011500000000000002,2.6666666666666665,1.5833333333333333,19.416666666666668,0.75,0.16666666666666666,2.5833333333333335,39.166666666666664,23.583333333333332,2.1666666666666665,3.75,8.916666666666666,3.8333333333333335,3.4166666666666665,2.9166666666666665,1.25,1.0833333333333333,0.4166666666666667,0.3333333333333333,0.0,10.666666666666666,0.0,0.0,0.25,0.0,0.0,0.25,29.833333333333332,23.833333333333332,10015,Davante AdamsWR15260875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.5,0.7859,107.4,1.3,5.6,0.0,0.0,0.0,0.0,0.0,0.0
9,RB,Aaron Jones (15913530),Aaron Jones,15913530,RB/FLEX,7600,GB@DET 12/13/2020 04:25PM ET,GB,19.93,DET,GB,DET,10015,10016,15260875,14,Aaron JonesRB15260875,GNB,76.36363636363636,7.372727272727274,5.181818181818181,0.26245454545454544,0.011,3.727272727272727,1.2727272727272727,20.09090909090909,0.36363636363636365,0.45454545454545453,1.2727272727272727,36.36363636363637,26.363636363636363,1.2727272727272727,3.1818181818181817,1.0,74.18181818181819,7.454545454545454,4.6,0.2528181818181819,0.012181818181818183,2.6363636363636362,1.4545454545454546,18.636363636363637,0.5454545454545454,0.36363636363636365,2.5454545454545454,34.09090909090909,25.545454545454547,1.7272727272727273,3.8181818181818183,8.090909090909092,3.8181818181818183,3.6363636363636362,3.4545454545454546,1.2727272727272727,1.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,11.363636363636363,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,30.545454545454547,24.90909090909091,10016,DET,80.0,7.366666666666667,4.991666666666667,0.288,0.011500000000000002,3.5,1.0833333333333333,23.083333333333332,0.5833333333333334,0.3333333333333333,1.3333333333333333,36.916666666666664,29.75,1.25,3.5,1.0,77.08333333333333,7.858333333333333,4.6499999999999995,0.24983333333333335,0.011500000000000002,2.6666666666666665,1.5833333333333333,19.416666666666668,0.75,0.16666666666666666,2.5833333333333335,39.166666666666664,23.583333333333332,2.1666666666666665,3.75,8.916666666666666,3.8333333333333335,3.4166666666666665,2.9166666666666665,1.25,1.0833333333333333,0.4166666666666667,0.3333333333333333,0.0,10.666666666666666,0.0,0.0,0.25,0.0,0.0,0.25,29.833333333333332,23.833333333333332,10015,Aaron JonesRB15260875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.9,0.8099999999999999,30.9,0.2,1.4,13.8,70.5,4.828,0.8,3.3,0.0
