Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Chargers  (15962387),Chargers ,15962387,DST,2900,LAC@LV 12/17/2020 08:20PM ET,LAC,4.62
TE,Nick Vannett (15962153),Nick Vannett,15962153,TE/FLEX,2900,BUF@DEN 12/19/2020 04:30PM ET,DEN,2.95
TE,Will Dissly (15962149),Will Dissly,15962149,TE/FLEX,2900,SEA@WAS 12/20/2020 01:00PM ET,SEA,4.45
TE,Trey Burton (15962147),Trey Burton,15962147,TE/FLEX,2900,HOU@IND 12/20/2020 01:00PM ET,IND,7.67
TE,Tyler Eifert (15962145),Tyler Eifert,15962145,TE/FLEX,2900,JAX@BAL 12/20/2020 01:00PM ET,JAX,5.76
DST,Cardinals  (15962386),Cardinals ,15962386,DST,2900,PHI@ARI 12/20/2020 04:05PM ET,ARI,6.54
TE,Drew Sample (15962151),Drew Sample,15962151,TE/FLEX,2900,PIT@CIN 12/21/2020 08:15PM ET,CIN,5.17
TE,Dawson Knox (15962155),Dawson Knox,15962155,TE/FLEX,2800,BUF@DEN 12/19/2020 04:30PM ET,BUF,5.52
DST,Vikings  (15962389),Vikings ,15962389,DST,2800,CHI@MIN 12/20/2020 01:00PM ET,MIN,4.46
TE,Jack Doyle (15962161),Jack Doyle,15962161,TE/FLEX,2800,HOU@IND 12/20/2020 01:00PM ET,IND,4.8
TE,Jordan Akins (15962163),Jordan Akins,15962163,TE/FLEX,2800,HOU@IND 12/20/2020 01:00PM ET,HOU,6.39
TE,Anthony Firkser (15962159),Anthony Firkser,15962159,TE/FLEX,2800,DET@TEN 12/20/2020 01:00PM ET,TEN,6.48
TE,Richard Rodgers (15962157),Richard Rodgers,15962157,TE/FLEX,2800,PHI@ARI 12/20/2020 04:05PM ET,PHI,8.81
TE,Cameron Brate (15962173),Cameron Brate,15962173,TE/FLEX,2700,TB@ATL 12/20/2020 01:00PM ET,TB,4.73
TE,Jacob Hollister (15962171),Jacob Hollister,15962171,TE/FLEX,2700,SEA@WAS 12/20/2020 01:00PM ET,SEA,4.08
DST,Giants  (15962391),Giants ,15962391,DST,2700,CLE@NYG 12/20/2020 08:20PM ET,NYG,6.92
TE,Kyle Rudolph (15962169),Kyle Rudolph,15962169,TE/FLEX,2700,CHI@MIN 12/20/2020 01:00PM ET,MIN,5.53
TE,Jace Sternberger (15962167),Jace Sternberger,15962167,TE/FLEX,2700,CAR@GB 12/19/2020 08:15PM ET,GB,3.27
TE,Luke Willson (15962165),Luke Willson,15962165,TE/FLEX,2700,JAX@BAL 12/20/2020 01:00PM ET,BAL,1.1
DST,Cowboys  (15962390),Cowboys ,15962390,DST,2700,SF@DAL 12/20/2020 01:00PM ET,DAL,3.62
DST,WAS Football Team  (15962392),WAS Football Team ,15962392,DST,2600,SEA@WAS 12/20/2020 01:00PM ET,WAS,8.08
TE,Adam Trautman (15962355),Adam Trautman,15962355,TE/FLEX,2500,KC@NO 12/20/2020 04:25PM ET,NO,3.76
TE,Josh Hill (15962357),Josh Hill,15962357,TE/FLEX,2500,KC@NO 12/20/2020 04:25PM ET,NO,2.07
TE,Garrett Griffin (15962359),Garrett Griffin,15962359,TE/FLEX,2500,KC@NO 12/20/2020 04:25PM ET,NO,0
TE,Zach Wood (15962361),Zach Wood,15962361,TE/FLEX,2500,KC@NO 12/20/2020 04:25PM ET,NO,0
TE,Nick Keizer (15962363),Nick Keizer,15962363,TE/FLEX,2500,KC@NO 12/20/2020 04:25PM ET,KC,1.03
TE,Deon Yelder (15962365),Deon Yelder,15962365,TE/FLEX,2500,KC@NO 12/20/2020 04:25PM ET,KC,1.4
