,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,HomeTeam,AwayTeam,OpposingTeam,OpponentUID,TeamUID,OffenseTeam,Week,UniquePlayer,Opponent,CALCAVGPTDOPPPlaysOFNS,CALCAVGPTDOPPToGoOFNS,CALCAVGPTDOPPYdsOFNS,CALCAVGPTDOPP1st%OFNS,CALCAVGPTDOPPTO%OFNS,CALCAVGPTDOPPTDOFNS,CALCAVGPTDOPPFGOFNS,CALCAVGPTDOPPnanOFNS,CALCAVGPTDOPPIntOFNS,CALCAVGPTDOPPFmbOFNS,CALCAVGPTDOPPSkOFNS,CALCAVGPTDOPPPassOFNS,CALCAVGPTDOPPRushOFNS,CALCAVGPTDOPPFGOFNS1,CALCAVGPTDOPPPuntOFNS,CALCAVGPTDOPPGDFNS,CALCAVGPTDOPPPlaysDFNS,CALCAVGPTDOPPToGoDFNS,CALCAVGPTDOPPYdsDFNS,CALCAVGPTDOPP1st%DFNS,CALCAVGPTDOPPTO%DFNS,CALCAVGPTDOPPTDDFNS,CALCAVGPTDOPPFGDFNS,CALCAVGPTDOPPnanDFNS,CALCAVGPTDOPPIntDFNS,CALCAVGPTDOPPFmbDFNS,CALCAVGPTDOPPSkDFNS,CALCAVGPTDOPPPassDFNS,CALCAVGPTDOPPRushDFNS,CALCAVGPTDOPPFGDFNS1,CALCAVGPTDOPPPuntDFNS,CALCAVGPTDOPPRkALLSCR,CALCAVGPTDOPPTDALLSCR,CALCAVGPTDOPPXPAALLSCR,CALCAVGPTDOPPXPMALLSCR,CALCAVGPTDOPPFGAALLSCR,CALCAVGPTDOPPFGMALLSCR,CALCAVGPTDOPP2PAALLSCR,CALCAVGPTDOPP2PMALLSCR,CALCAVGPTDOPPSftyALLSCR,CALCAVGPTDOPPRkDSTSCR,CALCAVGPTDOPPKRDSTSCR,CALCAVGPTDOPPPRDSTSCR,CALCAVGPTDOPPIRDSTSCR,CALCAVGPTDOPPFRDSTSCR,CALCAVGPTDOPPORDSTSCR,CALCAVGPTDOPPRetTDDSTSCR,CALCAVGPTDOPPPtsFor,CALCAVGPTDOPPPtsAgainst,DefenseUID,TmOFNS,CALCAVGPTDOFFPlaysOFNS,CALCAVGPTDOFFToGoOFNS,CALCAVGPTDOFFYdsOFNS,CALCAVGPTDOFF1st%OFNS,CALCAVGPTDOFFTO%OFNS,CALCAVGPTDOFFTDOFNS,CALCAVGPTDOFFFGOFNS,CALCAVGPTDOFFnanOFNS,CALCAVGPTDOFFIntOFNS,CALCAVGPTDOFFFmbOFNS,CALCAVGPTDOFFSkOFNS,CALCAVGPTDOFFPassOFNS,CALCAVGPTDOFFRushOFNS,CALCAVGPTDOFFFGOFNS1,CALCAVGPTDOFFPuntOFNS,CALCAVGPTDOFFGDFNS,CALCAVGPTDOFFPlaysDFNS,CALCAVGPTDOFFToGoDFNS,CALCAVGPTDOFFYdsDFNS,CALCAVGPTDOFF1st%DFNS,CALCAVGPTDOFFTO%DFNS,CALCAVGPTDOFFTDDFNS,CALCAVGPTDOFFFGDFNS,CALCAVGPTDOFFnanDFNS,CALCAVGPTDOFFIntDFNS,CALCAVGPTDOFFFmbDFNS,CALCAVGPTDOFFSkDFNS,CALCAVGPTDOFFPassDFNS,CALCAVGPTDOFFRushDFNS,CALCAVGPTDOFFFGDFNS1,CALCAVGPTDOFFPuntDFNS,CALCAVGPTDOFFRkALLSCR,CALCAVGPTDOFFTDALLSCR,CALCAVGPTDOFFXPAALLSCR,CALCAVGPTDOFFXPMALLSCR,CALCAVGPTDOFFFGAALLSCR,CALCAVGPTDOFFFGMALLSCR,CALCAVGPTDOFF2PAALLSCR,CALCAVGPTDOFF2PMALLSCR,CALCAVGPTDOFFSftyALLSCR,CALCAVGPTDOFFRkDSTSCR,CALCAVGPTDOFFKRDSTSCR,CALCAVGPTDOFFPRDSTSCR,CALCAVGPTDOFFIRDSTSCR,CALCAVGPTDOFFFRDSTSCR,CALCAVGPTDOFFORDSTSCR,CALCAVGPTDOFFRetTDDSTSCR,CALCAVGPTDOFFPtsFor,CALCAVGPTDOFFPtsAgainst,OffenseUID
0,DST,Dolphins  (15849274),Dolphins ,15849274,DST,4300,MIA@NYJ 11/29/2020 01:00PM ET,MIA,8.8,NYJ,MIA,NYJ,10028,10030,15260890,12,Dolphins DST15260890,MIA,79.3,7.19,4.840000000000001,0.2631,0.0211,2.6,0.7,20.8,0.9,0.8,2.2,38.0,27.7,1.1,4.1,1.0,73.2,7.31,4.17,0.24489999999999998,0.015700000000000002,2.5,2.2,18.1,0.8,0.3,2.0,33.3,26.2,2.3,4.4,17.2,2.6,2.6,2.5,1.1,0.7,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,26.4,10030,NYJ,73.3,7.5600000000000005,3.710000000000001,0.1984,0.016,1.4,1.5,14.3,0.9,0.2,2.7,35.2,23.6,1.7,5.0,1.0,80.4,7.8,5.0,0.2738,0.013900000000000001,3.1,2.1,22.1,0.7,0.4,1.4,38.2,29.2,2.6,3.0,23.6,1.5,1.4,1.2,1.7,1.5,0.1,0.0,0.1,19.5,0.0,0.0,0.1,0.0,0.0,0.1,14.7,30.0,10028
1,DST,Steelers  (15849280),Steelers ,15849280,DST,4200,BAL@PIT 11/29/2020 01:00PM ET,PIT,11.0,PIT,BAL,BAL,10007,10001,15260860,12,Steelers DST15260860,PIT,76.3,8.2,3.94,0.2091,0.027200000000000002,2.0,1.1,16.1,1.5,0.6,3.8,38.2,23.6,1.4,5.0,1.0,79.8,7.58,4.33,0.24410000000000004,0.0112,3.4,1.6,19.5,0.5,0.4,1.0,39.4,26.5,1.7,4.4,20.3,2.0,1.7,1.7,1.4,1.1,0.3,0.2,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,17.4,29.6,10001,BAL,75.9,7.760000000000001,4.51,0.2532,0.015600000000000003,2.7,1.9,19.2,0.7,0.5,2.4,30.2,32.7,2.0,3.8,1.0,77.6,7.710000000000001,4.25,0.24569999999999997,0.019300000000000005,2.3,1.0,19.1,0.5,1.0,2.7,38.4,25.2,1.4,4.3,16.9,3.0,2.9,2.9,2.0,1.9,0.1,0.1,0.0,22.2,0.1,0.0,0.0,0.3,0.0,0.4,26.8,19.5,10007
2,DST,Packers  (15849275),Packers ,15849275,DST,3900,CHI@GB 11/29/2020 08:20PM ET,GB,4.6,GB,CHI,CHI,10005,10016,15260875,12,Packers DST15260875,GNB,74.3,7.290000000000001,4.68,0.25760000000000005,0.012,2.8,1.5,19.0,0.5,0.4,2.1,34.1,25.6,1.8,3.7,1.0,76.6,7.340000000000001,5.109999999999999,0.2617,0.0121,3.7,1.3,20.1,0.4,0.5,1.2,36.4,26.5,1.3,3.1,14.0,3.0,2.6,2.5,1.8,1.5,0.4,0.4,0.0,14.5,0.0,0.1,0.1,0.0,0.0,0.2,25.8,30.6,10016,CHI,78.5,7.640000000000001,3.7600000000000002,0.21819999999999995,0.016599999999999997,1.9,1.7,17.3,1.1,0.2,2.5,42.7,21.6,1.9,4.9,1.0,80.1,7.959999999999999,4.220000000000001,0.22139999999999999,0.0152,1.8,2.6,17.8,0.6,0.6,2.1,37.1,28.7,3.2,4.4,18.7,2.0,1.8,1.8,1.9,1.7,0.2,0.1,0.0,4.0,0.1,0.0,0.0,0.1,0.0,0.2,19.1,20.9,10005
3,DST,Saints  (15849276),Saints ,15849276,DST,3800,NO@DEN 11/29/2020 04:05PM ET,NO,7.9,DEN,NO,DEN,10014,10020,15260880,12,Saints DST15260880,NOR,75.2,7.68,4.02,0.21939999999999998,0.019200000000000002,2.5,1.6,16.5,1.1,0.3,3.2,38.6,22.2,1.9,3.8,1.0,79.7,7.2700000000000005,4.72,0.27780000000000005,0.014300000000000002,3.3,1.9,22.0,0.3,0.8,1.6,35.3,30.2,2.1,3.4,16.8,2.5,2.3,2.2,1.9,1.6,0.2,0.1,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,22.2,29.5,10020,DEN,79.6,8.02,4.36,0.21190000000000003,0.0284,2.1,2.0,16.9,1.7,0.6,2.3,39.5,25.7,2.1,4.0,1.0,81.5,7.83,4.23,0.2291,0.0129,2.6,2.4,18.7,0.7,0.3,2.8,38.8,28.0,2.7,4.1,19.0,2.1,1.9,1.8,2.1,2.0,0.2,0.1,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,20.6,26.3,10014
4,DST,WAS Football Team  (15849278),WAS Football Team ,15849278,DST,3700,WAS@DAL 11/26/2020 04:30PM ET,WAS,6.4,DAL,WAS,DAL,10011,10032,15260891,12,WAS Football Team DST15260891,WAS,75.2,8.02,4.16,0.22999999999999998,0.0172,2.4,1.8,17.3,0.9,0.4,3.1,33.9,27.9,2.1,4.3,1.0,78.2,7.709999999999999,4.159999999999999,0.24010000000000006,0.0206,2.3,1.4,18.9,0.8,0.7,3.2,39.4,24.9,2.0,4.3,16.7,2.5,2.5,2.3,2.1,1.8,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.1,0.0,0.1,22.7,19.8,10032,DAL,86.3,7.540000000000001,4.4799999999999995,0.2706,0.0235,2.5,1.8,23.6,0.9,1.2,2.7,44.8,27.4,2.1,3.2,1.0,80.4,7.08,4.8,0.2565,0.012199999999999999,3.6,1.6,20.7,0.3,0.6,1.9,34.3,31.4,1.8,3.5,14.3,2.6,2.0,1.7,2.1,1.8,0.6,0.4,0.0,8.6,0.0,0.0,0.0,0.1,0.0,0.1,23.5,31.2,10011
5,DST,Rams  (15849277),Rams ,15849277,DST,3700,SF@LAR 11/29/2020 04:05PM ET,LAR,7.6,LAR,SF,SF,10004,10022,15260882,12,Rams DST15260882,LAR,76.3,7.540000000000001,3.7700000000000005,0.22610000000000002,0.0211,1.9,1.3,17.5,1.0,0.6,3.2,39.3,23.2,1.4,5.1,1.0,81.5,7.360000000000001,4.86,0.2713,0.0164,3.0,1.2,22.2,0.8,0.6,1.3,38.5,30.0,1.7,4.1,19.2,2.2,2.1,2.1,1.4,1.3,0.1,0.0,0.0,17.9,0.0,0.1,0.0,0.2,0.0,0.3,19.2,24.3,10022,SFO,77.1,7.760000000000001,4.7299999999999995,0.2596,0.0212,2.9,1.3,20.1,1.1,0.5,2.5,37.4,26.6,1.4,3.5,1.0,74.0,7.519999999999999,4.239999999999999,0.23399999999999999,0.0198,2.4,2.0,17.5,0.8,0.5,1.8,33.2,27.0,2.2,3.9,18.0,2.9,2.6,2.5,1.4,1.3,0.3,0.0,0.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,23.8,23.4,10004
6,DST,Giants  (15849279),Giants ,15849279,DST,3200,NYG@CIN 11/29/2020 01:00PM ET,NYG,6.7,CIN,NYG,CIN,10010,10023,15260879,12,Giants DST15260879,NYG,77.1,7.8199999999999985,4.659999999999999,0.26769999999999994,0.0182,2.5,2.0,20.7,0.8,0.5,2.4,38.7,25.5,2.4,3.0,1.0,74.6,7.850000000000001,4.109999999999999,0.23410000000000003,0.023600000000000003,1.7,2.1,17.6,0.9,0.8,3.0,36.6,24.8,2.2,3.6,18.6,2.6,1.9,1.8,2.4,2.0,0.7,0.1,0.0,21.4,0.0,0.0,0.0,0.1,0.0,0.1,23.6,19.5,10023,CIN,85.5,7.75,4.029999999999999,0.2488,0.0156,2.2,2.0,21.4,0.6,0.7,3.6,45.0,25.5,2.4,4.4,1.0,78.1,7.5,5.09,0.2719,0.0142,3.0,1.9,20.9,0.9,0.2,1.3,36.4,27.4,2.4,3.6,17.3,2.2,2.2,2.1,2.4,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,27.0,10010
7,DST,Browns  (15849281),Browns ,15849281,DST,3100,CLE@JAX 11/29/2020 01:00PM ET,CLE,7.1,JAX,CLE,JAX,10025,10027,15260885,12,Browns DST15260885,CLE,78.9,7.449999999999998,4.47,0.2761,0.0215,3.0,1.4,22.1,0.9,0.8,2.7,40.2,26.2,1.7,2.7,1.0,74.5,7.55,4.64,0.25460000000000005,0.015,2.6,1.3,19.1,0.7,0.4,1.5,29.3,31.8,1.6,3.4,14.1,3.1,2.8,2.7,1.6,1.4,0.3,0.3,0.0,15.6,0.1,0.0,0.1,0.0,0.0,0.2,26.1,23.4,10027,JAX,76.6,7.4399999999999995,4.24,0.238,0.020900000000000002,2.2,1.3,18.4,1.1,0.5,2.9,40.7,21.7,1.7,3.7,1.0,79.1,7.379999999999998,5.22,0.26450000000000007,0.013000000000000001,3.4,2.1,20.9,0.8,0.2,0.9,35.7,29.9,2.5,3.0,17.3,2.4,1.8,1.5,1.7,1.3,0.6,0.2,0.0,13.2,0.0,0.1,0.0,0.0,0.1,0.2,20.2,29.8,10025
8,DST,Ravens  (15849298),Ravens ,15849298,DST,3100,BAL@PIT 11/29/2020 01:00PM ET,BAL,9.8,PIT,BAL,PIT,10001,10007,15260866,12,Ravens DST15260866,BAL,77.6,7.710000000000001,4.25,0.24569999999999997,0.019300000000000005,2.3,1.0,19.1,0.5,1.0,2.7,38.4,25.2,1.4,4.3,1.0,75.9,7.760000000000001,4.51,0.2532,0.015600000000000003,2.7,1.9,19.2,0.7,0.5,2.4,30.2,32.7,2.0,3.8,18.1,2.4,1.8,1.5,1.4,1.0,0.5,0.3,0.0,15.4,0.0,0.0,0.1,0.1,0.0,0.2,19.5,26.8,10007,PIT,79.8,7.58,4.33,0.24410000000000004,0.0112,3.4,1.6,19.5,0.5,0.4,1.0,39.4,26.5,1.7,4.4,1.0,76.3,8.2,3.94,0.2091,0.027200000000000002,2.0,1.1,16.1,1.5,0.6,3.8,38.2,23.6,1.4,5.0,11.8,3.6,3.3,3.0,1.7,1.6,0.3,0.1,0.1,22.0,0.0,0.0,0.2,0.0,0.0,0.2,29.6,17.4,10001
9,DST,Colts  (15849282),Colts ,15849282,DST,3000,TEN@IND 11/29/2020 01:00PM ET,IND,10.5,IND,TEN,TEN,10013,10009,15260867,12,Colts DST15260867,IND,74.0,7.5,3.9799999999999995,0.23010000000000003,0.0233,2.2,1.2,17.2,1.2,0.5,2.2,34.6,25.2,1.5,4.1,1.0,78.6,7.55,4.779999999999999,0.26070000000000004,0.0144,2.5,2.3,20.5,0.8,0.3,1.0,36.5,29.0,2.6,2.7,17.5,2.4,2.2,2.2,1.5,1.2,0.2,0.2,0.1,13.0,0.0,0.0,0.1,0.1,0.0,0.2,20.6,27.2,10009,TEN,78.3,7.43,4.790000000000001,0.2669,0.0060999999999999995,3.3,1.5,21.0,0.4,0.1,1.5,32.7,31.2,2.3,3.5,1.0,81.5,7.1800000000000015,4.76,0.275,0.0182,3.1,1.3,22.4,1.0,0.5,1.2,40.7,27.3,1.4,3.2,13.8,3.4,2.8,2.6,2.3,1.5,0.4,0.2,0.0,20.1,0.0,0.0,0.0,0.1,0.0,0.1,27.9,25.9,10013
