,,Week,Year,GID,Name,Pos,Team,h/a,Oppt,DK points,DK salary,OffenseUID,TmOFNS,CALCAVGPTDOFFPlaysOFNS,CALCAVGPTDOFFToGoOFNS,CALCAVGPTDOFFYdsOFNS,CALCAVGPTDOFF1st%OFNS,CALCAVGPTDOFFTO%OFNS,CALCAVGPTDOFFTDOFNS,CALCAVGPTDOFFFGOFNS,CALCAVGPTDOFFnanOFNS,CALCAVGPTDOFFIntOFNS,CALCAVGPTDOFFFmbOFNS,CALCAVGPTDOFFSkOFNS,CALCAVGPTDOFFPassOFNS,CALCAVGPTDOFFRushOFNS,CALCAVGPTDOFFFGOFNS1,CALCAVGPTDOFFPuntOFNS,CALCAVGPTDOFFGDFNS,CALCAVGPTDOFFPlaysDFNS,CALCAVGPTDOFFToGoDFNS,CALCAVGPTDOFFYdsDFNS,CALCAVGPTDOFF1st%DFNS,CALCAVGPTDOFFTO%DFNS,CALCAVGPTDOFFTDDFNS,CALCAVGPTDOFFFGDFNS,CALCAVGPTDOFFnanDFNS,CALCAVGPTDOFFIntDFNS,CALCAVGPTDOFFFmbDFNS,CALCAVGPTDOFFSkDFNS,CALCAVGPTDOFFPassDFNS,CALCAVGPTDOFFRushDFNS,CALCAVGPTDOFFFGDFNS1,CALCAVGPTDOFFPuntDFNS,CALCAVGPTDOFFRkALLSCR,CALCAVGPTDOFFTDALLSCR,CALCAVGPTDOFFXPAALLSCR,CALCAVGPTDOFFXPMALLSCR,CALCAVGPTDOFFFGAALLSCR,CALCAVGPTDOFFFGMALLSCR,CALCAVGPTDOFF2PAALLSCR,CALCAVGPTDOFF2PMALLSCR,CALCAVGPTDOFFSftyALLSCR,CALCAVGPTDOFFRkDSTSCR,CALCAVGPTDOFFKRDSTSCR,CALCAVGPTDOFFPRDSTSCR,CALCAVGPTDOFFIRDSTSCR,CALCAVGPTDOFFFRDSTSCR,CALCAVGPTDOFFORDSTSCR,CALCAVGPTDOFFRetTDDSTSCR,CALCAVGPTDOFFPtsFor,CALCAVGPTDOFFPtsAgainst,DefenseUID,Opponent,CALCAVGPTDOPPPlaysOFNS,CALCAVGPTDOPPToGoOFNS,CALCAVGPTDOPPYdsOFNS,CALCAVGPTDOPP1st%OFNS,CALCAVGPTDOPPTO%OFNS,CALCAVGPTDOPPTDOFNS,CALCAVGPTDOPPFGOFNS,CALCAVGPTDOPPnanOFNS,CALCAVGPTDOPPIntOFNS,CALCAVGPTDOPPFmbOFNS,CALCAVGPTDOPPSkOFNS,CALCAVGPTDOPPPassOFNS,CALCAVGPTDOPPRushOFNS,CALCAVGPTDOPPFGOFNS1,CALCAVGPTDOPPPuntOFNS,CALCAVGPTDOPPGDFNS,CALCAVGPTDOPPPlaysDFNS,CALCAVGPTDOPPToGoDFNS,CALCAVGPTDOPPYdsDFNS,CALCAVGPTDOPP1st%DFNS,CALCAVGPTDOPPTO%DFNS,CALCAVGPTDOPPTDDFNS,CALCAVGPTDOPPFGDFNS,CALCAVGPTDOPPnanDFNS,CALCAVGPTDOPPIntDFNS,CALCAVGPTDOPPFmbDFNS,CALCAVGPTDOPPSkDFNS,CALCAVGPTDOPPPassDFNS,CALCAVGPTDOPPRushDFNS,CALCAVGPTDOPPFGDFNS1,CALCAVGPTDOPPPuntDFNS,CALCAVGPTDOPPRkALLSCR,CALCAVGPTDOPPTDALLSCR,CALCAVGPTDOPPXPAALLSCR,CALCAVGPTDOPPXPMALLSCR,CALCAVGPTDOPPFGAALLSCR,CALCAVGPTDOPPFGMALLSCR,CALCAVGPTDOPP2PAALLSCR,CALCAVGPTDOPP2PMALLSCR,CALCAVGPTDOPPSftyALLSCR,CALCAVGPTDOPPRkDSTSCR,CALCAVGPTDOPPKRDSTSCR,CALCAVGPTDOPPPRDSTSCR,CALCAVGPTDOPPIRDSTSCR,CALCAVGPTDOPPFRDSTSCR,CALCAVGPTDOPPORDSTSCR,CALCAVGPTDOPPRetTDDSTSCR,CALCAVGPTDOPPPtsFor,CALCAVGPTDOPPPtsAgainst
10,412,2,2020,7010,Denver,Def,den,a,pit,5,2500,10014,DEN,70.0,7.1,4.6,0.271,0.014,2.0,0.0,19.0,0.0,1.0,0.0,33.0,26.0,0.0,5.0,1.0,91.0,6.9,4.1,0.253,0.0,2.0,1.0,23.0,0.0,0.0,1.0,44.0,34.0,4.0,4.0,21.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,10001,PIT,78.0,8.2,3.7,0.231,0.038,2.0,1.0,18.0,2.0,1.0,3.0,44.0,20.0,1.0,5.0,1.0,77.0,8.2,4.5,0.247,0.0,3.0,2.0,19.0,0.0,0.0,2.0,34.0,30.0,2.0,4.0,23.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.0
11,413,2,2020,7015,Kansas City,Def,kan,a,lac,5,3400,10008,KAN,80.0,6.3,4.6,0.313,0.0,4.0,2.0,25.0,0.0,0.0,1.0,33.0,34.0,2.0,3.0,1.0,71.0,7.0,5.1,0.296,0.014,3.0,0.0,21.0,1.0,0.0,4.0,36.0,22.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,20.0,10012,LAC,81.0,8.5,3.6,0.235,0.025,1.0,2.0,19.0,1.0,1.0,3.0,39.0,28.0,3.0,6.0,1.0,85.0,7.3,4.3,0.2,0.0,1.0,3.0,17.0,0.0,0.0,2.0,32.0,39.0,4.0,5.0,29.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0
12,414,2,2020,7027,San Francisco,Def,sfo,a,nyj,5,4000,10004,SFO,74.0,7.3,4.9,0.23,0.0,2.0,2.0,17.0,0.0,0.0,3.0,36.0,25.0,2.0,5.0,1.0,93.0,8.6,4.3,0.28,0.011,3.0,1.0,26.0,1.0,0.0,2.0,42.0,36.0,3.0,4.0,28.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,10028,NYJ,92.0,7.6,4.4,0.283,0.022,3.0,2.0,26.0,0.0,2.0,3.0,49.0,32.0,4.0,1.0,1.0,68.0,7.1,3.7,0.176,0.029,2.0,1.0,12.0,1.0,1.0,3.0,38.0,15.0,1.0,6.0,9.0,3.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,17.0
13,415,2,2020,7030,Tennessee,Def,ten,h,jac,5,3500,10013,TEN,91.0,6.9,4.1,0.253,0.0,2.0,1.0,23.0,0.0,0.0,1.0,44.0,34.0,4.0,4.0,1.0,70.0,7.1,4.6,0.271,0.014,2.0,0.0,19.0,0.0,1.0,0.0,33.0,26.0,0.0,5.0,25.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,10025,JAX,80.0,7.4,5.6,0.275,0.025,2.0,2.0,22.0,2.0,0.0,1.0,47.0,22.0,3.0,0.0,1.0,60.0,8.0,4.0,0.25,0.0,3.0,2.0,15.0,0.0,0.0,4.0,24.0,23.0,2.0,3.0,19.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,27.0
14,416,2,2020,7019,New Orleans,Def,nor,a,lvr,4,3400,10020,NOR,83.0,6.9,3.3,0.181,0.0,3.0,2.0,15.0,0.0,0.0,1.0,32.0,34.0,2.0,6.0,1.0,82.0,7.9,3.8,0.22,0.037,3.0,1.0,18.0,2.0,1.0,3.0,39.0,26.0,2.0,5.0,6.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,34.0,23.0,10017,LVR,80.0,7.1,4.9,0.263,0.0,3.0,3.0,21.0,0.0,0.0,1.0,35.0,30.0,3.0,2.0,1.0,76.0,6.7,4.9,0.276,0.0,4.0,2.0,21.0,0.0,0.0,0.0,30.0,31.0,2.0,3.0,10.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,34.0
15,417,2,2020,7021,New York J,Def,nyj,h,sfo,4,2000,10028,NYJ,68.0,7.1,3.7,0.176,0.029,2.0,1.0,12.0,1.0,1.0,3.0,38.0,15.0,1.0,6.0,1.0,92.0,7.6,4.4,0.283,0.022,3.0,2.0,26.0,0.0,2.0,3.0,49.0,32.0,4.0,1.0,24.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,27.0,10004,SFO,93.0,8.6,4.3,0.28,0.011,3.0,1.0,26.0,1.0,0.0,2.0,42.0,36.0,3.0,4.0,1.0,74.0,7.3,4.9,0.23,0.0,2.0,2.0,17.0,0.0,0.0,3.0,36.0,25.0,2.0,5.0,12.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0
16,418,2,2020,7032,Houston,Def,hou,h,bal,4,2200,10031,HOU,71.0,7.0,5.1,0.296,0.014,3.0,0.0,21.0,1.0,0.0,4.0,36.0,22.0,1.0,3.0,1.0,80.0,6.3,4.6,0.313,0.0,4.0,2.0,25.0,0.0,0.0,1.0,33.0,34.0,2.0,3.0,13.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,34.0,10007,BAL,80.0,9.0,3.9,0.213,0.038,1.0,0.0,17.0,1.0,2.0,2.0,41.0,26.0,1.0,4.0,1.0,69.0,8.3,5.5,0.333,0.014,5.0,1.0,23.0,0.0,1.0,2.0,28.0,30.0,1.0,3.0,30.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0
17,419,2,2020,7008,Cleveland,Def,cle,h,cin,4,2800,10027,CLE,80.0,9.0,3.9,0.213,0.038,1.0,0.0,17.0,1.0,2.0,2.0,41.0,26.0,1.0,4.0,1.0,69.0,8.3,5.5,0.333,0.014,5.0,1.0,23.0,0.0,1.0,2.0,28.0,30.0,1.0,3.0,30.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,10010,CIN,85.0,7.3,4.3,0.2,0.0,1.0,3.0,17.0,0.0,0.0,2.0,32.0,39.0,4.0,5.0,1.0,81.0,8.5,3.6,0.235,0.025,1.0,2.0,19.0,1.0,1.0,3.0,39.0,28.0,3.0,6.0,32.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0
18,420,2,2020,7031,Washington,Def,was,a,ari,4,3100,10032,WAS,87.0,7.4,2.7,0.184,0.0,3.0,2.0,16.0,0.0,0.0,3.0,34.0,36.0,3.0,7.0,1.0,82.0,8.9,3.2,0.22,0.037,2.0,1.0,18.0,2.0,1.0,8.0,50.0,17.0,2.0,5.0,18.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,17.0,10029,ARI,74.0,7.3,4.9,0.23,0.0,2.0,2.0,17.0,0.0,0.0,3.0,36.0,25.0,2.0,5.0,1.0,93.0,8.6,4.3,0.28,0.011,3.0,1.0,26.0,1.0,0.0,2.0,42.0,36.0,3.0,4.0,28.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0
19,421,2,2020,7017,Minnesota,Def,min,a,ind,4,3200,10018,MIN,64.0,6.5,6.0,0.359,0.016,4.0,1.0,23.0,1.0,0.0,2.0,27.0,22.0,1.0,2.0,1.0,90.0,6.7,5.8,0.311,0.0,5.0,2.0,28.0,0.0,0.0,0.0,44.0,32.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,41.0,10009,IND,60.0,8.0,4.0,0.25,0.0,3.0,2.0,15.0,0.0,0.0,4.0,24.0,23.0,2.0,3.0,1.0,80.0,7.4,5.6,0.275,0.025,2.0,2.0,22.0,2.0,0.0,1.0,47.0,22.0,3.0,0.0,14.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,20.0
