,,Week,Year,GID,Name,Pos,Team,h/a,Oppt,DK points,DK salary,OffenseUID,TmOFNS,CALCAVGPTDOFFPlaysOFNS,CALCAVGPTDOFFToGoOFNS,CALCAVGPTDOFFYdsOFNS,CALCAVGPTDOFF1st%OFNS,CALCAVGPTDOFFTO%OFNS,CALCAVGPTDOFFTDOFNS,CALCAVGPTDOFFFGOFNS,CALCAVGPTDOFFnanOFNS,CALCAVGPTDOFFIntOFNS,CALCAVGPTDOFFFmbOFNS,CALCAVGPTDOFFSkOFNS,CALCAVGPTDOFFPassOFNS,CALCAVGPTDOFFRushOFNS,CALCAVGPTDOFFFGOFNS1,CALCAVGPTDOFFPuntOFNS,CALCAVGPTDOFFGDFNS,CALCAVGPTDOFFPlaysDFNS,CALCAVGPTDOFFToGoDFNS,CALCAVGPTDOFFYdsDFNS,CALCAVGPTDOFF1st%DFNS,CALCAVGPTDOFFTO%DFNS,CALCAVGPTDOFFTDDFNS,CALCAVGPTDOFFFGDFNS,CALCAVGPTDOFFnanDFNS,CALCAVGPTDOFFIntDFNS,CALCAVGPTDOFFFmbDFNS,CALCAVGPTDOFFSkDFNS,CALCAVGPTDOFFPassDFNS,CALCAVGPTDOFFRushDFNS,CALCAVGPTDOFFFGDFNS1,CALCAVGPTDOFFPuntDFNS,CALCAVGPTDOFFRkALLSCR,CALCAVGPTDOFFTDALLSCR,CALCAVGPTDOFFXPAALLSCR,CALCAVGPTDOFFXPMALLSCR,CALCAVGPTDOFFFGAALLSCR,CALCAVGPTDOFFFGMALLSCR,CALCAVGPTDOFF2PAALLSCR,CALCAVGPTDOFF2PMALLSCR,CALCAVGPTDOFFSftyALLSCR,CALCAVGPTDOFFRkDSTSCR,CALCAVGPTDOFFKRDSTSCR,CALCAVGPTDOFFPRDSTSCR,CALCAVGPTDOFFIRDSTSCR,CALCAVGPTDOFFFRDSTSCR,CALCAVGPTDOFFORDSTSCR,CALCAVGPTDOFFRetTDDSTSCR,CALCAVGPTDOFFPtsFor,CALCAVGPTDOFFPtsAgainst,DefenseUID,Opponent,CALCAVGPTDOPPPlaysOFNS,CALCAVGPTDOPPToGoOFNS,CALCAVGPTDOPPYdsOFNS,CALCAVGPTDOPP1st%OFNS,CALCAVGPTDOPPTO%OFNS,CALCAVGPTDOPPTDOFNS,CALCAVGPTDOPPFGOFNS,CALCAVGPTDOPPnanOFNS,CALCAVGPTDOPPIntOFNS,CALCAVGPTDOPPFmbOFNS,CALCAVGPTDOPPSkOFNS,CALCAVGPTDOPPPassOFNS,CALCAVGPTDOPPRushOFNS,CALCAVGPTDOPPFGOFNS1,CALCAVGPTDOPPPuntOFNS,CALCAVGPTDOPPGDFNS,CALCAVGPTDOPPPlaysDFNS,CALCAVGPTDOPPToGoDFNS,CALCAVGPTDOPPYdsDFNS,CALCAVGPTDOPP1st%DFNS,CALCAVGPTDOPPTO%DFNS,CALCAVGPTDOPPTDDFNS,CALCAVGPTDOPPFGDFNS,CALCAVGPTDOPPnanDFNS,CALCAVGPTDOPPIntDFNS,CALCAVGPTDOPPFmbDFNS,CALCAVGPTDOPPSkDFNS,CALCAVGPTDOPPPassDFNS,CALCAVGPTDOPPRushDFNS,CALCAVGPTDOPPFGDFNS1,CALCAVGPTDOPPPuntDFNS,CALCAVGPTDOPPRkALLSCR,CALCAVGPTDOPPTDALLSCR,CALCAVGPTDOPPXPAALLSCR,CALCAVGPTDOPPXPMALLSCR,CALCAVGPTDOPPFGAALLSCR,CALCAVGPTDOPPFGMALLSCR,CALCAVGPTDOPP2PAALLSCR,CALCAVGPTDOPP2PMALLSCR,CALCAVGPTDOPPSftyALLSCR,CALCAVGPTDOPPRkDSTSCR,CALCAVGPTDOPPKRDSTSCR,CALCAVGPTDOPPPRDSTSCR,CALCAVGPTDOPPIRDSTSCR,CALCAVGPTDOPPFRDSTSCR,CALCAVGPTDOPPORDSTSCR,CALCAVGPTDOPPRetTDDSTSCR,CALCAVGPTDOPPPtsFor,CALCAVGPTDOPPPtsAgainst
96,348,5,2020,7016,Miami,Def,mia,a,sfo,12,2400,10030,MIA,76.25,7.075,4.525,0.28325,0.0175,2.25,2.25,21.75,1.25,0.0,1.5,37.25,26.5,2.25,3.25,1.0,74.5,7.025,5.5,0.3085,0.017,3.25,0.5,23.0,0.5,0.75,2.25,34.75,27.0,0.75,3.25,21.25,2.25,1.5,1.5,2.25,2.25,0.75,0.75,0.0,16.25,0.0,0.0,0.0,0.0,0.0,0.0,23.25,24.0,10004,SFO,75.75,8.075,3.8499999999999996,0.2155,0.0185,1.5,1.75,16.75,0.75,0.5,2.0,35.0,27.0,2.25,4.0,1.0,78.25,8.100000000000001,4.975,0.26275,0.01275,3.25,1.5,20.75,0.75,0.25,3.25,38.5,27.25,1.75,3.25,23.25,1.75,1.5,1.5,2.25,1.75,0.25,0.25,0.0,18.0,0.0,0.0,0.25,0.0,0.0,0.25,17.75,26.75
97,349,5,2020,7025,LA Rams,Def,lar,a,was,12,4000,10022,LAR,77.5,7.074999999999999,5.05,0.301,0.01325,3.25,1.25,23.5,0.5,0.5,1.5,32.0,33.5,1.75,2.5,1.0,78.25,7.65,4.525,0.2785,0.0225,2.25,1.5,21.75,1.0,0.75,3.0,40.75,24.75,1.75,3.25,16.75,3.25,3.0,2.75,1.75,1.25,0.25,0.25,0.0,25.75,0.0,0.0,0.0,0.0,0.0,0.0,26.5,20.0,10032,WAS,78.25,8.275,4.275,0.23725,0.0225,3.25,1.75,18.5,1.25,0.5,3.5,34.75,29.5,2.0,4.5,1.0,80.75,7.525,3.75,0.22975,0.023,2.5,1.0,18.5,0.75,1.0,3.25,39.75,25.75,1.5,5.25,14.25,3.25,3.25,3.25,2.0,1.75,0.0,0.0,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,28.0,19.75
98,350,5,2020,7020,New York G,Def,nyg,a,dal,11,2200,10023,NYG,72.5,8.05,3.825,0.229,0.03175,0.75,2.25,16.75,1.25,1.0,3.5,40.75,19.5,2.5,3.5,1.0,76.25,7.9,4.25,0.2535,0.010499999999999999,2.75,1.75,19.5,0.5,0.25,2.5,34.5,30.0,2.25,3.0,29.0,0.75,0.5,0.5,2.5,2.25,0.25,0.0,0.0,20.25,0.0,0.0,0.0,0.0,0.0,0.0,11.75,24.0,10011,DAL,89.0,6.925,4.85,0.26975,0.00575,4.25,2.0,24.0,0.25,0.25,2.0,36.75,35.0,2.25,4.5,1.0,92.5,7.275,5.475,0.3095,0.02375,4.0,1.25,28.75,0.75,1.5,2.25,52.75,24.0,1.5,3.25,9.25,4.25,3.5,3.5,2.25,2.0,0.75,0.5,0.25,15.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0,31.5
99,351,5,2020,7013,Indianapolis,Def,ind,a,cle,11,3300,10009,IND,77.5,7.85,4.675,0.253,0.0095,1.75,3.0,19.5,0.75,0.0,1.0,32.25,32.75,3.5,2.75,1.0,66.75,7.9,3.525,0.191,0.02625,1.5,1.0,12.75,1.75,0.0,2.5,31.75,21.5,1.0,4.75,18.75,2.25,2.25,2.25,3.5,3.0,0.0,0.0,0.5,7.25,0.0,0.0,0.5,0.0,0.0,0.5,24.75,14.0,10027,CLE,85.25,7.675000000000001,4.775,0.30400000000000005,0.03075,4.0,1.0,26.0,1.0,1.5,2.75,48.25,23.5,1.0,2.75,1.0,79.75,7.749999999999999,4.875,0.2835,0.013,4.0,1.0,22.75,0.5,0.5,1.5,30.5,34.5,1.25,3.5,9.5,4.0,3.25,3.0,1.0,1.0,0.75,0.75,0.0,18.25,0.0,0.0,0.0,0.0,0.0,0.0,31.5,31.0
100,352,5,2020,7032,Houston,Def,hou,h,jac,9,2600,10031,HOU,70.5,7.6,4.625,0.24075,0.0145,2.25,1.5,17.0,0.75,0.25,4.0,36.0,20.0,1.75,4.0,1.0,82.0,6.95,4.800000000000001,0.2905,0.003,3.25,2.25,23.75,0.0,0.25,2.5,31.0,37.25,2.5,3.25,19.5,2.25,2.0,2.0,1.75,1.5,0.25,0.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.5,10025,JAX,77.25,7.1499999999999995,5.15,0.28025,0.009250000000000001,3.25,2.25,21.75,0.75,0.0,1.0,32.5,31.5,2.5,2.0,1.0,75.25,7.3999999999999995,4.800000000000001,0.27875,0.01575,2.75,1.75,21.25,1.0,0.25,3.25,40.0,21.75,2.0,2.5,13.0,3.25,3.25,3.0,2.5,2.25,0.0,0.0,0.0,12.75,0.0,0.0,0.0,0.0,0.0,0.0,29.25,23.75
101,353,5,2020,7009,Dallas,Def,dal,h,nyg,9,3100,10011,DAL,92.5,7.275,5.475,0.3095,0.02375,4.0,1.25,28.75,0.75,1.5,2.25,52.75,24.0,1.5,3.25,1.0,89.0,6.925,4.85,0.26975,0.00575,4.25,2.0,24.0,0.25,0.25,2.0,36.75,35.0,2.25,4.5,7.75,4.0,2.75,2.25,1.5,1.25,1.25,0.75,0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,31.5,36.0,10023,NYG,76.25,7.9,4.25,0.2535,0.010499999999999999,2.75,1.75,19.5,0.5,0.25,2.5,34.5,30.0,2.25,3.0,1.0,72.5,8.05,3.825,0.229,0.03175,0.75,2.25,16.75,1.25,1.0,3.5,40.75,19.5,2.5,3.5,18.75,2.75,2.5,2.25,2.25,1.75,0.25,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,24.0,11.75
102,354,5,2020,7024,Pittsburgh,Def,pit,h,phi,8,3800,10001,PIT,81.66666666666667,7.766666666666666,4.666666666666667,0.24866666666666667,0.008333333333333333,3.0,1.6666666666666667,20.333333333333332,0.3333333333333333,0.3333333333333333,1.6666666666666667,38.0,30.0,1.6666666666666667,4.333333333333333,1.0,75.33333333333333,8.700000000000001,3.866666666666667,0.213,0.025666666666666667,2.3333333333333335,1.0,16.0,1.3333333333333333,0.6666666666666666,5.0,40.666666666666664,20.0,1.3333333333333333,5.333333333333333,17.666666666666668,3.0,2.6666666666666665,2.3333333333333335,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,24.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,26.0,19.333333333333332,10003,PHI,84.25,7.750000000000001,4.225,0.2665,0.00925,3.25,1.5,22.25,0.5,0.25,4.25,40.75,28.25,1.75,5.0,1.0,85.0,7.95,3.75,0.23525,0.02975,2.0,1.75,20.0,1.75,0.75,3.5,43.5,26.75,2.0,4.75,15.25,3.25,3.0,2.75,1.75,1.5,0.25,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,21.0
103,355,5,2020,7030,Tennessee,Def,ten,h,buf,8,2100,10013,TEN,85.0,7.266666666666666,4.6,0.25533333333333336,0.0036666666666666666,2.6666666666666665,3.0,21.666666666666668,0.3333333333333333,0.0,1.3333333333333333,36.0,34.0,4.0,3.3333333333333335,1.0,79.0,7.566666666666667,5.3,0.28900000000000003,0.024999999999999998,3.3333333333333335,0.6666666666666666,23.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,36.333333333333336,28.666666666666668,1.0,3.3333333333333335,19.666666666666668,2.6666666666666665,2.3333333333333335,1.6666666666666667,4.0,3.0,0.3333333333333333,0.0,0.0,22.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,24.666666666666668,10002,BUF,78.75,7.225,4.8,0.27849999999999997,0.02,2.75,1.75,22.25,0.5,1.0,2.5,42.0,23.0,2.0,3.0,1.0,77.5,7.7,5.35,0.291,0.016,4.0,1.0,22.5,0.25,1.0,2.25,39.25,25.0,1.5,2.5,19.0,2.75,2.25,2.25,2.0,1.75,0.5,0.5,0.0,21.75,0.0,0.0,0.0,0.0,0.0,0.0,25.0,30.75
104,356,5,2020,7028,Seattle,Def,sea,h,min,7,2800,10021,SEA,78.5,7.15,5.325,0.277,0.00925,4.75,0.5,21.5,0.5,0.25,2.75,37.25,25.25,0.5,4.25,1.0,87.75,7.325,5.4,0.30025,0.02275,2.75,2.5,26.25,1.5,0.5,1.5,51.75,21.75,2.75,2.25,6.0,4.75,4.5,4.5,0.5,0.5,0.25,0.25,0.25,28.5,0.0,0.0,0.0,0.0,0.0,0.0,35.0,27.25,10018,MIN,84.0,7.475,5.050000000000001,0.2635,0.006,2.75,3.75,22.25,0.5,0.0,1.75,36.5,33.0,3.75,2.5,1.0,71.25,7.5,4.949999999999999,0.26275,0.029,3.25,1.0,19.0,1.5,0.5,2.5,27.5,28.25,1.5,3.25,17.0,2.75,2.5,2.5,3.75,3.75,0.25,0.0,0.5,13.75,0.0,0.0,0.0,0.0,0.0,0.0,30.25,26.5
105,357,5,2020,7001,Arizona,Def,ari,a,nyj,7,4100,10029,ARI,81.0,7.825,4.525,0.28225,0.022000000000000002,3.0,1.25,22.75,1.25,0.5,1.75,37.75,29.5,1.75,3.75,1.0,77.5,7.7,4.65,0.2595,0.00625,2.5,2.0,20.25,0.25,0.25,2.75,36.25,27.5,2.25,4.0,14.25,3.0,3.0,2.75,1.75,1.25,0.0,0.0,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,24.5,23.0,10028,NYJ,78.25,7.925000000000001,4.725,0.2485,0.0185,3.25,2.0,19.5,1.0,0.5,1.5,33.75,31.0,2.75,2.5,1.0,77.25,7.6000000000000005,3.6,0.18474999999999997,0.0175,1.25,2.0,14.25,1.0,0.25,3.0,38.0,24.25,2.0,4.75,8.5,3.75,3.75,3.75,2.75,2.0,0.0,0.0,0.25,12.5,0.0,0.0,0.5,0.0,0.0,0.5,32.25,16.25
106,358,5,2020,7029,Tampa Bay,Def,tam,a,chi,6,3200,10026,TAM,80.0,7.85,4.625,0.24524999999999997,0.01925,3.75,1.25,19.75,1.0,0.5,1.25,40.0,25.0,1.75,4.25,1.0,76.0,7.7250000000000005,4.125,0.20224999999999999,0.0265,2.25,1.25,15.5,1.25,0.75,3.5,37.75,23.5,1.5,4.5,13.25,3.75,3.5,3.25,1.75,1.25,0.25,0.0,0.25,30.5,0.0,0.0,0.0,0.0,0.0,0.0,29.5,23.0,10005,CHI,81.25,7.6499999999999995,4.2250000000000005,0.23475000000000001,0.0125,1.75,2.75,19.0,0.75,0.25,2.0,39.25,27.5,3.5,4.5,1.0,81.0,7.550000000000001,4.2,0.2395,0.0155,2.5,1.25,19.5,1.25,0.0,2.0,41.25,25.25,1.75,4.75,23.5,1.75,1.75,1.5,3.5,2.75,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.25,21.25
107,359,5,2020,7006,Chicago,Def,chi,h,tam,6,2700,10005,CHI,81.0,7.550000000000001,4.2,0.2395,0.0155,2.5,1.25,19.5,1.25,0.0,2.0,41.25,25.25,1.75,4.75,1.0,81.25,7.6499999999999995,4.2250000000000005,0.23475000000000001,0.0125,1.75,2.75,19.0,0.75,0.25,2.0,39.25,27.5,3.5,4.5,15.75,2.5,2.0,2.0,1.75,1.25,0.5,0.25,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,21.25,20.25,10026,TAM,76.0,7.7250000000000005,4.125,0.20224999999999999,0.0265,2.25,1.25,15.5,1.25,0.75,3.5,37.75,23.5,1.5,4.5,1.0,80.0,7.85,4.625,0.24524999999999997,0.01925,3.75,1.25,19.75,1.0,0.5,1.25,40.0,25.0,1.75,4.25,17.25,2.75,2.75,2.75,1.5,1.25,0.0,0.0,0.0,14.5,0.0,0.0,0.5,0.0,0.0,0.5,23.0,29.5
108,360,5,2020,7017,Minnesota,Def,min,a,sea,6,2200,10018,MIN,71.25,7.5,4.949999999999999,0.26275,0.029,3.25,1.0,19.0,1.5,0.5,2.5,27.5,28.25,1.5,3.25,1.0,84.0,7.475,5.050000000000001,0.2635,0.006,2.75,3.75,22.25,0.5,0.0,1.75,36.5,33.0,3.75,2.5,13.75,3.25,2.0,2.0,1.5,1.0,1.25,1.0,0.0,17.25,0.0,0.0,0.0,0.0,0.0,0.0,26.5,30.25,10021,SEA,87.75,7.325,5.4,0.30025,0.02275,2.75,2.5,26.25,1.5,0.5,1.5,51.75,21.75,2.75,2.25,1.0,78.5,7.15,5.325,0.277,0.00925,4.75,0.5,21.5,0.5,0.25,2.75,37.25,25.25,0.5,4.25,13.0,3.0,2.0,1.25,2.75,2.5,1.0,0.25,0.0,11.5,0.0,0.0,0.25,0.0,0.0,0.25,27.25,35.0
109,361,5,2020,7005,Carolina,Def,car,a,atl,5,2400,10019,CAR,77.5,7.525,5.0,0.26625,0.01525,2.5,2.5,21.0,0.75,0.5,2.0,37.25,27.25,2.75,2.5,1.0,75.25,7.575,4.6499999999999995,0.26775000000000004,0.0225,3.25,1.0,20.25,0.5,1.25,0.75,37.0,24.75,1.0,3.75,16.5,2.5,2.25,1.75,2.75,2.5,0.25,0.25,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,24.75,25.5,10024,ATL,84.0,7.425,5.325,0.28625,0.013000000000000001,4.5,1.25,24.0,0.5,0.75,1.75,43.5,25.25,1.5,3.25,1.0,86.25,7.200000000000001,4.574999999999999,0.26425,0.0085,3.0,2.25,22.75,0.5,0.25,2.25,44.25,26.0,2.5,4.0,4.5,4.5,4.0,3.75,1.5,1.25,0.5,0.0,0.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0,34.5,26.5
110,362,5,2020,7022,Las Vegas,Def,lvr,a,kan,4,2000,10017,LVR,79.5,7.15,4.75,0.277,0.019500000000000003,3.0,2.25,22.0,0.0,1.5,1.75,37.75,27.75,2.5,2.25,1.0,76.25,7.699999999999999,5.15,0.29700000000000004,0.006500000000000001,3.25,2.0,22.5,0.5,0.0,1.0,34.5,27.75,2.0,2.5,16.75,3.0,3.0,3.0,2.5,2.25,0.0,0.0,0.0,24.75,0.0,0.0,0.0,0.0,0.0,0.0,27.75,30.0,10008,KAN,78.25,7.2250000000000005,4.5249999999999995,0.26,0.02175,2.0,1.25,20.5,1.25,0.5,3.0,35.5,30.5,1.5,3.0,1.0,79.25,7.35,5.1,0.2955,0.00675,3.25,1.75,23.5,0.0,0.5,0.75,38.25,28.0,2.0,3.25,24.0,2.0,1.75,1.75,1.5,1.25,0.25,0.0,0.0,15.25,0.25,0.0,0.0,0.0,0.0,0.25,17.5,29.25
111,363,5,2020,7014,Jacksonville,Def,jac,a,hou,4,2900,10025,JAX,75.25,7.3999999999999995,4.800000000000001,0.27875,0.01575,2.75,1.75,21.25,1.0,0.25,3.25,40.0,21.75,2.0,2.5,1.0,77.25,7.1499999999999995,5.15,0.28025,0.009250000000000001,3.25,2.25,21.75,0.75,0.0,1.0,32.5,31.5,2.5,2.0,16.5,2.75,2.5,2.0,2.0,1.75,0.25,0.0,0.0,14.25,0.0,0.0,0.0,0.0,0.0,0.0,23.75,29.25,10031,HOU,82.0,6.95,4.800000000000001,0.2905,0.003,3.25,2.25,23.75,0.0,0.25,2.5,31.0,37.25,2.5,3.25,1.0,70.5,7.6,4.625,0.24075,0.0145,2.25,1.5,17.0,0.75,0.25,4.0,36.0,20.0,1.75,4.0,13.0,3.5,3.25,3.25,2.5,2.25,0.25,0.25,0.0,21.0,0.0,0.0,0.0,0.25,0.0,0.25,31.5,20.0
112,364,5,2020,7019,New Orleans,Def,nor,h,lac,3,2900,10020,NOR,77.25,7.175,4.875,0.28775,0.00975,3.5,1.5,22.0,0.5,0.25,1.25,33.75,28.75,1.5,3.5,1.0,78.75,7.2250000000000005,4.25,0.247,0.0155,3.75,1.5,19.5,0.75,0.5,2.5,36.75,27.25,1.75,3.0,11.0,3.75,3.75,3.75,1.5,1.5,0.0,0.0,0.0,18.25,0.0,0.0,0.25,0.0,0.0,0.25,30.75,30.75,10012,LAC,80.0,8.15,4.625,0.2485,0.009000000000000001,2.25,2.75,20.25,0.5,0.25,1.5,40.75,24.5,3.25,4.5,1.0,82.0,7.7749999999999995,4.9,0.24625000000000002,0.022,2.0,1.75,20.5,0.75,1.0,2.0,36.25,32.25,2.25,3.5,21.75,2.25,2.0,1.5,3.25,2.75,0.25,0.25,0.0,13.25,0.0,0.0,0.0,0.0,0.0,0.0,23.75,20.75
113,365,5,2020,7007,Cincinnati,Def,cin,a,bal,3,2300,10010,CIN,89.25,7.875,4.125,0.26575,0.01175,2.25,3.0,23.75,0.5,0.5,3.75,47.75,26.0,3.25,4.0,1.0,84.75,7.325,4.875,0.2555,0.0115,2.5,2.5,21.25,1.0,0.0,2.0,37.0,32.5,3.0,3.5,19.5,2.25,2.25,2.25,3.25,3.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,24.75,24.75,10007,BAL,80.5,7.75,4.55,0.26225,0.0225,2.25,1.0,21.25,0.5,1.25,2.25,42.75,24.0,1.75,3.25,1.0,70.0,7.825000000000001,4.8,0.27349999999999997,0.01475,3.25,2.0,19.25,0.5,0.5,2.75,27.75,30.0,2.0,3.0,21.5,2.25,2.25,1.75,1.75,1.0,0.0,0.0,0.0,16.25,0.0,0.0,0.0,0.0,0.0,0.0,18.25,30.5
114,366,5,2020,7026,LA Chargers,Def,lac,a,nor,3,2700,10012,LAC,82.0,7.7749999999999995,4.9,0.24625000000000002,0.022,2.0,1.75,20.5,0.75,1.0,2.0,36.25,32.25,2.25,3.5,1.0,80.0,8.15,4.625,0.2485,0.009000000000000001,2.25,2.75,20.25,0.5,0.25,1.5,40.75,24.5,3.25,4.5,24.75,2.25,2.0,2.0,2.25,1.75,0.25,0.0,0.0,27.5,0.0,0.0,0.25,0.0,0.0,0.25,20.75,23.75,10020,NOR,78.75,7.2250000000000005,4.25,0.247,0.0155,3.75,1.5,19.5,0.75,0.5,2.5,36.75,27.25,1.75,3.0,1.0,77.25,7.175,4.875,0.28775,0.00975,3.5,1.5,22.0,0.5,0.25,1.25,33.75,28.75,1.5,3.5,11.0,3.75,3.25,3.25,1.75,1.5,0.5,0.25,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,30.75,30.75
115,367,5,2020,7021,New York J,Def,nyj,h,ari,2,2500,10028,NYJ,77.25,7.6000000000000005,3.6,0.18474999999999997,0.0175,1.25,2.0,14.25,1.0,0.25,3.0,38.0,24.25,2.0,4.75,1.0,78.25,7.925000000000001,4.725,0.2485,0.0185,3.25,2.0,19.5,1.0,0.5,1.5,33.75,31.0,2.75,2.5,27.25,1.5,1.25,1.25,2.0,2.0,0.25,0.0,0.0,21.25,0.0,0.0,0.25,0.0,0.0,0.25,16.25,32.25,10029,ARI,77.5,7.7,4.65,0.2595,0.00625,2.5,2.0,20.25,0.25,0.25,2.75,36.25,27.5,2.25,4.0,1.0,81.0,7.825,4.525,0.28225,0.022000000000000002,3.0,1.25,22.75,1.25,0.5,1.75,37.75,29.5,1.75,3.75,21.0,2.5,2.0,2.0,2.25,2.0,0.5,0.0,0.0,19.25,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.5
116,368,5,2020,7031,Washington,Def,was,h,lar,2,2600,10032,WAS,80.75,7.525,3.75,0.22975,0.023,2.5,1.0,18.5,0.75,1.0,3.25,39.75,25.75,1.5,5.25,1.0,78.25,8.275,4.275,0.23725,0.0225,3.25,1.75,18.5,1.25,0.5,3.5,34.75,29.5,2.0,4.5,22.75,2.5,2.0,1.75,1.5,1.0,0.5,0.0,0.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,19.75,28.0,10022,LAR,78.25,7.65,4.525,0.2785,0.0225,2.25,1.5,21.75,1.0,0.75,3.0,40.75,24.75,1.75,3.25,1.0,77.5,7.074999999999999,5.05,0.301,0.01325,3.25,1.25,23.5,0.5,0.5,1.5,32.0,33.5,1.75,2.5,19.25,2.25,2.0,2.0,1.75,1.5,0.25,0.0,0.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0,20.0,26.5
117,369,5,2020,7002,Atlanta,Def,atl,h,car,0,3000,10024,ATL,86.25,7.200000000000001,4.574999999999999,0.26425,0.0085,3.0,2.25,22.75,0.5,0.25,2.25,44.25,26.0,2.5,4.0,1.0,84.0,7.425,5.325,0.28625,0.013000000000000001,4.5,1.25,24.0,0.5,0.75,1.75,43.5,25.25,1.5,3.25,11.75,3.0,2.5,1.75,2.5,2.25,0.5,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,26.5,34.5,10019,CAR,75.25,7.575,4.6499999999999995,0.26775000000000004,0.0225,3.25,1.0,20.25,0.5,1.25,0.75,37.0,24.75,1.0,3.75,1.0,77.5,7.525,5.0,0.26625,0.01525,2.5,2.5,21.0,0.75,0.5,2.0,37.25,27.25,2.75,2.5,15.75,3.25,3.0,3.0,1.0,1.0,0.25,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,24.75
118,370,5,2020,7023,Philadelphia,Def,phi,a,pit,-1,2800,10003,PHI,85.0,7.95,3.75,0.23525,0.02975,2.0,1.75,20.0,1.75,0.75,3.5,43.5,26.75,2.0,4.75,1.0,84.25,7.750000000000001,4.225,0.2665,0.00925,3.25,1.5,22.25,0.5,0.25,4.25,40.75,28.25,1.75,5.0,23.5,2.25,1.75,1.75,2.0,1.75,0.5,0.25,0.0,23.0,0.0,0.0,0.25,0.0,0.0,0.25,21.0,26.75,10001,PIT,75.33333333333333,8.700000000000001,3.866666666666667,0.213,0.025666666666666667,2.3333333333333335,1.0,16.0,1.3333333333333333,0.6666666666666666,5.0,40.666666666666664,20.0,1.3333333333333333,5.333333333333333,1.0,81.66666666666667,7.766666666666666,4.666666666666667,0.24866666666666667,0.008333333333333333,3.0,1.6666666666666667,20.333333333333332,0.3333333333333333,0.3333333333333333,1.6666666666666667,38.0,30.0,1.6666666666666667,4.333333333333333,21.0,2.3333333333333335,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.0,14.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,19.333333333333332,26.0
119,371,5,2020,7015,Kansas City,Def,kan,h,lvr,-1,3500,10008,KAN,79.25,7.35,5.1,0.2955,0.00675,3.25,1.75,23.5,0.0,0.5,0.75,38.25,28.0,2.0,3.25,1.0,78.25,7.2250000000000005,4.5249999999999995,0.26,0.02175,2.0,1.25,20.5,1.25,0.5,3.0,35.5,30.5,1.5,3.0,11.75,3.5,3.25,2.5,2.0,1.75,0.25,0.25,0.0,15.25,0.0,0.0,0.25,0.0,0.0,0.25,29.25,17.5,10017,LVR,76.25,7.699999999999999,5.15,0.29700000000000004,0.006500000000000001,3.25,2.0,22.5,0.5,0.0,1.0,34.5,27.75,2.0,2.5,1.0,79.5,7.15,4.75,0.277,0.019500000000000003,3.0,2.25,22.0,0.0,1.5,1.75,37.75,27.75,2.5,2.25,11.0,3.5,3.25,2.5,2.0,2.0,0.25,0.25,0.0,10.75,0.0,0.0,0.0,0.25,0.0,0.25,30.0,27.75
120,372,5,2020,7027,San Francisco,Def,sfo,h,mia,-2,3700,10004,SFO,78.25,8.100000000000001,4.975,0.26275,0.01275,3.25,1.5,20.75,0.75,0.25,3.25,38.5,27.25,1.75,3.25,1.0,75.75,8.075,3.8499999999999996,0.2155,0.0185,1.5,1.75,16.75,0.75,0.5,2.0,35.0,27.0,2.25,4.0,17.75,3.25,2.75,2.75,1.75,1.5,0.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,26.75,17.75,10030,MIA,74.5,7.025,5.5,0.3085,0.017,3.25,0.5,23.0,0.5,0.75,2.25,34.75,27.0,0.75,3.25,1.0,76.25,7.075,4.525,0.28325,0.0175,2.25,2.25,21.75,1.25,0.0,1.5,37.25,26.5,2.25,3.25,14.5,3.25,3.25,3.0,0.75,0.5,0.0,0.0,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.25
